request_id,seed,gold_count,receiver_damage__natural,selected_restore__natural,random_restore__natural,restore_specificity__natural,clean_exact__natural,receiver_damage__matched_control,selected_restore__matched_control,random_restore__matched_control,restore_specificity__matched_control,clean_exact__matched_control,receiver_damage__cut,selected_restore__cut,random_restore__cut,restore_specificity__cut,clean_exact__cut,restoration_occlusion
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1254,1254,10,13.224427223205566,-0.25331974029541016,3.291222254435221,-3.5445419947306314,1.0,-1.7670326232910156,-1.9471397399902344,-0.3117561340332031,-1.6353836059570312,,6.91547139485677,-0.3760337829589844,0.16715621948242188,-0.5431900024414062,,-1.57110595703125
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1256,1256,10,12.407467524210613,0.24793434143066406,0.2500254313151042,-0.0020910898844401227,1.0,12.287037531534832,0.12448883056640625,0.08333714803059895,0.041151682535807296,,4.458255767822266,-0.3750152587890625,-0.20833333333333334,-0.16668192545572916,,0.49950408935546875
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1258,1258,10,13.38138198852539,1.001103401184082,1.8752848307291667,-0.8741814295450847,1.0,-2.356472651163738,-5.7378997802734375,-3.3351949055989585,-2.402704874674479,,3.373382568359375,0.12490463256835938,-0.16666158040364584,0.29156621297200525,,-5.862804412841797
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1260,1260,10,12.52192274729411,1.3816242218017578,2.125655174255371,-0.7440309524536133,1.0,-1.6152591705322266,-1.8693523406982422,-0.6442763010660807,-1.2250760396321616,,3.8298476537068673,0.49933528900146484,-0.08336893717447917,0.582704226175944,,-2.368687629699707
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1261,1261,10,15.452404975891113,0.62664794921875,-0.20839436848958334,0.8350423177083334,1.0,10.954689343770344,-0.37501049041748047,-0.08334032694498698,-0.29167016347249347,,6.2499895095825195,-3.814697265625e-06,0.20832538604736328,-0.2083292007446289,,-0.37500667572021484
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1263,1263,10,13.749653498331707,1.2238330841064453,2.126058578491211,-0.9022254943847656,1.0,-1.4646326700846353,-2.0639209747314453,-1.3527933756510417,-0.7111275990804036,,4.457621256510418,0.8750076293945312,-0.041659037272135414,0.9166666666666666,,-2.9389286041259766
Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1255,1255,9,12.903076807657879,1.796086311340332,1.0875546137491863,0.7085316975911458,1.0,11.939773559570312,5.402754783630371,3.209688186645508,2.1930665969848633,,8.285965601603191,0.375,0.12511221567789713,0.24988778432210287,,5.027754783630371
Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1257,1257,9,14.36969820658366,1.625844955444336,1.1666819254557292,0.4591630299886067,1.0,13.120553334554035,2.0014095306396484,0.9583333333333334,1.043076197306315,,4.332917531331379,0.2500724792480469,0.16666030883789062,0.08341217041015625,,1.7513370513916016
Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1259,1259,9,13.870223363240559,1.2289113998413086,0.24658711751302084,0.9823242823282877,1.0,11.891462643941242,1.132277488708496,0.3748359680175781,0.757441520690918,,4.9423967997233085,-0.24477767944335938,-0.3749898274739583,0.13021214803059894,,1.3770551681518555
Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1262,1262,9,13.913284937540691,1.7523193359375,3.042107899983724,-1.289788564046224,1.0,13.956960042317707,2.252685546875,2.3750203450520835,-0.12233479817708348,,2.749512990315754,-0.4998931884765625,-0.08322779337565105,-0.41666539510091144,,2.7525787353515625
