model_label,mechanism,query_site_kind,experiment_id,fold,training_seeds,validation_seeds,bank_size,bank_selection_policy,selection_metric,selection_metric_column,selection_anchor_role,selection_target_grammar_class,selection_site_scope,selection_eligibility_scope,selection_aggregation,random_control_matching,condition,repeat,heads,bank_sha256
Qwen3-8B,retrieval_anchor_localization,grammar_aware_transition_anchor:post_marker,targeted_retrieval_final_count_endpoint,0,"[1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253]","[1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253, 1254, 1255, 1256, 1257, 1258, 1259, 1260, 1261, 1262, 1263]",128,previously_frozen_discovery_bank_with_new_outcome_blind_controls,seed_first_equal_anchor_mean_target_source_attention_mass,source_attention_mass,post_marker,adjacent_rank_before_city,exact_single_query_anchor,local,seed_first_equal_anchor_mean,layer_matched_selected_excluded,selected_bank,0,"[[24, 29], [23, 10], [23, 30], [21, 8], [23, 4], [24, 23], [24, 5], [20, 29], [28, 0], [23, 28], [20, 30], [26, 26], [23, 31], [23, 5], [22, 4], [32, 8], [24, 13], [28, 3], [23, 12], [29, 9], [21, 31], [21, 11], [21, 18], [23, 13], [21, 10], [29, 12], [29, 11], [24, 8], [25, 30], [24, 14], [26, 31], [26, 15], [25, 11], [23, 11], [32, 3], [31, 30], [21, 23], [28, 2], [34, 0], [29, 6], [29, 5], [29, 13], [28, 18], [23, 14], [27, 18], [32, 0], [28, 23], [24, 30], [24, 15], [29, 15], [26, 24], [24, 12], [30, 8], [18, 15], [26, 18], [32, 11], [29, 7], [32, 7], [34, 7], [33, 13], [24, 7], [20, 15], [29, 27], [24, 31], [23, 15], [33, 29], [32, 5], [31, 31], [32, 2], [26, 27], [33, 18], [33, 15], [33, 9], [20, 31], [32, 10], [33, 16], [27, 16], [22, 5], [31, 6], [33, 14], [29, 24], [28, 16], [19, 13], [26, 25], [24, 4], [20, 28], [33, 23], [32, 6], [20, 16], [31, 13], [33, 12], [18, 23], [24, 28], [34, 2], [33, 11], [29, 8], [34, 1], [28, 1], [28, 11], [31, 28], [33, 17], [33, 30], [29, 3], [22, 0], [31, 3], [30, 9], [26, 29], [25, 8], [22, 7], [26, 20], [29, 0], [29, 25], [30, 27], [29, 1], [21, 20], [29, 2], [24, 21], [21, 16], [27, 19], [31, 4], [34, 5], [20, 21], [20, 14], [25, 9], [33, 31], [31, 5], [24, 26], [21, 28]]",ef30a8a083468c6e88cb5b0924403884ad758fedbc743de36dd03ab9bc4a742b
Qwen3-8B,retrieval_anchor_localization,grammar_aware_transition_anchor:post_marker,targeted_retrieval_final_count_endpoint,0,"[1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253]","[1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253, 1254, 1255, 1256, 1257, 1258, 1259, 1260, 1261, 1262, 1263]",128,previously_frozen_discovery_bank_with_new_outcome_blind_controls,seed_first_equal_anchor_mean_target_source_attention_mass,source_attention_mass,post_marker,adjacent_rank_before_city,exact_single_query_anchor,local,seed_first_equal_anchor_mean,layer_matched_selected_excluded,layer_matched_random,1,"[[18, 3], [18, 11], [19, 25], [20, 5], [20, 8], [20, 11], [20, 12], [20, 17], [20, 18], [20, 25], [20, 27], [21, 4], [21, 6], [21, 9], [21, 12], [21, 13], [21, 19], [21, 22], [21, 26], [21, 27], [22, 6], [22, 16], [22, 26], [22, 31], [23, 0], [23, 3], [23, 8], [23, 16], [23, 17], [23, 18], [23, 22], [23, 24], [23, 25], [23, 26], [23, 29], [24, 0], [24, 1], [24, 2], [24, 3], [24, 9], [24, 10], [24, 11], [24, 16], [24, 17], [24, 18], [24, 19], [24, 20], [24, 22], [24, 24], [24, 25], [25, 6], [25, 21], [25, 25], [25, 27], [26, 4], [26, 6], [26, 10], [26, 12], [26, 17], [26, 19], [26, 21], [26, 22], [26, 23], [27, 14], [27, 21], [27, 23], [28, 7], [28, 10], [28, 17], [28, 19], [28, 21], [28, 28], [28, 30], [28, 31], [29, 4], [29, 10], [29, 14], [29, 16], [29, 17], [29, 18], [29, 19], [29, 20], [29, 21], [29, 22], [29, 23], [29, 26], [29, 28], [29, 29], [29, 30], [29, 31], [30, 26], [30, 29], [30, 30], [31, 0], [31, 2], [31, 9], [31, 11], [31, 14], [31, 22], [31, 27], [31, 29], [32, 4], [32, 17], [32, 19], [32, 21], [32, 25], [32, 26], [32, 29], [32, 30], [32, 31], [33, 0], [33, 1], [33, 2], [33, 4], [33, 6], [33, 7], [33, 10], [33, 20], [33, 21], [33, 24], [33, 25], [33, 26], [33, 27], [34, 4], [34, 16], [34, 17], [34, 18], [34, 27]]",f94fd8b48f146a445f348b6fbcb12eac3db34739ae09799be5caf48027379c02
Qwen3-8B,retrieval_anchor_localization,grammar_aware_transition_anchor:post_marker,targeted_retrieval_final_count_endpoint,0,"[1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253]","[1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253, 1254, 1255, 1256, 1257, 1258, 1259, 1260, 1261, 1262, 1263]",128,previously_frozen_discovery_bank_with_new_outcome_blind_controls,seed_first_equal_anchor_mean_target_source_attention_mass,source_attention_mass,post_marker,adjacent_rank_before_city,exact_single_query_anchor,local,seed_first_equal_anchor_mean,layer_matched_selected_excluded,layer_matched_random,2,"[[18, 18], [18, 28], [19, 2], [20, 0], [20, 9], [20, 11], [20, 12], [20, 20], [20, 22], [20, 25], [20, 27], [21, 2], [21, 12], [21, 13], [21, 17], [21, 19], [21, 21], [21, 27], [21, 29], [21, 30], [22, 3], [22, 14], [22, 17], [22, 26], [23, 2], [23, 3], [23, 6], [23, 7], [23, 9], [23, 17], [23, 18], [23, 20], [23, 21], [23, 24], [23, 26], [24, 0], [24, 1], [24, 3], [24, 6], [24, 9], [24, 11], [24, 16], [24, 17], [24, 18], [24, 19], [24, 20], [24, 22], [24, 24], [24, 25], [24, 27], [25, 1], [25, 10], [25, 23], [25, 26], [26, 1], [26, 2], [26, 3], [26, 4], [26, 5], [26, 8], [26, 13], [26, 16], [26, 21], [27, 9], [27, 10], [27, 30], [28, 7], [28, 10], [28, 14], [28, 15], [28, 17], [28, 21], [28, 25], [28, 30], [29, 4], [29, 10], [29, 14], [29, 16], [29, 17], [29, 18], [29, 19], [29, 20], [29, 21], [29, 22], [29, 23], [29, 26], [29, 28], [29, 29], [29, 30], [29, 31], [30, 21], [30, 29], [30, 30], [31, 2], [31, 7], [31, 8], [31, 9], [31, 11], [31, 14], [31, 22], [31, 29], [32, 15], [32, 18], [32, 20], [32, 21], [32, 22], [32, 23], [32, 25], [32, 26], [32, 31], [33, 0], [33, 1], [33, 2], [33, 6], [33, 7], [33, 8], [33, 19], [33, 20], [33, 22], [33, 25], [33, 26], [33, 27], [33, 28], [34, 8], [34, 10], [34, 19], [34, 22], [34, 27]]",03b571939e8e9291a9252a961f16baca24e8594571235b864650f21a1d3fdccf
Qwen3-8B,retrieval_anchor_localization,grammar_aware_transition_anchor:post_marker,targeted_retrieval_final_count_endpoint,0,"[1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253]","[1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253, 1254, 1255, 1256, 1257, 1258, 1259, 1260, 1261, 1262, 1263]",128,previously_frozen_discovery_bank_with_new_outcome_blind_controls,seed_first_equal_anchor_mean_target_source_attention_mass,source_attention_mass,post_marker,adjacent_rank_before_city,exact_single_query_anchor,local,seed_first_equal_anchor_mean,layer_matched_selected_excluded,layer_matched_random,3,"[[18, 8], [18, 30], [19, 5], [20, 1], [20, 3], [20, 7], [20, 8], [20, 13], [20, 17], [20, 18], [20, 26], [21, 1], [21, 2], [21, 14], [21, 15], [21, 19], [21, 21], [21, 22], [21, 24], [21, 27], [22, 1], [22, 19], [22, 28], [22, 30], [23, 0], [23, 3], [23, 6], [23, 7], [23, 8], [23, 9], [23, 18], [23, 23], [23, 24], [23, 25], [23, 27], [24, 0], [24, 1], [24, 2], [24, 3], [24, 9], [24, 10], [24, 11], [24, 16], [24, 17], [24, 18], [24, 19], [24, 22], [24, 24], [24, 25], [24, 27], [25, 3], [25, 12], [25, 25], [25, 31], [26, 2], [26, 3], [26, 6], [26, 9], [26, 10], [26, 11], [26, 12], [26, 23], [26, 30], [27, 0], [27, 5], [27, 11], [28, 4], [28, 6], [28, 9], [28, 12], [28, 14], [28, 24], [28, 25], [28, 30], [29, 4], [29, 10], [29, 14], [29, 16], [29, 17], [29, 18], [29, 19], [29, 20], [29, 21], [29, 22], [29, 23], [29, 26], [29, 28], [29, 29], [29, 30], [29, 31], [30, 12], [30, 28], [30, 30], [31, 8], [31, 14], [31, 16], [31, 19], [31, 21], [31, 24], [31, 26], [31, 29], [32, 12], [32, 13], [32, 18], [32, 22], [32, 23], [32, 24], [32, 25], [32, 28], [32, 29], [33, 0], [33, 2], [33, 3], [33, 4], [33, 5], [33, 6], [33, 8], [33, 10], [33, 19], [33, 20], [33, 24], [33, 25], [33, 28], [34, 8], [34, 9], [34, 24], [34, 27], [34, 30]]",33f43173367b1d7e42061f25a5eb440ba746cfc4437be314bed51c63a7af11e0
