request_id,seed,gold_count,receiver_damage__natural,selected_restore__natural,random_restore__natural,restore_specificity__natural,clean_exact__natural,receiver_damage__matched_control,selected_restore__matched_control,random_restore__matched_control,restore_specificity__matched_control,clean_exact__matched_control,receiver_damage__cut,selected_restore__cut,random_restore__cut,restore_specificity__cut,clean_exact__cut,restoration_occlusion
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1234,10,11.7418638865153,0.6485080718994141,1.3752250671386719,-0.7267169952392578,1.0,-1.814879735310872,-2.3864173889160156,-0.7073853810628256,-1.67903200785319,,4.124462127685547,-0.6248970031738281,0.4999961853027344,-1.1248931884765625,,-1.7615203857421875
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1235,1235,10,12.030761082967121,1.4020252227783203,0.6261088053385416,0.7759164174397787,1.0,-2.832215627034506,-5.0626220703125,-2.9554239908854165,-2.1071980794270835,,2.4500071207682304,0.4988555908203125,0.041506449381510414,0.45734914143880206,,-5.5614776611328125
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1236,1236,10,12.832162539164226,0.3885011672973633,0.5420004526774088,-0.15349928538004554,1.0,-2.1198577880859375,-2.137176513671875,-1.3856709798177083,-0.7515055338541667,,3.0412979125976562,-0.24987030029296875,-0.08333841959635417,-0.16653188069661456,,-1.8873062133789062
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1237,1237,10,12.849165280659992,0.6371450424194336,0.6257540384928385,0.011391003926595089,1.0,-2.559321721394857,-3.0564327239990234,-2.19484011332194,-0.8615926106770835,,4.7914899190266915,-0.12502288818359375,0.45833587646484375,-0.5833587646484375,,-2.9314098358154297
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1238,1238,10,12.273343404134113,-0.3698902130126953,-0.000125885009765625,-0.3697643280029297,1.0,10.52320162455241,-0.6226491928100586,-0.4166399637858073,-0.20600922902425128,,5.5829925537109375,0.12500381469726562,-0.125,0.2500038146972656,,-0.7476530075073242
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1239,1239,10,12.104498545328777,0.870513916015625,2.792133331298828,-1.9216194152832031,1.0,-0.007404963175455803,-0.10606193542480469,0.23911031087239584,-0.34517224629720056,,3.9997914632161446,-0.12507247924804688,0.20833460489908853,-0.3334070841471354,,0.019010543823242188
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1240,1240,10,10.02665901184082,0.9616851806640625,3.7931187947591147,-2.8314336140950522,1.0,-0.5292409261067705,-1.4434432983398438,-1.7414627075195312,0.2980194091796875,,3.8326059977213554,-0.4999961853027344,-0.16669209798177084,-0.3333040873209635,,-0.9434471130371094
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1245,1245,10,13.673221906026203,0.24109649658203125,2.042231241861979,-1.8011347452799478,1.0,-1.825888315836588,-4.4605712890625,-2.8746604919433594,-1.5859107971191406,,3.78835391998291,0.12483978271484375,0.04167938232421875,0.083160400390625,,-4.585411071777344
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1246,1246,10,13.770348230997723,1.0089340209960938,2.751736323038737,-1.742802302042643,1.0,-1.0235551198323565,-1.539407730102539,-0.9094944000244141,-0.629913330078125,,4.246173858642578,0.12462615966796875,0.16683069864908853,-0.04220453898111978,,-1.6640338897705078
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1247,1247,10,12.034305572509766,0.6257867813110352,0.16666412353515625,0.4591226577758789,1.0,11.367675463358562,0.37588024139404297,-0.29165903727213544,0.6675392786661785,,3.999897003173828,0.37497711181640625,-0.04166539510091146,0.4166425069173177,,0.0009031295776367188
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1248,1248,10,11.390012105305988,1.5299263000488281,2.130568186442057,-0.600641886393229,1.0,-0.8169981638590498,-4.395114898681641,-3.1935125986735025,-1.2016023000081382,,3.3327891031901054,-0.8748283386230469,-0.12501017252604166,-0.7498181660970052,,-3.5202865600585938
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1250,1250,10,14.570385615030926,2.1251583099365234,1.0832735697428386,1.0418847401936848,1.0,14.03060245513916,1.5000944137573242,1.2500025431315105,0.25009187062581373,,3.749226888020832,-9.1552734375e-05,0.3333244323730469,-0.3334159851074219,,1.5001859664916992
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1251,1251,10,16.538876215616863,2.431020736694336,1.0873336791992188,1.3436870574951172,1.0,14.856871922810871,4.130180358886719,3.2083511352539062,0.9218292236328125,,5.162680308024086,0.375,0.0419921875,0.3330078125,,3.7551803588867188
Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1253,1253,10,15.380375862121582,-0.07618331909179688,-0.4576692581176758,0.3814859390258789,1.0,-0.639368693033854,-0.8427829742431641,0.05033683776855469,-0.8931198120117188,,2.707089106241863,0.1251678466796875,0.041667938232421875,0.08349990844726562,,-0.9679508209228516
Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1242,1242,8,12.086727142333984,0.6250019073486328,0.41669241587320965,0.20830949147542316,1.0,12.082817077636719,0.0027027130126953125,0.20799763997395834,-0.20529492696126303,,4.8316558202107736,0.1253662109375,-0.1250441869099935,0.2504103978474935,,-0.12266349792480469
Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1243,1243,8,13.91292889912923,1.3709306716918945,1.0419464111328125,0.32898426055908203,1.0,-0.7950236002604167,-0.6541709899902344,-0.12497711181640625,-0.5291938781738281,,2.2911923726399728,-0.12480926513671875,0.41666539510091144,-0.5414746602376301,,-0.5293617248535156
Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1241,1241,9,7.418965657552082,0.9911212921142578,3.9995810190836587,-3.008459726969401,1.0,3.5343990325927734,2.2471866607666016,5.374999364217122,-3.1278127034505205,,3.9985707600911446,-0.3751640319824219,-0.16663996378580728,-0.2085240681966146,,2.6223506927490234
Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1244,1244,9,15.369791030883789,2.500772476196289,1.3752590815226238,1.1255133946736653,1.0,14.495265007019043,1.8771944046020508,1.0000343322753906,0.8771600723266602,,3.9582993189493827,0.12499523162841797,0.2499974568684896,-0.12500222524007162,,1.7521991729736328
Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1249,1249,9,8.075445810953777,1.6293525695800781,3.2917305628458657,-1.6623779932657876,1.0,8.860520044962566,1.8795337677001953,2.54166571299235,-0.6621319452921548,,7.289553960164387,-0.25,0.08333365122477214,-0.33333365122477215,,2.1295337677001953
Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1252,1252,9,12.546652158101399,2.10146427154541,1.334456443786621,0.7670078277587891,1.0,11.927589098612469,2.990994453430176,1.5833276112874348,1.407666842142741,,4.829719225565594,0.5003280639648438,0.000274658203125,0.5000534057617188,,2.490666389465332
