model_label,source_layer,target_layer,normalized_depth,condition,rows,seeds,mean_target_donor_fraction,mean_donor_log_odds_gain,argmax_change_rate,mean_replacement_delta_norm,geometry_discovery_centroid_r2
Gemma4-E4B,0,1,0.024390243902439,aligned_dose_1,40,10,-0.1504534055973636,-0.009375,0.0,0.017566969990730243,0.9999987584605614
Gemma4-E4B,0,1,0.024390243902439,aligned_dose_2,40,10,0.0009325557603006001,-0.0265625,0.0,0.0352487663738429,0.9999987584605614
Gemma4-E4B,0,1,0.024390243902439,matched_orthogonal,40,10,0.3014357486739755,-0.0359375,0.0,0.017597673553973382,0.9999987584605614
Gemma4-E4B,3,4,0.0975609756097561,aligned_dose_1,40,10,0.08695220006047746,-0.0203125,0.0,0.04104768037796015,0.9999972812833202
Gemma4-E4B,3,4,0.0975609756097561,aligned_dose_2,40,10,0.2717894988134503,-0.021875,0.0,0.08210108764469619,0.9999972812833202
Gemma4-E4B,3,4,0.0975609756097561,matched_orthogonal,40,10,0.0055970802379306395,-0.0265625,0.0,0.04107145946472879,0.9999972812833202
Gemma4-E4B,7,8,0.1951219512195122,aligned_dose_1,40,10,0.36118707377463577,-0.021875,0.0,0.1799291271716356,0.9999625486050344
Gemma4-E4B,7,8,0.1951219512195122,aligned_dose_2,40,10,0.818797218054533,-0.034375,0.0,0.3598129920661449,0.9999625486050344
Gemma4-E4B,7,8,0.1951219512195122,matched_orthogonal,40,10,0.0031771341571584315,-0.028125,0.0,0.17998246774077412,0.9999625486050344
Gemma4-E4B,8,9,0.2195121951219512,aligned_dose_1,40,10,0.2734945869073272,-0.015625,0.0,0.06687947763130064,0.9999825464365308
Gemma4-E4B,8,9,0.2195121951219512,aligned_dose_2,40,10,0.464023120701313,-0.0125,0.025,0.13372489325702186,0.9999825464365308
Gemma4-E4B,8,9,0.2195121951219512,matched_orthogonal,40,10,0.0660833969945088,-0.0234375,0.0,0.0669051443226635,0.9999825464365308
Gemma4-E4B,11,12,0.2926829268292683,aligned_dose_1,40,10,0.2977445460855961,-0.0296875,0.0,0.11100363545119758,0.9999805629418737
Gemma4-E4B,11,12,0.2926829268292683,aligned_dose_2,40,10,0.5375694677233696,-0.0109375,0.0,0.22216854766011238,0.9999805629418737
Gemma4-E4B,11,12,0.2926829268292683,matched_orthogonal,40,10,0.021585100581251026,-0.0203125,0.0,0.11093236729502673,0.9999805629418737
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1,40,10,0.2519770426675677,-0.021875,0.025,0.20329329650849104,0.9999214239884028
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_2,40,10,0.505788582842797,-0.009375,0.0,0.40658619739115237,0.9999214239884028
Gemma4-E4B,15,16,0.3902439024390244,matched_orthogonal,40,10,0.01441653573565418,-0.0234375,0.0,0.20330156553536655,0.9999214239884028
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1,40,10,0.2194020699709654,0.025,0.0,3.23163071423769,0.9998066598473038
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_2,40,10,0.4630730330944061,0.084375,0.0,6.463358357548714,0.9998066598473038
Gemma4-E4B,19,20,0.4878048780487805,matched_orthogonal,40,10,-0.0001750218332745166,-0.0265625,0.025,3.2316083341836928,0.9998066598473038
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1,40,10,0.408517200499773,0.7828125,0.025,4.273413896560669,0.999693802139782
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_2,40,10,0.8163314208388328,1.6953125,0.025,8.546817097067834,0.999693802139782
Gemma4-E4B,23,24,0.5853658536585366,matched_orthogonal,40,10,0.01186369653260042,-0.0359375,0.0,4.273416331410408,0.999693802139782
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1,40,10,0.8796685442328454,3.3484375,0.15,15.389866921305657,0.9999165625889898
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_2,40,10,1.708605992794037,10.98125,0.625,30.77975150346756,0.9999165625889898
Gemma4-E4B,27,28,0.6829268292682927,matched_orthogonal,40,10,-1.897104084477852e-07,1.0078125,0.025,15.389855998754502,0.9999165625889898
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1,40,10,0.9620457038283348,10.240625,0.675,22.461881387233735,0.9999958057253528
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_2,40,10,1.8726463675498963,12.6953125,0.775,44.92372698783875,0.9999958057253528
Gemma4-E4B,31,32,0.7804878048780488,matched_orthogonal,40,10,0.01815141236875207,1.3296875,0.025,22.461623495817186,0.9999958057253528
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1,40,10,0.9581616684794426,10.5140625,0.675,23.438336300849915,0.9999984183089328
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_2,40,10,1.8813533186912537,12.5984375,0.775,46.8766951084137,0.9999984183089328
Gemma4-E4B,35,36,0.8780487804878049,matched_orthogonal,40,10,0.00941343726590274,-0.6796875,0.05,23.438330984115602,0.9999984183089328
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1,40,10,0.9779418498277664,10.721875,0.675,23.498133301734924,0.9999959608202944
