model_label,source_layer,target_layer,normalized_depth,contrast,metric,seed,effect,pairs_per_seed
Gemma4-E4B,11,12,0.2926829268292683,aligned_dose_1_minus_orthogonal,target_donor_fraction,1263,0.22328993910923597,4
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1254,0.1528878919780254,4
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1255,0.22859396482817826,4
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1256,0.2572048166621243,4
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1257,0.2619015679229051,4
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1258,0.27900097984820604,4
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1259,0.25763992033898825,4
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1260,0.2391558680683374,4
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1261,0.23224789090454578,4
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1262,0.2320159159135073,4
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,1263,0.2349562528543174,4
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,target_donor_fraction,1254,0.2093868667725473,4
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,target_donor_fraction,1255,0.2263825885020196,4
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,target_donor_fraction,1256,0.22395480540581048,4
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,target_donor_fraction,1257,0.21066206030081955,4
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,target_donor_fraction,1258,0.2182886214577593,4
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,target_donor_fraction,1259,0.22384201735258097,4
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,target_donor_fraction,1260,0.20740388007834548,4
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,target_donor_fraction,1261,0.22571006859652692,4
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,target_donor_fraction,1262,0.2279414020013064,4
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,target_donor_fraction,1263,0.22219860757468268,4
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,target_donor_fraction,1254,0.39186339860316366,4
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,target_donor_fraction,1255,0.38579971026047133,4
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,target_donor_fraction,1256,0.4017853561672382,4
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,target_donor_fraction,1257,0.40419272263534367,4
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,target_donor_fraction,1258,0.41042481231852435,4
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,target_donor_fraction,1259,0.3860712868372502,4
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,target_donor_fraction,1260,0.3938287068158388,4
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,target_donor_fraction,1261,0.39157990552484995,4
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,target_donor_fraction,1262,0.4000846369744977,4
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,target_donor_fraction,1263,0.400904503534548,4
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,target_donor_fraction,1254,0.8888267194852233,4
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,target_donor_fraction,1255,0.8832989316433668,4
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,target_donor_fraction,1256,0.8882022313773632,4
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,target_donor_fraction,1257,0.8692118413746357,4
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,target_donor_fraction,1258,0.8756682649254799,4
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,target_donor_fraction,1259,0.8764974577352405,4
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,target_donor_fraction,1260,0.8757163695991039,4
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,target_donor_fraction,1261,0.8751833876594901,4
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,target_donor_fraction,1262,0.8820688053965569,4
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,target_donor_fraction,1263,0.8820133302360773,4
