model_label,source_layer,target_layer,normalized_depth,contrast,metric,seeds,pairs_per_seed,mean_contrast,bootstrap_95ci_low,bootstrap_95ci_high,exact_seed_signflip_p_two_sided,seed_effect_min,seed_effect_max,holm_p_within_model_metric_contrast,significant_holm_0_05
Gemma4-E4B,0,1,0.024390243902439,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,-0.4518891542713391,-1.0523734946450714,-0.002813748943663086,0.0234375,-2.969420655979775,0.00451228045858435,0.02734375,True
Gemma4-E4B,3,4,0.0975609756097561,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.08135511982254681,0.05813191988854667,0.10782683495199304,0.001953125,0.0275988725479692,0.17439039924647654,0.02734375,True
Gemma4-E4B,7,8,0.1951219512195122,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.35800993961747735,0.29216851185774434,0.4224533225176856,0.001953125,0.20448221080005163,0.5286976837087423,0.02734375,True
Gemma4-E4B,8,9,0.2195121951219512,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.20741118991281837,0.13355589586368294,0.3171852783765644,0.001953125,0.043918754905462175,0.6509398063644767,0.02734375,True
Gemma4-E4B,11,12,0.2926829268292683,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.27615944550434507,0.2287441222619964,0.35883451164245345,0.001953125,0.2169507856597192,0.629675935861087,0.02734375,True
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.23756050693191355,0.21546994128584623,0.25479536220191223,0.001953125,0.1528878919780254,0.27900097984820604,0.02734375,True
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.21957709180423984,0.2148776386090321,0.22386711622282743,0.001953125,0.20740388007834548,0.2279414020013064,0.02734375,True
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.3966535039671726,0.39193912360116884,0.40144742494012464,0.001953125,0.38579971026047133,0.41042481231852435,0.02734375,True
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.8796687339432537,0.8759899919852614,0.8834380714222788,0.001953125,0.8692118413746357,0.8888267194852233,0.02734375,True
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.9438942914595827,0.9374797077343101,0.9508707643242087,0.001953125,0.9285113073419778,0.9633967075496912,0.02734375,True
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.9487482312135398,0.9390644082472136,0.9581481554749189,0.001953125,0.9265954868169503,0.9701007632538676,0.02734375,True
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.9758948774207965,0.9639464493986452,0.9884252050498616,0.001953125,0.9423214785783784,1.013259571744129,0.02734375,True
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.9531404847715749,0.9459905588068068,0.9604928954999196,0.001953125,0.9369652676396072,0.9719768713694066,0.02734375,True
Gemma4-E4B,40,41,1.0,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.9168560327030718,0.9026550490292721,0.9297583390609361,0.001953125,0.8749948907643557,0.9516794206574559,0.02734375,True
Qwen3-8B,0,1,0.0285714285714285,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.004706723437993799,-0.045619707834630374,0.06125982269004453,0.83203125,-0.15029444289393729,0.20408096120809202,0.83203125,False
Qwen3-8B,3,4,0.1142857142857142,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.1314418712237966,0.11313632274541305,0.14771349005324738,0.001953125,0.07066062942612915,0.1636113005224615,0.021484375,True
Qwen3-8B,7,8,0.2285714285714285,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.19262034097546343,0.17093770535984726,0.21481649646950246,0.001953125,0.14365927316248417,0.25335459386406,0.021484375,True
Qwen3-8B,11,12,0.3428571428571428,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.44267936353571713,0.40854713576554785,0.4725207559298724,0.001953125,0.3411008070688694,0.4962856760248542,0.021484375,True
Qwen3-8B,15,16,0.4571428571428571,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.5328004913360929,0.5145659763882577,0.5512241517462826,0.001953125,0.4785059585701674,0.5871836789883673,0.021484375,True
Qwen3-8B,19,20,0.5714285714285714,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.2449546253599692,0.2378457380924374,0.2523934859815927,0.001953125,0.2266005218261853,0.26786195294698695,0.021484375,True
Qwen3-8B,23,24,0.6857142857142857,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.8496057846321492,0.8407503705868293,0.8586413701932178,0.001953125,0.8274248992092907,0.874658731801901,0.021484375,True
Qwen3-8B,27,28,0.8,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.7399202521541156,0.7305978117859923,0.7482950804886058,0.001953125,0.7068094061687589,0.7642630797345191,0.021484375,True
Qwen3-8B,28,29,0.8285714285714286,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.9417436746880412,0.9126957275508902,0.9669876534771175,0.001953125,0.8492763852700591,0.9947297442704439,0.021484375,True
Qwen3-8B,31,32,0.9142857142857144,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.8847065249457955,0.8809291398804635,0.8885953553859144,0.001953125,0.8735913652926683,0.8949875086545944,0.021484375,True
Qwen3-8B,34,35,1.0,aligned_dose_1_minus_orthogonal,target_donor_fraction,10,4,0.8830164135200903,0.8765366941600223,0.8899699767469429,0.001953125,0.8626673212274909,0.9071108126081526,0.021484375,True
Gemma4-E4B,0,1,0.024390243902439,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,0.0265625,0.00625,0.04375,0.0625,-0.03125,0.0625,0.375,False
Gemma4-E4B,3,4,0.0975609756097561,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,0.00625,-0.0125,0.0265625,0.65625,-0.03125,0.0625,1.0,False
Gemma4-E4B,7,8,0.1951219512195122,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,0.00625,-0.028125,0.03125,0.875,-0.125,0.0625,1.0,False
Gemma4-E4B,8,9,0.2195121951219512,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,0.0078125,-0.0328125,0.05,0.78515625,-0.09375,0.125,1.0,False
Gemma4-E4B,11,12,0.2926829268292683,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,-0.009375,-0.053125,0.0375,0.8125,-0.09375,0.15625,1.0,False
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,0.0015625,-0.021875,0.028125,1.0,-0.0625,0.09375,1.0,False
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,0.0515625,0.015625,0.084375,0.03515625,-0.0625,0.125,0.24609375,False
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,0.81875,0.728125,0.909375,0.001953125,0.5625,1.0625,0.02734375,True
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,2.340625,1.7875,2.984375,0.001953125,1.09375,4.5625,0.02734375,True
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,8.9109375,8.265625,9.646875,0.001953125,7.3125,11.40625,0.02734375,True
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,11.19375,10.521875,11.859375,0.001953125,9.234375,13.03125,0.02734375,True
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,9.3578125,8.80625,9.9796875,0.001953125,7.96875,11.484375,0.02734375,True
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,9.5828125,9.065625,10.1359375,0.001953125,8.1875,11.296875,0.02734375,True
Gemma4-E4B,40,41,1.0,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,9.4296875,8.9640625,9.89375,0.001953125,8.0625,10.65625,0.02734375,True
Qwen3-8B,0,1,0.0285714285714285,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,-0.00625,-0.0625,0.04375,1.0,-0.1875,0.0625,1.0,False
Qwen3-8B,3,4,0.1142857142857142,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,0.0,-0.05,0.04375,1.0,-0.1875,0.0625,1.0,False
Qwen3-8B,7,8,0.2285714285714285,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,-0.00625,-0.05,0.03125,1.0,-0.125,0.0625,1.0,False
Qwen3-8B,11,12,0.3428571428571428,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,-0.00625,-0.04375,0.03125,1.0,-0.125,0.0625,1.0,False
Qwen3-8B,15,16,0.4571428571428571,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,-0.01875,-0.09375,0.05,0.74609375,-0.1875,0.125,1.0,False
Qwen3-8B,19,20,0.5714285714285714,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,0.09375,0.03125,0.16875,0.0390625,-0.0625,0.375,0.234375,False
Qwen3-8B,23,24,0.6857142857142857,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,11.1625,10.23125,12.24375,0.001953125,8.75,15.0,0.021484375,True
Qwen3-8B,27,28,0.8,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,13.09375,12.4,13.85625,0.001953125,11.1875,15.5625,0.021484375,True
Qwen3-8B,28,29,0.8285714285714286,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,11.98125,11.20625,12.89375,0.001953125,10.125,15.125,0.021484375,True
Qwen3-8B,31,32,0.9142857142857144,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,13.83125,13.14375,14.575,0.001953125,12.0,15.875,0.021484375,True
Qwen3-8B,34,35,1.0,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,10,4,13.01875,12.81875,13.2375,0.001953125,12.5625,13.5625,0.021484375,True
Gemma4-E4B,0,1,0.024390243902439,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,-0.3005031929136749,-0.7518920940870885,0.0034992629043699786,0.35546875,-1.5243679982377216,0.0152009627199731,0.35546875,False
Gemma4-E4B,3,4,0.0975609756097561,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,0.2661924185755197,0.24124850289081223,0.28727440883827515,0.001953125,0.17831132793799045,0.31652988214045763,0.02734375,True
Gemma4-E4B,7,8,0.1951219512195122,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,0.8156200838973746,0.7341245636576786,0.8860512680985266,0.001953125,0.5776389348320663,0.9368586274795234,0.02734375,True
Gemma4-E4B,8,9,0.2195121951219512,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,0.3979397237068042,0.2940673748991685,0.4702902895305306,0.00390625,-0.018856753595173345,0.5290378518402576,0.02734375,True
Gemma4-E4B,11,12,0.2926829268292683,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,0.5159843671421186,0.4942064777140331,0.5355802777311692,0.001953125,0.45577122434042394,0.5628896140260622,0.02734375,True
Gemma4-E4B,15,16,0.3902439024390244,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,0.4913720471071429,0.4577418559632133,0.5222616294850013,0.001953125,0.3994308263063431,0.5649038248229772,0.02734375,True
Gemma4-E4B,19,20,0.4878048780487805,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,0.4632480549276806,0.45368207039660774,0.4729289382514253,0.001953125,0.4390367628657259,0.490912043955177,0.02734375,True
Gemma4-E4B,23,24,0.5853658536585366,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,0.8044677243062324,0.7971024177412892,0.8109955760405047,0.001953125,0.7797450569669309,0.8203437302145176,0.02734375,True
Gemma4-E4B,27,28,0.6829268292682927,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.7086061825044454,1.6949802858824843,1.7196844161860645,0.001953125,1.6642373390495777,1.7258512442931533,0.02734375,True
Gemma4-E4B,31,32,0.7804878048780488,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.8544949551811443,1.8420707786240382,1.8681238278280945,0.001953125,1.82470388780348,1.8933509830385447,0.02734375,True
Gemma4-E4B,35,36,0.8780487804878049,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.871939881425351,1.855078446380503,1.8882042369717964,0.001953125,1.8288887814851478,1.9106490788981318,0.02734375,True
