model_label,mode,layer,occurrence,n_confirmation_class,metric,value,quality_direction,quality_value
Qwen3-8B,non_thinking,0,5,10,min_bhattacharyya,1.3310633599758148,higher,1.3310633599758148
Qwen3-8B,non_thinking,0,5,10,mean_bhattacharyya,2.865675585137473,higher,2.865675585137473
Qwen3-8B,non_thinking,0,5,10,nc2_class_cosine_deviation,0.3996862021309358,lower,-0.3996862021309358
Qwen3-8B,non_thinking,0,6,10,logistic_precision,0.375,higher,0.375
Qwen3-8B,non_thinking,0,6,10,logistic_recall,0.3,higher,0.3
Qwen3-8B,non_thinking,0,6,10,logistic_f1,0.3333333333333333,higher,0.3333333333333333
Qwen3-8B,non_thinking,0,6,10,ncc_recall,0.1,higher,0.1
Qwen3-8B,non_thinking,0,6,10,silhouette_cosine,-0.14869552850723267,higher,-0.14869552850723267
Qwen3-8B,non_thinking,0,6,10,within_trace,2148.250732421875,lower,-2148.250732421875
Qwen3-8B,non_thinking,0,6,10,class_nc1_ratio,7.584027653283231,lower,-7.584027653283231
Qwen3-8B,non_thinking,0,6,10,centroid_nearest_squared,176.52989196777344,higher,176.52989196777344
Qwen3-8B,non_thinking,0,6,10,fisher_nearest,0.0821737841414623,higher,0.0821737841414623
Qwen3-8B,non_thinking,0,6,10,min_bhattacharyya,1.1823402643203735,higher,1.1823402643203735
Qwen3-8B,non_thinking,0,6,10,mean_bhattacharyya,2.9856464001867504,higher,2.9856464001867504
Qwen3-8B,non_thinking,0,6,10,nc2_class_cosine_deviation,0.6618389298242552,lower,-0.6618389298242552
Qwen3-8B,non_thinking,0,7,10,logistic_precision,0.42857142857142855,higher,0.42857142857142855
Qwen3-8B,non_thinking,0,7,10,logistic_recall,0.3,higher,0.3
Qwen3-8B,non_thinking,0,7,10,logistic_f1,0.35294117647058826,higher,0.35294117647058826
Qwen3-8B,non_thinking,0,7,10,ncc_recall,0.1,higher,0.1
Qwen3-8B,non_thinking,0,7,10,silhouette_cosine,-0.17141251266002655,higher,-0.17141251266002655
Qwen3-8B,non_thinking,0,7,10,within_trace,2346.068359375,lower,-2346.068359375
Qwen3-8B,non_thinking,0,7,10,class_nc1_ratio,6.397357402590948,lower,-6.397357402590948
Qwen3-8B,non_thinking,0,7,10,centroid_nearest_squared,176.52989196777344,higher,176.52989196777344
Qwen3-8B,non_thinking,0,7,10,fisher_nearest,0.07524499073624673,higher,0.07524499073624673
Qwen3-8B,non_thinking,0,7,10,min_bhattacharyya,1.1823402643203735,higher,1.1823402643203735
Qwen3-8B,non_thinking,0,7,10,mean_bhattacharyya,2.9598966240882874,higher,2.9598966240882874
Qwen3-8B,non_thinking,0,7,10,nc2_class_cosine_deviation,0.6021779650523338,lower,-0.6021779650523338
Qwen3-8B,non_thinking,0,8,10,logistic_precision,0.0,higher,0.0
Qwen3-8B,non_thinking,0,8,10,logistic_recall,0.0,higher,0.0
Qwen3-8B,non_thinking,0,8,10,logistic_f1,0.0,higher,0.0
Qwen3-8B,non_thinking,0,8,10,ncc_recall,0.3,higher,0.3
Qwen3-8B,non_thinking,0,8,10,silhouette_cosine,-0.022878963500261307,higher,-0.022878963500261307
Qwen3-8B,non_thinking,0,8,10,within_trace,2043.6756591796875,lower,-2043.6756591796875
Qwen3-8B,non_thinking,0,8,10,class_nc1_ratio,3.525264902671289,lower,-3.525264902671289
Qwen3-8B,non_thinking,0,8,10,centroid_nearest_squared,348.3150329589844,higher,348.3150329589844
Qwen3-8B,non_thinking,0,8,10,fisher_nearest,0.17043557347000687,higher,0.17043557347000687
Qwen3-8B,non_thinking,0,8,10,min_bhattacharyya,1.312821626663208,higher,1.312821626663208
Qwen3-8B,non_thinking,0,8,10,mean_bhattacharyya,3.5937009387546115,higher,3.5937009387546115
Qwen3-8B,non_thinking,0,8,10,nc2_class_cosine_deviation,0.5112885318604516,lower,-0.5112885318604516
Qwen3-8B,non_thinking,0,9,10,logistic_precision,0.15384615384615385,higher,0.15384615384615385
Qwen3-8B,non_thinking,0,9,10,logistic_recall,0.2,higher,0.2
Qwen3-8B,non_thinking,0,9,10,logistic_f1,0.17391304347826086,higher,0.17391304347826086
Qwen3-8B,non_thinking,0,9,10,ncc_recall,0.1,higher,0.1
Qwen3-8B,non_thinking,0,9,10,silhouette_cosine,-0.0975138396024704,higher,-0.0975138396024704
Qwen3-8B,non_thinking,0,9,10,within_trace,1874.01318359375,lower,-1874.01318359375
Qwen3-8B,non_thinking,0,9,10,class_nc1_ratio,3.1571694251510576,lower,-3.1571694251510576
Qwen3-8B,non_thinking,0,9,10,centroid_nearest_squared,244.60276794433594,higher,244.60276794433594
Qwen3-8B,non_thinking,0,9,10,fisher_nearest,0.1305235043625825,higher,0.1305235043625825
Qwen3-8B,non_thinking,0,9,10,min_bhattacharyya,1.3824391663074493,higher,1.3824391663074493
Qwen3-8B,non_thinking,0,9,10,mean_bhattacharyya,3.580208112796148,higher,3.580208112796148
Qwen3-8B,non_thinking,0,9,10,nc2_class_cosine_deviation,0.5899299291180975,lower,-0.5899299291180975
Qwen3-8B,non_thinking,0,10,10,logistic_precision,0.0,higher,0.0
Qwen3-8B,non_thinking,0,10,10,logistic_recall,0.0,higher,0.0
Qwen3-8B,non_thinking,0,10,10,logistic_f1,0.0,higher,0.0
Qwen3-8B,non_thinking,0,10,10,ncc_recall,0.6,higher,0.6
Qwen3-8B,non_thinking,0,10,10,silhouette_cosine,-0.07083036005496979,higher,-0.07083036005496979
Qwen3-8B,non_thinking,0,10,10,within_trace,2783.80322265625,lower,-2783.80322265625
Qwen3-8B,non_thinking,0,10,10,class_nc1_ratio,4.256357102665955,lower,-4.256357102665955
Qwen3-8B,non_thinking,0,10,10,centroid_nearest_squared,186.95240783691406,higher,186.95240783691406
Qwen3-8B,non_thinking,0,10,10,fisher_nearest,0.06715719211594552,higher,0.06715719211594552
Qwen3-8B,non_thinking,0,10,10,min_bhattacharyya,1.3824391663074493,higher,1.3824391663074493
Qwen3-8B,non_thinking,0,10,10,mean_bhattacharyya,3.6777532729837628,higher,3.6777532729837628
