model_label,layer,metric,estimand,native_minus_nonthinking,jackknife_se,ci_low_normal,ci_high_normal,jackknife_seed_count
Qwen3-8B,0,centroid_nearest_squared,quality_slope_per_index,48.592259447502315,37.18363511440002,-24.28766537672172,121.47218427172635,9
Qwen3-8B,0,centroid_nearest_squared,quality_spearman,0.17799759943710872,0.6944950122139582,-1.1832126245022492,1.5392078233764668,9
Qwen3-8B,0,centroid_nearest_squared,late_8_10_minus_early_1_3,342.75503031412757,275.2859969619852,-196.80552373136334,882.3155843596185,9
Qwen3-8B,0,class_nc1_ratio,quality_slope_per_index,-0.7623994112074866,0.48843138238960254,-1.7197249206911076,0.19492609827613439,9
Qwen3-8B,0,class_nc1_ratio,quality_spearman,-0.2424242424242424,0.32928122375619934,-0.8878154409863931,0.4029669561379082,9
Qwen3-8B,0,class_nc1_ratio,late_8_10_minus_early_1_3,-3.921963583349758,4.500274277191195,-12.7425011666445,4.898573999944984,9
Qwen3-8B,0,fisher_nearest,quality_slope_per_index,-0.0014967051142260796,0.03170688508354386,-0.06364219987797205,0.06064878964951989,9
Qwen3-8B,0,fisher_nearest,quality_spearman,0.06060606060606061,0.8462543500437523,-1.598052465479694,1.719264586691815,9
Qwen3-8B,0,fisher_nearest,late_8_10_minus_early_1_3,-0.01677391924677775,0.2513471112858161,-0.5094142573669773,0.47586641887342185,9
Qwen3-8B,0,logistic_f1,quality_slope_per_index,0.012189198033187763,0.017290474235995116,-0.021700131469362664,0.04607852753573819,9
Qwen3-8B,0,logistic_f1,quality_spearman,0.07732860183732304,0.37146350753033053,-0.6507398729221248,0.8053970765967708,9
Qwen3-8B,0,logistic_f1,late_8_10_minus_early_1_3,0.0967604433077579,0.13795792308394766,-0.1736370859367795,0.3671579725522953,9
Qwen3-8B,0,logistic_precision,quality_slope_per_index,-0.025981459617823256,0.031545428329068016,-0.08781049914279657,0.035847579907150054,9
Qwen3-8B,0,logistic_precision,quality_spearman,-0.13192693282754264,0.2507026189386906,-0.6233040659473763,0.35945020029229097,9
