population,model_label,seed,condition,endpoint,effect,rows
clean_correct_only,Qwen3-8B,1261,normmatched_orthogonal,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1261,normmatched_orthogonal,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1262,actual_rank3_remove,accuracy_drop,0.0,4
clean_correct_only,Qwen3-8B,1262,actual_rank3_remove,absolute_error_increase,0.0,4
clean_correct_only,Qwen3-8B,1262,centroid_curve_remove,accuracy_drop,0.0,4
clean_correct_only,Qwen3-8B,1262,centroid_curve_remove,absolute_error_increase,0.0,4
clean_correct_only,Qwen3-8B,1262,normmatched_orthogonal,accuracy_drop,0.0,4
clean_correct_only,Qwen3-8B,1262,normmatched_orthogonal,absolute_error_increase,0.0,4
clean_correct_only,Qwen3-8B,1263,actual_rank3_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1263,actual_rank3_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1263,centroid_curve_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1263,centroid_curve_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1263,normmatched_orthogonal,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1263,normmatched_orthogonal,absolute_error_increase,0.0,3
