model_label,layer,needle_raw_rms_change_mean,needle_raw_rms_change_ci95_low,needle_raw_rms_change_ci95_high,needle_raw_rms_change_exact_sign_flip_p,needle_raw_rms_change_seed_units,ordinary_raw_rms_change_mean,ordinary_raw_rms_change_ci95_low,ordinary_raw_rms_change_ci95_high,ordinary_raw_rms_change_exact_sign_flip_p,ordinary_raw_rms_change_seed_units,raw_specificity_mean,raw_specificity_ci95_low,raw_specificity_ci95_high,raw_specificity_exact_sign_flip_p,raw_specificity_seed_units,needle_relative_rms_change_mean,needle_relative_rms_change_ci95_low,needle_relative_rms_change_ci95_high,needle_relative_rms_change_exact_sign_flip_p,needle_relative_rms_change_seed_units,ordinary_relative_rms_change_mean,ordinary_relative_rms_change_ci95_low,ordinary_relative_rms_change_ci95_high,ordinary_relative_rms_change_exact_sign_flip_p,ordinary_relative_rms_change_seed_units,relative_specificity_mean,relative_specificity_ci95_low,relative_specificity_ci95_high,relative_specificity_exact_sign_flip_p,relative_specificity_seed_units,needle_mean_cosine_distance_mean,needle_mean_cosine_distance_ci95_low,needle_mean_cosine_distance_ci95_high,needle_mean_cosine_distance_exact_sign_flip_p,needle_mean_cosine_distance_seed_units,ordinary_mean_cosine_distance_mean,ordinary_mean_cosine_distance_ci95_low,ordinary_mean_cosine_distance_ci95_high,ordinary_mean_cosine_distance_exact_sign_flip_p,ordinary_mean_cosine_distance_seed_units,cosine_specificity_mean,cosine_specificity_ci95_low,cosine_specificity_ci95_high,cosine_specificity_exact_sign_flip_p,cosine_specificity_seed_units
Qwen3-8B,0,0.172994971126318,0.16853382151946428,0.17897389672324063,0.001953125,10,0.18540628671646117,0.182296486094594,0.1902151150777936,0.001953125,10,-0.012411315590143204,-0.01435753707960248,-0.010380893785506487,0.001953125,10,1.0642449271678927,1.0442907010912894,1.0876644947230818,0.001953125,10,1.0773093247413636,1.0644789228737355,1.085874861598015,0.001953125,10,-0.013064397573471068,-0.03693464365601539,0.021315245509147658,0.482421875,10,0.49933398991823197,0.4904073045402766,0.5092618828862906,0.001953125,10,0.5460040915012361,0.5374119961261749,0.5527560072094203,0.001953125,10,-0.046670101583004005,-0.05852180268615484,-0.03157717198133469,0.00390625,10
Qwen3-8B,1,0.2312085543572903,0.22583876296877864,0.23806420743465423,0.001953125,10,0.23343704342842103,0.23107874408364296,0.23685617217421534,0.001953125,10,-0.002228489071130753,-0.005923816211521625,0.0017979998849332337,0.302734375,10,0.9866268187761307,0.9752588170766832,0.999031169742346,0.001953125,10,1.023342872262001,0.9992926878631113,1.037371461957693,0.001953125,10,-0.036716053485870356,-0.05882328540086746,-0.00250243067741394,0.0546875,10,0.45616091966629035,0.4501592741534114,0.4640683537721634,0.001953125,10,0.48718834221363067,0.47030744463205343,0.49793972904235134,0.001953125,10,-0.031027422547340394,-0.04199274463951588,-0.014600817561149598,0.009765625,10
Qwen3-8B,2,0.28301326900720597,0.275021870136261,0.2934722959548235,0.001953125,10,0.27521123528480523,0.27108384877443314,0.2805309612154961,0.001953125,10,0.007802033722400665,0.001511009633541107,0.014393966302275662,0.04296875,10,0.9890540522336961,0.9779926494956018,1.0013550931811332,0.001953125,10,1.0333013796806336,1.0066430240869522,1.0496527630537749,0.001953125,10,-0.04424732744693756,-0.06828778663277625,-0.007213212326168999,0.044921875,10,0.4729303860664368,0.467310551404953,0.4800333584621549,0.001953125,10,0.49361956030130394,0.4762961458563804,0.5049114274010064,0.001953125,10,-0.020689174234867096,-0.03203322559595108,-0.0038242995589971513,0.037109375,10
Qwen3-8B,3,0.35796112209558484,0.3491320037618279,0.37126711726188655,0.001953125,10,0.34541701287031173,0.3398893514275551,0.35383575272560125,0.001953125,10,0.012544109225273131,0.007399880200624467,0.018212555661797532,0.00390625,10,1.0120193523168566,0.9990046929717064,1.0283213818073271,0.001953125,10,1.0484275150299072,1.0262864047586917,1.062205030351877,0.001953125,10,-0.03640816271305085,-0.05965745815634727,0.0005515811294317692,0.07421875,10,0.5043396466970445,0.499251935184002,0.5097907052189111,0.001953125,10,0.5126133725047112,0.49690955807268616,0.5230113869905472,0.001953125,10,-0.00827372580766678,-0.01892391890287399,0.0085674806535244,0.349609375,10
Qwen3-8B,4,0.4533686238527298,0.4377117046788334,0.4779567723199725,0.001953125,10,0.4415589901804925,0.4234520351886749,0.47212703215330837,0.001953125,10,0.011809633672237398,0.004011536538600921,0.018742707133293155,0.021484375,10,0.949463243484497,0.9259273683428765,0.9855699796229601,0.001953125,10,0.9928308826684953,0.9858497791588307,0.999921294718981,0.001953125,10,-0.0433676391839981,-0.06439650893211366,-0.00906427493691444,0.029296875,10,0.45205658257007597,0.4427032694667578,0.4622177890315652,0.001953125,10,0.46297057300806055,0.45664150366187106,0.46875895857810984,0.001953125,10,-0.010913990437984467,-0.01680661231279373,-0.0027973648905754087,0.03515625,10
Qwen3-8B,5,0.5593172204494476,0.5444874393939971,0.5801588887870311,0.001953125,10,0.5637454664707183,0.5487472256571053,0.5855943966209889,0.001953125,10,-0.004428246021270751,-0.009506004840135574,0.0012983195185661343,0.16015625,10,0.9365587818622588,0.918755325883627,0.9608949214220047,0.001953125,10,0.9818454110622407,0.9735252527594567,0.9903498671948909,0.001953125,10,-0.045286629199981686,-0.06082381248474121,-0.020543555259704586,0.013671875,10,0.4384961259365081,0.42989583164453504,0.4470845052599907,0.001953125,10,0.45996912986040117,0.4521114338561893,0.467953731380403,0.001953125,10,-0.021473003923892973,-0.02883449524641037,-0.011360176205635073,0.005859375,10
Qwen3-8B,6,0.6604088169336318,0.6446521270275116,0.6816665192246436,0.001953125,10,0.6881892442703247,0.6726093592345714,0.7081050473451614,0.001953125,10,-0.027780427336692816,-0.034272862076759336,-0.02125117100775241,0.001953125,10,0.9505136418342589,0.9328086063861847,0.9746165728569031,0.001953125,10,0.992775422334671,0.9841779124438763,1.0020787420719863,0.001953125,10,-0.04226178050041199,-0.05930835425853729,-0.01633896593749522,0.015625,10,0.43986595213413243,0.43180353866517546,0.4474527437016368,0.001953125,10,0.4732452946901321,0.4626382253319025,0.4838405355364084,0.001953125,10,-0.03337934255599976,-0.04364704360812902,-0.01986170914024114,0.00390625,10
Qwen3-8B,7,0.7436085152626039,0.7302586358636618,0.7596392568647862,0.001953125,10,0.7837766033411027,0.7720064848661423,0.7953963774442673,0.001953125,10,-0.04016808807849884,-0.05040317526459694,-0.029233833760023115,0.001953125,10,1.0025105291604999,0.9894877894669772,1.0187434826493265,0.001953125,10,1.033451415300369,1.0199517191946508,1.046004891037941,0.001953125,10,-0.03094088613986969,-0.04846012341976166,-0.004687526836991307,0.04296875,10,0.4828000029921532,0.47602758287638425,0.48901080101728445,0.001953125,10,0.5171903595328331,0.4980396972298622,0.5326626613736153,0.001953125,10,-0.03439035654067993,-0.04844456309825182,-0.015419802911579584,0.015625,10
Qwen3-8B,8,0.8374215292930604,0.8257916510105133,0.8486503346562386,0.001953125,10,0.8992082715034485,0.8817549806833267,0.9152615995407105,0.001953125,10,-0.06178674221038819,-0.07921776059269905,-0.039231430336833004,0.00390625,10,1.0575848925113678,1.0482117771804333,1.067015830755234,0.001953125,10,1.072407578229904,1.0523647188246252,1.0876583607792856,0.001953125,10,-0.01482268571853638,-0.03267024993896485,0.00972519516944885,0.2421875,10,0.5281459078192711,0.5212881666421889,0.5350494120568036,0.001953125,10,0.5603798514604569,0.5338556933254003,0.5795978181958199,0.001953125,10,-0.032233943641185765,-0.04926448789983988,-0.008044621087610719,0.025390625,10
Qwen3-8B,9,0.8735465276241303,0.8625029785186052,0.8839839712530376,0.001953125,10,0.9437112194299699,0.9202189140468837,0.9633274722099303,0.001953125,10,-0.07016469180583954,-0.08990892469882963,-0.04310992346704005,0.00390625,10,1.0800462222099303,1.071808318644762,1.0885841064453126,0.001953125,10,1.094679149389267,1.0709336149692534,1.110755457878113,0.001953125,10,-0.014632927179336546,-0.03302452483773232,0.010990509003400822,0.2578125,10,0.5505721682310105,0.5426685514301062,0.5585524324625731,0.001953125,10,0.5861853766441346,0.5548247466534376,0.6074952218830586,0.001953125,10,-0.035613208413124084,-0.05406674309074879,-0.008860009312629698,0.025390625,10
