model,layer,head,discovery_seeds,first_span_mass_mean,ten_span_total_mass_mean,first_share_ratio_of_means,first_share_mean_of_rows,other_nine_span_mass_mean,first_minus_other_mean,span_1_mass,span_2_mass,span_3_mass,span_4_mass,span_5_mass,span_6_mass,span_7_mass,span_8_mass,span_9_mass,span_10_mass,ten_span_mass_profile,first_span_absolute_mass_rank
Gemma4-E4B,11,6,20,0.040711064357310534,0.05765150863298913,0.7061578321649505,0.7205495227829659,0.0018822715861865108,0.03882879277112402,0.040711064357310534,0.007718687318265438,0.002387974672456039,0.0015773566978168675,0.001311072830867488,0.0009054718982952181,0.0009553214797051624,0.0007175158971222118,0.0006943724307348021,0.0006726710504153744,"[0.040711064357310534, 0.007718687318265438, 0.002387974672456039, 0.0015773566978168675, 0.001311072830867488, 0.0009054718982952181, 0.0009553214797051624, 0.0007175158971222118, 0.0006943724307348021, 0.0006726710504153744]",1
Gemma4-E4B,41,1,20,0.034787960239918904,0.31107552589674015,0.11183123500196727,0.11373336547907857,0.03069861840631347,0.0040893418336054345,0.034787960239918904,0.03232639350026147,0.03190963222295977,0.03798483778955415,0.027102561161154882,0.024978323782852384,0.03267100597731769,0.033475654486392156,0.03297924651269568,0.02285991022363305,"[0.034787960239918904, 0.03232639350026147, 0.03190963222295977, 0.03798483778955415, 0.027102561161154882, 0.024978323782852384, 0.03267100597731769, 0.033475654486392156, 0.03297924651269568, 0.02285991022363305]",2
Gemma4-E4B,23,2,20,0.029690285632386803,0.11221312415436842,0.26458835235299855,0.2672744908938462,0.00916920428022018,0.020521081352166622,0.029690285632386803,0.011781895440071822,0.011156673613004386,0.009904719004407526,0.007958319457247853,0.01060583086218685,0.008165149507112801,0.006695488793775439,0.007622119964798913,0.008632641879376023,"[0.029690285632386803, 0.011781895440071822, 0.011156673613004386, 0.009904719004407526, 0.007958319457247853, 0.01060583086218685, 0.008165149507112801, 0.006695488793775439, 0.007622119964798913, 0.008632641879376023]",3
Gemma4-E4B,35,6,20,0.02914859296870418,0.25297706204728454,0.11522227641040415,0.11518406755031121,0.024869829897620047,0.004278763071084133,0.02914859296870418,0.04222882151225349,0.03875861582637299,0.03294909950345755,0.02090900191979017,0.015783978042600212,0.017797347533633,0.02041177308492479,0.021390130033978494,0.013599701621569694,"[0.02914859296870418, 0.04222882151225349, 0.03875861582637299, 0.03294909950345755, 0.02090900191979017, 0.015783978042600212, 0.017797347533633, 0.02041177308492479, 0.021390130033978494, 0.013599701621569694]",4
Gemma4-E4B,17,3,20,0.02844426253577694,0.13100589086243417,0.2171220114494356,0.21678924261247573,0.011395736480739693,0.017048526055037247,0.02844426253577694,0.03114338932791725,0.01656655836850405,0.013303871761308983,0.008854187934775836,0.009024418040644378,0.007630782946944237,0.006167773038032465,0.004526729526696726,0.005343917381833307,"[0.02844426253577694, 0.03114338932791725, 0.01656655836850405, 0.013303871761308983, 0.008854187934775836, 0.009024418040644378, 0.007630782946944237, 0.006167773038032465, 0.004526729526696726, 0.005343917381833307]",5
Gemma4-E4B,41,4,20,0.02732224235951435,0.2880202457516134,0.09486222848055222,0.09678407265558167,0.028966444821344337,-0.0016442024618299883,0.02732224235951435,0.031860110346315196,0.036271848520846105,0.04000857792561874,0.0241736085008597,0.021459713169315366,0.02758216271759011,0.03159587547779665,0.030413589779709583,0.017332516954047604,"[0.02732224235951435, 0.031860110346315196, 0.036271848520846105, 0.04000857792561874, 0.0241736085008597, 0.021459713169315366, 0.02758216271759011, 0.03159587547779665, 0.030413589779709583, 0.017332516954047604]",6
Gemma4-E4B,41,0,20,0.025891449314076453,0.21069341730035376,0.1228868449988968,0.12576340953774484,0.020533551998475258,0.005357897315601195,0.025891449314076453,0.023218701733276247,0.02285904511809349,0.024916188418865205,0.018804136605467647,0.017722382658394053,0.019700235861819237,0.021111377389752307,0.02123994560679421,0.015229954593814909,"[0.025891449314076453, 0.023218701733276247, 0.02285904511809349, 0.024916188418865205, 0.018804136605467647, 0.017722382658394053, 0.019700235861819237, 0.021111377389752307, 0.02123994560679421, 0.015229954593814909]",7
Gemma4-E4B,29,6,20,0.02494552657008171,0.23693980025127528,0.10528212880920348,0.10491999292223901,0.0235549192979104,0.0013906072721713118,0.02494552657008171,0.029628807306289674,0.028269267827272414,0.024884981755167245,0.023017546720802785,0.022634381987154485,0.022067700698971748,0.021044951118528842,0.021418453380465507,0.01902818288654089,"[0.02494552657008171, 0.029628807306289674, 0.028269267827272414, 0.024884981755167245, 0.023017546720802785, 0.022634381987154485, 0.022067700698971748, 0.021044951118528842, 0.021418453380465507, 0.01902818288654089]",8
Gemma4-E4B,29,0,20,0.02432008124887943,0.27303560436703267,0.08907292990326184,0.09013030049376362,0.027635058124239248,-0.0033149768753598166,0.02432008124887943,0.03483847388997674,0.041197317838668826,0.03359261825680733,0.028155065281316637,0.026218318752944468,0.023345759138464928,0.021062754839658738,0.022048701718449592,0.01825651340186596,"[0.02432008124887943, 0.03483847388997674, 0.041197317838668826, 0.03359261825680733, 0.028155065281316637, 0.026218318752944468, 0.023345759138464928, 0.021062754839658738, 0.022048701718449592, 0.01825651340186596]",9
Gemma4-E4B,41,5,20,0.02413886507129064,0.1773856287498347,0.1360812893435322,0.13657471632690948,0.017027418186504897,0.007111446884785742,0.02413886507129064,0.021320534145343118,0.02257457697560312,0.022081898798933252,0.014445685330429114,0.012681109881668817,0.015070926601765677,0.01691749730562151,0.01704849417801597,0.011106040461163503,"[0.02413886507129064, 0.021320534145343118, 0.02257457697560312, 0.022081898798933252, 0.014445685330429114, 0.012681109881668817, 0.015070926601765677, 0.01691749730562151, 0.01704849417801597, 0.011106040461163503]",10
