model,top_k,mean_overlap_fraction,max_overlap_fraction,ranked_M10_mean,control_M10_mean,mean_absolute_M10_gap,max_absolute_M10_gap
Gemma4-E4B,1,0.0,0.0,0.05765150863298913,0.039935842961858724,0.017715665671130403,0.019044802697317204
Gemma4-E4B,2,0.0,0.0,0.18436351726486463,0.14293611117245744,0.041427406092407186,0.10038210859638638
Gemma4-E4B,4,0.0,0.0,0.18347930518284553,0.19334897647701535,0.056882422486645136,0.19627174176421253
Gemma4-E4B,8,0.0,0.0,0.20007207186213236,0.19117656134506736,0.06596262160433071,0.2602536772585154
Gemma4-E4B,16,0.125,0.125,0.16950740815707374,0.13552414889793643,0.06854774271147525,0.23619782398454847
Gemma4-E4B,32,0.375,0.375,0.17739257017763635,0.12131826253858691,0.08454516872495645,0.46060917171616894
Qwen3-8B,1,0.0,0.0,0.4955907676056086,0.06505341403170632,0.43053735357390227,0.4496164692454045
Qwen3-8B,2,0.0,0.0,0.6172632323329481,0.3132942286545666,0.3313270200228056,0.4496164692454045
Qwen3-8B,4,0.0,0.0,0.4684849791841544,0.2923189788458371,0.19319217054011065,0.4496164692454045
Qwen3-8B,8,0.0,0.0,0.43292500945110257,0.24035067680785727,0.20287271398052611,0.4496164692454045
Qwen3-8B,16,0.0,0.0,0.3821941675163479,0.205893567463208,0.184129374824316,0.5764952860406538
Qwen3-8B,32,0.0,0.0,0.32016705213053953,0.17444249874661788,0.1560902237711046,0.600741494601607
