scope,site,layer,rows,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
all_rank_before,pre_marker,0,642,0.36995988746375746,0.3271816050981796,0.3485707462809685,426,5,16,16,0.4410462114947914,0.3245893812070283,0.25702671489033285,-5.900217345423117,1.793622612953186,6.978350922465324,216,9,4,40,16,0.1
all_rank_before,pre_marker,1,642,0.5001294430052723,0.4084051146774499,0.4542672788413611,426,5,16,16,0.5520293016311996,0.40157475617665417,0.24329053837121323,-6.138747805598247,1.5983631610870361,6.569771154224872,216,9,4,40,16,0.1
all_rank_before,pre_marker,2,642,0.6042891709315306,0.42964488163686526,0.5169670262841979,426,5,16,16,0.6176823685579912,0.4987940788963807,0.3711893420108312,-4.304045022062352,2.6288323402404785,7.082187020778656,216,9,4,40,16,0.1
all_rank_before,pre_marker,3,642,0.5929630571526856,0.4654312426725076,0.5291971499125966,426,5,16,16,0.6135954889548914,0.48653491436100127,0.3548799844092872,-4.499184946105121,2.4918372631073,7.021633714437485,216,9,4,40,16,0.1
all_rank_before,pre_marker,4,642,0.6049521071586529,0.4993855112220326,0.5521688091903427,426,5,16,16,0.6807419035848165,0.5145835525805913,0.36511634830793205,-4.375687208137127,2.616201639175415,7.165391665697098,216,9,4,40,16,0.1
all_rank_before,pre_marker,5,642,0.5654880145040473,0.5090613148768279,0.5372746646904376,426,5,16,16,0.6720923647178862,0.4817980722557381,0.3714752472975261,-4.300701195083656,2.5695319175720215,6.917101304233074,216,9,4,40,16,0.1
all_rank_before,pre_marker,6,642,0.6130388269342826,0.5396838314273078,0.5763613291807952,426,5,16,16,0.6829194411278137,0.5287981171249444,0.3389442364491228,-4.698717466184529,2.4204678535461426,7.141197852790356,216,9,4,40,16,0.1
all_rank_before,pre_marker,7,642,0.6355746017705328,0.48631052508722794,0.5609425634288804,426,5,16,16,0.6736334791873896,0.4871774413946981,0.3348978300791789,-4.750876663977019,2.4120004177093506,7.202197808027267,216,9,4,40,16,0.1
all_rank_before,pre_marker,8,642,0.658640165715409,0.5123862571344328,0.5855132114249209,426,5,16,16,0.5555593733228678,0.39292877625358447,0.336548380466047,-4.729524950087399,2.5195021629333496,7.486300066113472,216,9,4,40,16,0.1
all_rank_before,pre_marker,9,642,0.6766446174961211,0.5182391149442231,0.5974418662201721,426,5,16,16,0.6717783298049822,0.485299985606891,0.3550234991946437,-4.497428998102597,2.7013437747955322,7.608915412425995,216,9,4,40,16,0.1
all_rank_before,pre_marker,10,642,0.7281394338437129,0.5874899143868073,0.6578146741152602,426,5,16,16,0.6865755821779513,0.48762703084146086,0.45224347319567354,-3.4462769218635225,3.3236725330352783,7.34929906129837,216,9,4,40,16,0.1
all_rank_before,pre_marker,11,642,0.7871035554572706,0.6653849232675526,0.7262442393624116,426,5,16,16,0.7383301109085199,0.5544058705237868,0.5499884228922087,-2.596464521911152,4.014332294464111,7.2989396274089815,216,9,4,40,16,0.1
all_rank_before,pre_marker,12,642,0.8482426760177756,0.8045000465098321,0.8263713612638038,426,5,16,16,0.8795286693832931,0.7232447778362437,0.6882518205546784,-1.6225263114305188,5.195679664611816,7.549096870422363,216,9,4,40,16,0.1
all_rank_before,pre_marker,13,642,0.8428733598702639,0.7445104585693926,0.7936919092198282,426,5,16,16,0.8949832148378386,0.688304066373793,0.680344734698466,-1.6727097194116154,5.449106693267822,8.00933176279068,216,9,4,40,16,0.1
all_rank_before,pre_marker,14,642,0.8620513784461152,0.7776822281544196,0.8198668033002674,426,5,16,16,0.8984156683268273,0.6703927279253703,0.6617468679072425,-1.793081055669549,5.34328031539917,8.074507904052734,216,9,4,40,16,0.1
