bank_size,confirmation_anchors,random_failure_rate,scope,selected_failure_rate,selected_minus_random_failure_rate
1,90,0.04814814814814815,all_registered_grammars,0.4444444444444444,0.39629629629629626
2,90,0.11851851851851852,all_registered_grammars,0.5333333333333333,0.4148148148148148
4,90,0.1259259259259259,all_registered_grammars,0.6,0.4740740740740741
6,90,0.11851851851851852,all_registered_grammars,0.7,0.5814814814814815
8,90,0.1111111111111111,all_registered_grammars,0.7333333333333333,0.6222222222222222
