target,model_label,prompt_mode,selection_rule,selected_spec,coefficient,bootstrap_median,ci95_low,ci95_high,bootstrap_sd,replicates
absolute_error,Qwen3-32B,enumeration,one_se,constant__log1p__ridge__0.001,intercept,0.013862934369242658,0.0,0.032346846861566206,0.010144370625221067,500
absolute_error,Qwen3-32B,native_thinking,best,constant__sqrt__huber__0.01,intercept,3.684906267765331e-08,0.0,7.577411426680284e-08,2.112122732894936e-08,500
absolute_error,Qwen3-32B,native_thinking,one_se,constant__log1p__ridge__0.001,intercept,0.026390555702448783,0.0,0.06742926548836964,0.017925876232015647,500
absolute_error,Qwen3-8B,direct,best,log_interaction__sqrt__huber__0.01,intercept,1.021942920283231,0.8475774018656573,1.1912379013028396,0.09205401999975997,500
absolute_error,Qwen3-8B,direct,best,log_interaction__sqrt__huber__0.01,log_interaction,0.2825372207127175,-0.09952190794669555,0.6149946381970871,0.1820675132104167,500
absolute_error,Qwen3-8B,direct,best,log_interaction__sqrt__huber__0.01,log_length,0.12058934545227107,-0.16860205886328936,0.3846357121013472,0.14671433805579137,500
absolute_error,Qwen3-8B,direct,best,log_interaction__sqrt__huber__0.01,log_needles,1.0122092479981828,0.7926320117339628,1.3304471143112304,0.13593136769688688,500
absolute_error,Qwen3-8B,direct,one_se,log_separable__sqrt__huber__0.01,intercept,1.0262265466399085,0.8277913453155884,1.2052708163759376,0.09587600141685972,500
absolute_error,Qwen3-8B,direct,one_se,log_separable__sqrt__huber__0.01,log_length,0.13090042832532972,-0.1480802683160492,0.4046999410428915,0.14554384484791882,500
absolute_error,Qwen3-8B,direct,one_se,log_separable__sqrt__huber__0.01,log_needles,0.9744476173866079,0.7545827314194986,1.2524690306250463,0.12275108996933921,500
absolute_error,Qwen3-8B,enumeration,best,constant__sqrt__huber__0.01,intercept,5.604127749112869e-08,1.8299195243569773e-08,1.0684300773537843e-07,2.2299627820917652e-08,500
absolute_error,Qwen3-8B,enumeration,one_se,constant__log1p__huber__0.01,intercept,5.643317179600155e-08,1.8299195358930062e-08,9.676189379934381e-08,2.1263620106302313e-08,500
absolute_error,Qwen3-8B,native_thinking,best,constant__log1p__ridge__0.001,intercept,0.0,0.0,0.0,0.0,500
absolute_error,Qwen3-8B,native_thinking,one_se,constant__log1p__ridge__0.001,intercept,0.0,0.0,0.0,0.0,500
bias,Qwen3-1.7B,direct,best,length_specific_log_n__asinh__huber__0.01,intercept,-0.01112515338414546,-0.4860391076700974,0.6119284136547154,0.30189298676568527,500
bias,Qwen3-1.7B,direct,best,length_specific_log_n__asinh__huber__0.01,log_needles,-0.4182175276491852,-1.203491105120279,0.28485095939018173,0.44695075404118717,500
bias,Qwen3-1.7B,direct,best,length_specific_log_n__asinh__huber__0.01,t10000_log_needles,1.6416648709795054,0.8657013755908682,2.544524452997117,0.4981296225111998,500
bias,Qwen3-1.7B,direct,best,length_specific_log_n__asinh__huber__0.01,t2000_log_needles,-0.5074089044108546,-1.5011855867536517,0.4171597208848443,0.5209078685601799,500
bias,Qwen3-1.7B,direct,best,length_specific_log_n__asinh__huber__0.01,t_is_10000,1.6274634932235585,0.9030317440280395,2.279347070395998,0.3688167790388883,500
bias,Qwen3-1.7B,direct,best,length_specific_log_n__asinh__huber__0.01,t_is_2000,-0.5808331532997593,-1.3368084571620578,0.11211220387003042,0.3665228818682889,500
bias,Qwen3-1.7B,direct,one_se,constant__asinh__ridge__0.001,intercept,0.3000883339076732,-0.14200301585918376,0.7103365509135463,0.2236902860096818,500
bias,Qwen3-1.7B,enumeration,best,length_specific_piecewise_n__asinh__ridge__0.001,intercept,2.6679964271773073,1.9969510507839394,3.294564354360788,0.34740735221418195,500
bias,Qwen3-1.7B,enumeration,best,length_specific_piecewise_n__asinh__ridge__0.001,log_needles,1.7511956114708855,0.5802697139454374,2.767779888849355,0.5790549423293049,500
bias,Qwen3-1.7B,enumeration,best,length_specific_piecewise_n__asinh__ridge__0.001,needle_hinge,-3.676079795239242,-5.051672407207695,-1.8323248959028424,0.8445324973270467,500
bias,Qwen3-1.7B,enumeration,best,length_specific_piecewise_n__asinh__ridge__0.001,t10000_log_needles,1.0245030616309878,-0.026197907028456334,3.093334617964003,0.8241929876971562,500
bias,Qwen3-1.7B,enumeration,best,length_specific_piecewise_n__asinh__ridge__0.001,t2000_log_needles,-0.19968343502481156,-0.9464766209084717,1.4705049639756926,0.629539888557591,500
bias,Qwen3-1.7B,enumeration,best,length_specific_piecewise_n__asinh__ridge__0.001,t_is_10000,0.8756375754656986,-0.2996616103630742,1.8873266688508132,0.5521211058061009,500
bias,Qwen3-1.7B,enumeration,best,length_specific_piecewise_n__asinh__ridge__0.001,t_is_2000,-0.4574516828200197,-1.178534220199754,0.32209991699779666,0.41629829166918475,500
bias,Qwen3-1.7B,enumeration,one_se,constant__asinh__ridge__0.001,intercept,1.3702018288143778,0.8288124297949522,2.0687837991391653,0.30628035402629267,500
bias,Qwen3-1.7B,native_thinking,best,piecewise_log_needles__identity__huber__0.01,intercept,-0.00355833722468584,-0.14479253553656637,0.26979125135901166,0.10387489919264933,500
bias,Qwen3-1.7B,native_thinking,best,piecewise_log_needles__identity__huber__0.01,log_length,0.22696518695933088,0.0018720352001005067,0.48068400472242584,0.1254827026543446,500
bias,Qwen3-1.7B,native_thinking,best,piecewise_log_needles__identity__huber__0.01,log_needles,-0.13852441582332087,-0.31384158957767333,0.13973609629709155,0.11962911470254341,500
bias,Qwen3-1.7B,native_thinking,best,piecewise_log_needles__identity__huber__0.01,needle_hinge,-2.5349940752951055,-3.193074442485709,-2.0720712735992057,0.29840966537713487,500
bias,Qwen3-1.7B,native_thinking,one_se,linear_needles_only__asinh__ridge__0.001,intercept,-0.22885788669950408,-0.3308418207906102,-0.12777673405898649,0.05216435723962108,500
bias,Qwen3-1.7B,native_thinking,one_se,linear_needles_only__asinh__ridge__0.001,needle_linear,-0.45113482297970176,-0.5359332295259037,-0.38028822115354444,0.04235219330658917,500
bias,Qwen3-32B,direct,best,length_specific_piecewise_n__asinh__huber__0.01,intercept,0.5919484618628565,0.32214509673597097,0.8137436442597619,0.1262715761309091,500
bias,Qwen3-32B,direct,best,length_specific_piecewise_n__asinh__huber__0.01,log_needles,0.48273385165928034,0.16188269371665,1.0324892821560443,0.2079791408654749,500
bias,Qwen3-32B,direct,best,length_specific_piecewise_n__asinh__huber__0.01,needle_hinge,0.780015017143721,0.04206340973167666,1.3250314752560197,0.32156979065825825,500
bias,Qwen3-32B,direct,best,length_specific_piecewise_n__asinh__huber__0.01,t10000_log_needles,0.13372777389836557,-0.10784079695998713,0.5273531677854033,0.15882556792804245,500
bias,Qwen3-32B,direct,best,length_specific_piecewise_n__asinh__huber__0.01,t2000_log_needles,-0.3835074117483742,-1.0532346915415896,0.04838165392118542,0.3050632809211093,500
bias,Qwen3-32B,direct,best,length_specific_piecewise_n__asinh__huber__0.01,t_is_10000,0.23681622358127774,-0.03762878595426447,0.48973791007757095,0.13559483654081086,500
bias,Qwen3-32B,direct,best,length_specific_piecewise_n__asinh__huber__0.01,t_is_2000,-0.4436118221435451,-0.8720353547702897,-0.17210753338097473,0.18323841026870843,500
bias,Qwen3-32B,direct,one_se,log_interaction__asinh__ridge__0.001,intercept,0.784192833158665,0.6258616826086374,0.9210756655847737,0.0740403261989913,500
bias,Qwen3-32B,direct,one_se,log_interaction__asinh__ridge__0.001,log_interaction,0.47780317385436694,0.06585044402390411,0.8394474920260567,0.19994200859474992,500
bias,Qwen3-32B,direct,one_se,log_interaction__asinh__ridge__0.001,log_length,0.46639041553987237,0.2163291734883509,0.675300856952456,0.1224642595114236,500
bias,Qwen3-32B,direct,one_se,log_interaction__asinh__ridge__0.001,log_needles,0.7992548352552653,0.5881583560941197,1.0243955797857183,0.10870475856037265,500
bias,Qwen3-32B,enumeration,best,constant__asinh__huber__0.01,intercept,-1.817555286788603e-08,-4.637899065462924e-08,0.0,1.3004319164753094e-08,500
bias,Qwen3-32B,enumeration,one_se,constant__asinh__ridge__0.001,intercept,-0.01799878830915186,-0.04849187325160628,0.0,0.013086059838223462,500
bias,Qwen3-32B,native_thinking,best,constant__identity__huber__0.01,intercept,-1.8424531338826444e-08,-6.773332565952942e-08,1.8175552867886028e-08,2.1737340244739894e-08,500
bias,Qwen3-32B,native_thinking,one_se,constant__asinh__ridge__0.001,intercept,-0.004764015467809583,-0.050595475447942705,0.04116872933471971,0.02267977471861883,500
bias,Qwen3-8B,direct,best,log_interaction__asinh__ridge__0.001,intercept,0.8793087082378357,0.6666152247045959,1.0913924355048128,0.10671029881142392,500
bias,Qwen3-8B,direct,best,log_interaction__asinh__ridge__0.001,log_interaction,0.6626951991324387,-0.10212143230790245,1.128439496279962,0.3185891903676315,500
bias,Qwen3-8B,direct,best,log_interaction__asinh__ridge__0.001,log_length,0.21716384785195902,-0.16354700837459799,0.6115014954668699,0.20065761815786626,500
bias,Qwen3-8B,direct,best,log_interaction__asinh__ridge__0.001,log_needles,0.8016942930728768,0.5477587635608716,1.1613591835250068,0.15539438035736258,500
bias,Qwen3-8B,direct,one_se,log_interaction__asinh__ridge__0.001,intercept,0.8891435000687575,0.6661959268477918,1.1055029911517111,0.10899176623133477,500
bias,Qwen3-8B,direct,one_se,log_interaction__asinh__ridge__0.001,log_interaction,0.6733077408450745,0.02269628380770032,1.1546723809618276,0.2867130234052893,500
bias,Qwen3-8B,direct,one_se,log_interaction__asinh__ridge__0.001,log_length,0.24594670765417725,-0.17974647243337794,0.6047799835157837,0.20561614233100273,500
