target,target_label,model_label,prompt_mode,n,event_count,failure_count,intercept,intercept_ci95_low,intercept_ci95_high,length_order,length_order_ci95_low,length_order_ci95_high,needle_order,needle_order_ci95_low,needle_order_ci95_high,length_doubling_factor,needle_doubling_factor,global_test_statistic,global_p_value,in_sample_score,seed_oof_cell_r2,seed_log_loss,seed_log_loss_null,seed_gain_pct,seed_brier,needle_log_loss,needle_log_loss_null,needle_gain_pct,needle_brier,length_log_loss,length_log_loss_null,length_gain_pct,length_brier,seed_mae,seed_mae_null,needle_mae,needle_mae_null,length_mae,length_mae_null,global_q_value,evidence
exact,Exact correctness,Qwen3-1.7B,direct,150,52.0,98.0,-0.9292910249743936,-1.698054568134727,-0.3806023122466907,-0.9426951236853229,-1.9524195002946008,-0.1281321000428547,-2.174575488383232,-3.4976567531332408,-1.5662487571124746,0.52026006516513,0.2215070484214122,72.38909796119157,1.9094447773434475e-16,0.40406172575868365,0.7755050677387012,0.4259809725253808,0.6479231472022705,34.25439816978837,0.13618436312026092,0.4481805129099701,0.6984381085480911,35.831033927738424,0.14055906661068196,0.40954885254550955,0.6651213830710309,38.42494573629243,0.13018147165615465,,,,,,,5.728334332030343e-16,supported
bias,Signed bias,Qwen3-1.7B,direct,150,,,0.3855084318617612,0.06339976350468662,0.6977737002330755,1.2861438169190298,0.7895467633493957,1.9214661548694587,-0.08559559912055163,-0.5821784541925802,0.3543405629301334,2.4387532863077026,0.9423953991070588,19.44093642971784,3.227763416438692e-08,1.3655950880685188,0.495961352099627,,,1.38733754410942,,,,0.9698964391795031,,,,0.3485391353283006,,1.4817773834836825,1.502623848277579,1.4220802188727306,1.4360080094224514,1.64338290035495,1.6491307664688335,7.262467686987058e-08,suggestive
absolute_error,Absolute error,Qwen3-1.7B,direct,150,,,1.003753930715425,0.8722008816197907,1.12153530418242,0.44836527683733696,0.2379754972529877,0.6369724209840896,0.8272217375014427,0.6463347305181742,0.978734806350623,1.3644932680300639,1.77426528811112,128.78909590934327,4.8210610067861113e-33,0.5054113868204735,0.8629068437789393,,,40.20202322388509,,,,43.0662224351115,,,,34.391104480802305,,0.5405426636694447,0.9039480812089173,0.5484706243996229,0.9633483809756354,0.6135976075906661,0.9352353865050547,2.16947745305375e-32,supported
exact,Exact correctness,Qwen3-1.7B,enumeration,150,50.0,100.0,-0.9620714110664165,-1.684315559886549,-0.5155599396927917,-0.7192449531709675,-1.6640238292504432,0.0801673300487222,-1.98715098934824,-3.421224185728282,-1.2940031073444793,0.6074152550110169,0.2522365085513024,64.38962291849809,1.0422479205974514e-14,0.42188209194786125,0.7166466076803439,0.4520372512469129,0.6499069020079276,30.445845420272367,0.14242257821474563,0.4676379040812546,0.6951933910987879,32.73268847649292,0.1482585439931042,0.42991872910964624,0.6489101611426116,33.7475732615069,0.13387506075267955,,,,,,,2.3450578213442657e-14,supported
bias,Signed bias,Qwen3-1.7B,enumeration,138,,,1.458842370308601,0.9681986524321379,2.1058378964899602,0.8063914140205769,-0.1541061825569074,1.7757051417821454,-0.03522818699789336,-0.8061675181530763,0.7881695116824263,1.748831647648371,0.9758773967986426,2.4939970441761283,0.0863775764425009,2.5094880553209924,0.07859735755140895,,,2.4327428117070937,,,,-5.653237674608655,,,,7.063142518155492,,2.6292786225362432,2.694837077834479,2.822728150853661,2.6716911028766694,2.4656249371385988,2.653010876357925,0.12956636466375135,not_supported
absolute_error,Absolute error,Qwen3-1.7B,enumeration,138,,,1.8587626777638184,1.5240054560898317,2.2335804193845794,0.563608489917708,-0.03581346239625538,1.101725911004814,0.6826999338164411,0.2503516732562948,1.0994892971215122,1.4779612964165079,1.6051408894100985,12.39974936159618,1.1381225294793888e-05,1.5913075352103632,0.3405366032826195,,,8.62202962826924,,,,4.033974329385024,,,,13.456678030565508,,1.672177924603212,1.8299573932324142,1.7553772082214258,1.8291652654726187,1.5672590728885984,1.8109532165198436,2.0486205530629e-05,supported
exact,Exact correctness,Qwen3-1.7B,native_thinking,150,83.0,67.0,0.45341558509134844,0.0019401612688016605,1.0858018478752487,0.14473977175315847,-0.4826591885188571,0.8058853885286659,-1.293784640957352,-2.2588960690081947,-0.7507590849349787,1.1055312235088237,0.40787962856618964,40.8933542264991,1.3186239407186664e-09,0.5511362737032994,0.6179302044178686,0.6003480349708975,0.7075310429150511,15.148877072948784,0.1912830341981873,0.6476184391845515,0.7341077471870041,11.78155500113808,0.19120024075947975,0.565219504049449,0.689023131581094,17.967992924643056,0.18058641465244085,,,,,,,2.3735230932935997e-09,supported
bias,Signed bias,Qwen3-1.7B,native_thinking,148,,,-0.4619134307162719,-0.6058533363158601,-0.31115967464173344,0.16724581140746533,-0.05251033735640029,0.3826257883183286,-0.772012823709412,-0.9417064163998073,-0.5767088061113518,1.1229127315586265,0.5855998853540155,77.90029356540333,1.0567588407681964e-23,0.5409953008637189,0.7864061173257311,,,35.69913099637793,,,,34.97764853380407,,,,36.35162867371919,,0.565958970987589,0.8801731294731157,0.6046002033498205,0.9298344180372227,0.5592320974881598,0.8786275058341507,4.7554147834568836e-23,supported
absolute_error,Absolute error,Qwen3-1.7B,native_thinking,148,,,0.48900874499470015,0.3267908624367399,0.6193482173074683,-0.034146403997157244,-0.23479537334017514,0.1619127009973615,0.5393732944039483,0.35720067180229714,0.7666181760018885,0.9766094180805734,1.453341049961721,69.59674832969483,6.488664751865667e-22,0.4307873287051244,0.6966283885339131,,,31.746028735129077,,,,25.164979759315987,,,,31.34171579830012,,0.441333420631661,0.6466047505411707,0.5073626437052107,0.6779748867220634,0.4382028763004701,0.6382374412578473,1.459949569169775e-21,supported
exact,Exact correctness,Qwen3-8B,direct,150,64.0,86.0,-0.2857427068248244,-0.9646610308510194,0.29670013617780205,-0.12901876453045638,-1.0771385267502163,0.8041410055203678,-2.6853941440474705,-6.053287515132596,-1.6022592340586475,0.9144531955126456,0.15545897949261117,87.97870885980385,7.864409309314351e-20,0.38909036581936857,0.8088075345330713,0.42535645187291976,0.6861296540738266,38.006403112384355,0.11370505832884328,0.45310258983382456,0.75528969606283,40.009430527682916,0.12199871854582266,0.4795480117976127,0.6852985663286434,30.02349116725869,0.12484556344855892,,,,,,,3.5389841891914577e-19,supported
