target,model_label,prompt_mode,candidate,candidate_label,complexity,scheme,n,log_loss,brier,log_loss_fold_se,mae,rmse,mae_fold_se
absolute_error,Qwen3-1.7B,enumeration,intercept_only,Constant,0,length,138,,,,1.8109532165198436,2.013857816733938,0.07757212448172247
absolute_error,Qwen3-1.7B,enumeration,log_density,Log density,1,seed,138,,,,1.8193981262442551,2.0123616221082403,0.13017344806531503
absolute_error,Qwen3-1.7B,enumeration,log_density,Log density,1,needle,138,,,,1.8917099522548497,2.0525286132483354,0.07909194380741273
absolute_error,Qwen3-1.7B,enumeration,log_density,Log density,1,length,138,,,,1.8636766998885501,2.121570305688646,0.12466011336969543
absolute_error,Qwen3-1.7B,enumeration,log_burden,Log burden,1,seed,138,,,,1.6625875017876792,1.8947296854697253,0.15028641441254287
absolute_error,Qwen3-1.7B,enumeration,log_burden,Log burden,1,needle,138,,,,1.6918395753124666,1.89948520367853,0.0814767228988963
absolute_error,Qwen3-1.7B,enumeration,log_burden,Log burden,1,length,138,,,,1.585088591837186,1.8499228697208934,0.16072886614251042
absolute_error,Qwen3-1.7B,enumeration,log_separable,Separate log T + log N,2,seed,138,,,,1.672177924603212,1.9001329783999865,0.1475383358246839
absolute_error,Qwen3-1.7B,enumeration,log_separable,Separate log T + log N,2,needle,138,,,,1.7553772082214258,1.949041261945815,0.08145038590918693
absolute_error,Qwen3-1.7B,enumeration,log_separable,Separate log T + log N,2,length,138,,,,1.5672590728885984,1.8672905478196635,0.16583557635255064
absolute_error,Qwen3-1.7B,enumeration,semi_log_needles,Log T + linear N,2,seed,138,,,,1.7829863147190004,1.9887706667258884,0.15847140522206746
absolute_error,Qwen3-1.7B,enumeration,semi_log_needles,Log T + linear N,2,needle,138,,,,1.9401657095001776,2.1508482663414505,0.1116367968163236
absolute_error,Qwen3-1.7B,enumeration,semi_log_needles,Log T + linear N,2,length,138,,,,1.661441983819375,1.9461965873097977,0.19383293636550053
absolute_error,Qwen3-1.7B,enumeration,piecewise_log_needles,Log T + piecewise log N,3,seed,138,,,,1.5426960037063313,1.8255418922218987,0.12762456663239413
absolute_error,Qwen3-1.7B,enumeration,piecewise_log_needles,Log T + piecewise log N,3,needle,138,,,,1.587762152583552,1.813370438172849,0.09545309028588496
absolute_error,Qwen3-1.7B,enumeration,piecewise_log_needles,Log T + piecewise log N,3,length,138,,,,1.474731646865237,1.7956866486134981,0.0678304357820982
absolute_error,Qwen3-1.7B,enumeration,log_interaction,Log T × log N,3,seed,138,,,,1.6546512809362752,1.8943905277858348,0.14615519480943423
absolute_error,Qwen3-1.7B,enumeration,log_interaction,Log T × log N,3,needle,138,,,,1.7412261693849578,1.9577436607598413,0.07976358246603686
absolute_error,Qwen3-1.7B,enumeration,log_interaction,Log T × log N,3,length,138,,,,1.6489915978500969,1.887363420171743,0.08034882467065042
exact,Qwen3-1.7B,native_thinking,intercept_only,Constant,0,seed,150,0.7075310429150511,0.25705518369234504,0.016296942540034404,,,
exact,Qwen3-1.7B,native_thinking,intercept_only,Constant,0,needle,150,0.7341077471870041,0.2701007814459022,0.02971529733670094,,,
exact,Qwen3-1.7B,native_thinking,intercept_only,Constant,0,length,150,0.689023131581094,0.24793329552545368,0.004258641166034586,,,
exact,Qwen3-1.7B,native_thinking,log_density,Log density,1,seed,150,0.6287011087420783,0.21118429951187154,0.06370284797630367,,,
exact,Qwen3-1.7B,native_thinking,log_density,Log density,1,needle,150,0.6441730353998758,0.21488071603120565,0.06641527588450162,,,
exact,Qwen3-1.7B,native_thinking,log_density,Log density,1,length,150,0.6352688194374528,0.21762101926297353,0.023765739233591567,,,
exact,Qwen3-1.7B,native_thinking,log_burden,Log burden,1,seed,150,0.6373236969896684,0.2197363460624483,0.04328909761403633,,,
exact,Qwen3-1.7B,native_thinking,log_burden,Log burden,1,needle,150,0.6635410777425759,0.22788671785338774,0.057131470988423264,,,
exact,Qwen3-1.7B,native_thinking,log_burden,Log burden,1,length,150,0.6829299117425733,0.23821053478880627,0.052597172082533616,,,
exact,Qwen3-1.7B,native_thinking,log_separable,Separate log T + log N,2,seed,150,0.6003480349708975,0.1912830341981873,0.07665753784115503,,,
exact,Qwen3-1.7B,native_thinking,log_separable,Separate log T + log N,2,needle,150,0.6476184391845515,0.19120024075947975,0.13899009340449034,,,
exact,Qwen3-1.7B,native_thinking,log_separable,Separate log T + log N,2,length,150,0.565219504049449,0.18058641465244085,0.01783762818180513,,,
exact,Qwen3-1.7B,native_thinking,semi_log_needles,Log T + linear N,2,seed,150,0.5627486017054965,0.18412160734820152,0.06092026662929657,,,
exact,Qwen3-1.7B,native_thinking,semi_log_needles,Log T + linear N,2,needle,150,0.5522753921253074,0.17948370570402916,0.06686510931746191,,,
exact,Qwen3-1.7B,native_thinking,semi_log_needles,Log T + linear N,2,length,150,0.551341717107106,0.17457412880183237,0.049460983947259805,,,
exact,Qwen3-1.7B,native_thinking,piecewise_log_needles,Log T + piecewise log N,3,seed,150,0.5489036234229276,0.1800112255131894,0.056721360715648796,,,
exact,Qwen3-1.7B,native_thinking,piecewise_log_needles,Log T + piecewise log N,3,needle,150,0.6088578767029564,0.1861184010506841,0.12082000686540033,,,
exact,Qwen3-1.7B,native_thinking,piecewise_log_needles,Log T + piecewise log N,3,length,150,0.527904751221898,0.16930265465409192,0.03921458360180591,,,
exact,Qwen3-1.7B,native_thinking,log_interaction,Log T × log N,3,seed,150,0.6087125935218543,0.1926856500110218,0.0783145632276516,,,
exact,Qwen3-1.7B,native_thinking,log_interaction,Log T × log N,3,needle,150,0.6496431898784288,0.1920606833979859,0.13883949165017784,,,
exact,Qwen3-1.7B,native_thinking,log_interaction,Log T × log N,3,length,150,0.5964314967918631,0.1989415768649934,0.008901956930691863,,,
bias,Qwen3-1.7B,native_thinking,intercept_only,Constant,0,seed,148,,,,0.8801731294731157,1.058035615312326,0.025602659668250764
bias,Qwen3-1.7B,native_thinking,intercept_only,Constant,0,needle,148,,,,0.9298344180372227,1.1200493028458507,0.15843203325230204
bias,Qwen3-1.7B,native_thinking,intercept_only,Constant,0,length,148,,,,0.8786275058341507,1.06008326837882,0.019380204852101526
bias,Qwen3-1.7B,native_thinking,log_density,Log density,1,seed,148,,,,0.6238923486029262,0.8240150095410234,0.03387722178900465
bias,Qwen3-1.7B,native_thinking,log_density,Log density,1,needle,148,,,,0.6458965174186202,0.8494266819783022,0.10213374851961587
bias,Qwen3-1.7B,native_thinking,log_density,Log density,1,length,148,,,,0.688112989317206,0.8804838401571431,0.04126525525111414
bias,Qwen3-1.7B,native_thinking,log_burden,Log burden,1,seed,148,,,,0.7052119602407888,0.9123511875902415,0.026703629015090193
bias,Qwen3-1.7B,native_thinking,log_burden,Log burden,1,needle,148,,,,0.7472673610252523,0.9514681969959955,0.11914162989929697
bias,Qwen3-1.7B,native_thinking,log_burden,Log burden,1,length,148,,,,0.8864068862151997,1.078769414099534,0.11623043124069739
bias,Qwen3-1.7B,native_thinking,log_separable,Separate log T + log N,2,seed,148,,,,0.565958970987589,0.7635715447847975,0.0296743649282242
bias,Qwen3-1.7B,native_thinking,log_separable,Separate log T + log N,2,needle,148,,,,0.6046002033498205,0.7890120658977949,0.0899545067486159
bias,Qwen3-1.7B,native_thinking,log_separable,Separate log T + log N,2,length,148,,,,0.5592320974881598,0.7531192268239164,0.021415820369147753
bias,Qwen3-1.7B,native_thinking,semi_log_needles,Log T + linear N,2,seed,148,,,,0.4996049976339659,0.7166438269080994,0.018485754550203456
bias,Qwen3-1.7B,native_thinking,semi_log_needles,Log T + linear N,2,needle,148,,,,0.48797148557980496,0.7077355116921393,0.09119948409208559
bias,Qwen3-1.7B,native_thinking,semi_log_needles,Log T + linear N,2,length,148,,,,0.4816338302599569,0.7159299647071979,0.032504681148049386
bias,Qwen3-1.7B,native_thinking,piecewise_log_needles,Log T + piecewise log N,3,seed,148,,,,0.4867264642055969,0.7151327212780321,0.011950600137874776
bias,Qwen3-1.7B,native_thinking,piecewise_log_needles,Log T + piecewise log N,3,needle,148,,,,0.45638927785354555,0.6854542230336423,0.08554867115832876
