model_label,prompt_mode,requests,exact_correct,exact_accuracy,parsed_requests,parse_success_rate,format_failures,truncations,mean_signed_error_parsed,median_signed_error_parsed,mean_absolute_error_parsed
Qwen3-1.7B,direct,150,52,0.3466666666666667,150,1.0,0,0,2.533333333333333,0.0,5.16
Qwen3-1.7B,enumeration,150,50,0.3333333333333333,138,0.92,12,0,36.927536231884055,0.0,38.42028985507246
Qwen3-1.7B,native_thinking,150,83,0.5533333333333333,148,0.9866666666666667,2,2,-1.2567567567567568,0.0,1.472972972972973
Qwen3-8B,direct,150,64,0.4266666666666667,150,1.0,0,0,2.3533333333333335,1.0,2.6066666666666665
Qwen3-8B,enumeration,150,143,0.9533333333333334,149,0.9933333333333333,1,0,-0.040268456375838924,0.0,0.040268456375838924
Qwen3-8B,native_thinking,150,147,0.98,147,0.98,3,3,0.0,0.0,0.0
Qwen3-32B,direct,150,72,0.48,150,1.0,0,0,1.9066666666666667,1.0,1.9733333333333334
Qwen3-32B,enumeration,150,148,0.9866666666666667,150,1.0,0,0,-0.02666666666666667,0.0,0.02666666666666667
Qwen3-32B,native_thinking,150,146,0.9733333333333334,150,1.0,0,0,0.013333333333333334,0.0,0.06666666666666667
