model_label,seed,receiver_count,donor_count,support,condition,source_layer,target_layer,replacement_delta_norm,clean_donor_log_odds,condition_donor_log_odds,donor_log_odds_gain,target_donor_fraction,argmax_token_changed
Qwen3-8B,1255,5,6,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,-2.0,-2.25,-0.25,-0.0010540898656472564,0
Qwen3-8B,1255,5,6,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,-2.0,1.25,3.25,0.9990353584289551,1
Qwen3-8B,1255,5,6,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-2.0,3.0,5.0,1.9081966876983643,1
Qwen3-8B,1255,5,6,answer_query_relay,matched_orthogonal,28,29,23.792585372924805,-2.0,-3.5,-1.5,-0.13809709250926971,1
Qwen3-8B,1255,6,5,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,-0.75,-0.5,0.25,0.00017693298286758363,0
Qwen3-8B,1255,6,5,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,-0.75,-0.75,0.0,0.000271894532488659,0
Qwen3-8B,1255,6,5,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,-0.75,-0.5,0.25,-0.00010377673606853932,0
Qwen3-8B,1255,6,5,answer_query_relay,aligned_dose_1,28,29,23.792583465576172,-0.75,2.75,3.5,0.9835250377655029,1
Qwen3-8B,1255,6,5,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-0.75,4.25,5.0,1.8708621263504028,1
Qwen3-8B,1255,6,5,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,-0.75,-0.25,0.5,0.08130647242069244,0
Qwen3-8B,1256,1,2,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-11.75,-11.75,0.0,0.0019412286346778274,0
Qwen3-8B,1256,1,2,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-11.75,-11.5,0.25,0.0023137640673667192,0
Qwen3-8B,1256,1,2,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-11.75,-11.75,0.0,0.0017226177733391523,0
Qwen3-8B,1256,1,2,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-11.75,17.25,29.0,0.980953574180603,1
Qwen3-8B,1256,1,2,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-11.75,16.25,28.0,1.9046342372894287,1
Qwen3-8B,1256,1,2,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-11.75,-2.75,9.0,0.11596947908401489,0
Qwen3-8B,1256,2,1,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-19.25,-19.25,0.0,0.00017789356934372336,0
Qwen3-8B,1256,2,1,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-19.25,-19.5,-0.25,0.001169520546682179,0
