model_label,seed,receiver_count,donor_count,support,condition,source_layer,target_layer,replacement_delta_norm,clean_donor_log_odds,condition_donor_log_odds,donor_log_odds_gain,target_donor_fraction,argmax_token_changed
Qwen3-8B,1261,6,5,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,12.0,11.75,-0.25,-0.03496938198804855,0
Qwen3-8B,1262,1,2,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-4.25,-4.25,0.0,0.0014381813816726208,0
Qwen3-8B,1262,1,2,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-4.25,-4.0,0.25,0.001152182463556528,0
Qwen3-8B,1262,1,2,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-4.25,-4.25,0.0,0.001026824815198779,0
Qwen3-8B,1262,1,2,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-4.25,18.25,22.5,0.988481879234314,1
Qwen3-8B,1262,1,2,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-4.25,13.5,17.75,1.8907548189163208,1
Qwen3-8B,1262,1,2,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-4.25,7.25,11.5,0.10755828022956848,1
Qwen3-8B,1262,2,1,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-20.25,-20.5,-0.25,0.00047222268767654896,0
Qwen3-8B,1262,2,1,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-20.25,-20.25,0.0,0.000957073294557631,0
Qwen3-8B,1262,2,1,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-20.25,-20.25,0.0,-0.00040620617801323533,0
Qwen3-8B,1262,2,1,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-20.25,10.0,30.25,0.9840489625930786,1
Qwen3-8B,1262,2,1,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-20.25,16.5,36.75,1.8388229608535767,1
Qwen3-8B,1262,2,1,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-20.25,-18.0,2.25,-0.07890985906124115,0
Qwen3-8B,1262,5,6,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,-0.75,-1.0,-0.25,-0.0012367016170173883,0
Qwen3-8B,1262,5,6,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,-0.75,-0.75,0.0,0.001171453157439828,0
Qwen3-8B,1262,5,6,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,-0.75,-0.75,0.0,0.00018736495985649526,0
Qwen3-8B,1262,5,6,answer_query_relay,aligned_dose_1,28,29,23.792583465576172,-0.75,3.0,3.75,0.9449463486671448,1
Qwen3-8B,1262,5,6,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-0.75,4.0,4.75,1.827843189239502,1
Qwen3-8B,1262,5,6,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,-0.75,-2.5,-1.75,-0.12208755314350128,0
Qwen3-8B,1262,6,5,legacy_endpoint,aligned_dose_1,27,29,12.123069763183594,-3.25,-3.25,0.0,0.001408577780239284,0
Qwen3-8B,1262,6,5,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,-3.25,-3.25,0.0,0.0015186409000307322,0
Qwen3-8B,1262,6,5,legacy_endpoint,matched_orthogonal,27,29,12.123072624206543,-3.25,-3.25,0.0,0.0016254002694040537,0
Qwen3-8B,1262,6,5,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,-3.25,1.0,4.25,0.9508400559425354,1
Qwen3-8B,1262,6,5,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-3.25,6.75,10.0,1.8953077793121338,1
Qwen3-8B,1262,6,5,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,-3.25,-3.25,0.0,0.03576059639453888,0
Qwen3-8B,1263,1,2,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-8.0,-8.0,0.0,0.001278027892112732,0
Qwen3-8B,1263,1,2,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-8.0,-8.0,0.0,0.00112051737960428,0
Qwen3-8B,1263,1,2,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-8.0,-8.0,0.0,0.0005651007522828877,0
Qwen3-8B,1263,1,2,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-8.0,19.75,27.75,0.9871513843536377,1
Qwen3-8B,1263,1,2,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-8.0,16.25,24.25,1.8929781913757324,1
Qwen3-8B,1263,1,2,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-8.0,4.5,12.5,0.1109149158000946,1
Qwen3-8B,1263,2,1,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-21.5,-21.5,0.0,0.0005540577112697065,0
Qwen3-8B,1263,2,1,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-21.5,-21.5,0.0,0.001167606795206666,0
Qwen3-8B,1263,2,1,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-21.5,-21.5,0.0,0.0004198768292553723,0
Qwen3-8B,1263,2,1,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-21.5,8.5,30.0,0.987847089767456,1
Qwen3-8B,1263,2,1,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-21.5,17.0,38.5,1.866159439086914,1
Qwen3-8B,1263,2,1,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-21.5,-19.5,2.0,-0.07592206448316574,0
Qwen3-8B,1263,5,6,legacy_endpoint,aligned_dose_1,27,29,12.123069763183594,-3.5,-3.25,0.25,0.0012055070837959647,0
Qwen3-8B,1263,5,6,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,-3.5,-3.5,0.0,5.09176061314065e-05,0
Qwen3-8B,1263,5,6,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,-3.5,-3.25,0.25,0.0009399237460456789,0
Qwen3-8B,1263,5,6,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,-3.5,-0.75,2.75,0.8379321694374084,1
Qwen3-8B,1263,5,6,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-3.5,2.5,6.0,1.655838966369629,1
Qwen3-8B,1263,5,6,answer_query_relay,matched_orthogonal,28,29,23.79258155822754,-3.5,-5.0,-1.5,-0.23664791882038116,0
Qwen3-8B,1263,6,5,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,2.5,2.5,0.0,0.0004132825997658074,0
Qwen3-8B,1263,6,5,legacy_endpoint,aligned_dose_2,27,29,24.246139526367188,2.5,2.25,-0.25,-0.0003487023350317031,0
Qwen3-8B,1263,6,5,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,2.5,2.25,-0.25,0.0003388396871741861,0
Qwen3-8B,1263,6,5,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,2.5,4.5,2.0,0.8056847453117371,1
Qwen3-8B,1263,6,5,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,2.5,4.25,1.75,1.4583101272583008,1
Qwen3-8B,1263,6,5,answer_query_relay,matched_orthogonal,28,29,23.79258155822754,2.5,5.0,2.5,0.23241272568702698,0
Gemma4-E4B,1254,1,2,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-10.375,-10.375,0.0,0.0,0
Gemma4-E4B,1254,1,2,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-10.375,-10.375,0.0,0.0,0
Gemma4-E4B,1254,1,2,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-10.375,-10.375,0.0,0.0,0
Gemma4-E4B,1254,1,2,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-10.375,10.5,20.875,1.002284288406372,1
Gemma4-E4B,1254,1,2,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-10.375,15.3125,25.6875,1.5231257677078247,1
Gemma4-E4B,1254,1,2,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-10.375,-5.375,5.0,0.019003674387931824,0
Gemma4-E4B,1254,2,1,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-10.5,-10.5,0.0,0.0,0
Gemma4-E4B,1254,2,1,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-10.5,-10.5,0.0,0.0,0
Gemma4-E4B,1254,2,1,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-10.5,-10.5,0.0,0.0,0
Gemma4-E4B,1254,2,1,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-10.5,7.375,17.875,0.9372785687446594,1
Gemma4-E4B,1254,2,1,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-10.5,12.125,22.625,1.7915738821029663,1
Gemma4-E4B,1254,2,1,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-10.5,-9.75,0.75,0.003024170408025384,0
Gemma4-E4B,1254,5,6,legacy_endpoint,aligned_dose_1,36,37,1.328568458557129,-2.75,-2.75,0.0,0.0,0
Gemma4-E4B,1254,5,6,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,-2.75,-2.75,0.0,0.0,0
Gemma4-E4B,1254,5,6,legacy_endpoint,matched_orthogonal,36,37,1.3285681009292603,-2.75,-2.75,0.0,0.0,0
Gemma4-E4B,1254,5,6,answer_query_relay,aligned_dose_1,36,37,4.872707366943359,-2.75,-2.5,0.25,0.9969197511672974,0
Gemma4-E4B,1254,5,6,answer_query_relay,aligned_dose_2,36,37,9.745416641235352,-2.75,-2.25,0.5,1.9976311922073364,0
Gemma4-E4B,1254,5,6,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,-2.75,-3.0,-0.25,-0.016148636117577553,0
Gemma4-E4B,1254,6,5,legacy_endpoint,aligned_dose_1,36,37,1.3285670280456543,2.5,2.5,0.0,0.0,0
Gemma4-E4B,1254,6,5,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,2.5,2.5,0.0,0.0,0
Gemma4-E4B,1254,6,5,legacy_endpoint,matched_orthogonal,36,37,1.3285681009292603,2.5,2.5,0.0,0.0,0
Gemma4-E4B,1254,6,5,answer_query_relay,aligned_dose_1,36,37,4.872707366943359,2.5,2.875,0.375,1.003920316696167,0
Gemma4-E4B,1254,6,5,answer_query_relay,aligned_dose_2,36,37,9.745416641235352,2.5,3.125,0.625,2.036087989807129,0
Gemma4-E4B,1254,6,5,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,2.5,2.875,0.375,0.014550821855664253,0
Gemma4-E4B,1255,1,2,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-10.5,-10.5,0.0,0.0,0
Gemma4-E4B,1255,1,2,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-10.5,-10.5,0.0,0.0,0
Gemma4-E4B,1255,1,2,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-10.5,-10.5,0.0,0.0,0
Gemma4-E4B,1255,1,2,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-10.5,10.75,21.25,0.9990413188934326,1
Gemma4-E4B,1255,1,2,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-10.5,15.9375,26.4375,1.5206416845321655,1
Gemma4-E4B,1255,1,2,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-10.5,-5.75,4.75,0.02043120004236698,0
Gemma4-E4B,1255,2,1,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-11.125,-11.125,0.0,0.0,0
Gemma4-E4B,1255,2,1,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-11.125,-11.125,0.0,0.0,0
Gemma4-E4B,1255,2,1,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-11.125,-11.125,0.0,0.0,0
Gemma4-E4B,1255,2,1,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-11.125,8.75,19.875,0.9604803919792175,1
Gemma4-E4B,1255,2,1,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-11.125,14.375,25.5,1.8157631158828735,1
Gemma4-E4B,1255,2,1,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-11.125,-10.875,0.25,0.0010827925289049745,0
Gemma4-E4B,1255,5,6,legacy_endpoint,aligned_dose_1,36,37,1.328568458557129,-1.75,-1.75,0.0,0.0,0
Gemma4-E4B,1255,5,6,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,-1.75,-1.75,0.0,0.0,0
Gemma4-E4B,1255,5,6,legacy_endpoint,matched_orthogonal,36,37,1.3285681009292603,-1.75,-1.75,0.0,0.0,0
Gemma4-E4B,1255,5,6,answer_query_relay,aligned_dose_1,36,37,4.872707366943359,-1.75,-0.25,1.5,0.92320317029953,0
Gemma4-E4B,1255,5,6,answer_query_relay,aligned_dose_2,36,37,9.745416641235352,-1.75,1.375,3.125,1.8225951194763184,1
Gemma4-E4B,1255,5,6,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,-1.75,-2.25,-0.5,-0.018382150679826736,0
Gemma4-E4B,1255,6,5,legacy_endpoint,aligned_dose_1,36,37,1.328568458557129,0.0,0.0,0.0,0.0,0
Gemma4-E4B,1255,6,5,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,0.0,0.0,0.0,0.0,0
Gemma4-E4B,1255,6,5,legacy_endpoint,matched_orthogonal,36,37,1.3285679817199707,0.0,0.0,0.0,0.0,0
Gemma4-E4B,1255,6,5,answer_query_relay,aligned_dose_1,36,37,4.872707366943359,0.0,1.625,1.625,0.9044088125228882,0
Gemma4-E4B,1255,6,5,answer_query_relay,aligned_dose_2,36,37,9.745416641235352,0.0,2.375,2.375,1.8614461421966553,1
Gemma4-E4B,1255,6,5,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,0.0,0.75,0.75,0.02556009031832218,0
Gemma4-E4B,1256,1,2,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-8.875,-8.875,0.0,0.0,0
Gemma4-E4B,1256,1,2,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-8.875,-8.875,0.0,0.0,0
Gemma4-E4B,1256,1,2,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-8.875,-8.875,0.0,0.0,0
Gemma4-E4B,1256,1,2,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-8.875,10.125,19.0,0.9871257543563843,1
Gemma4-E4B,1256,1,2,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-8.875,14.3125,23.1875,1.4990369081497192,1
Gemma4-E4B,1256,1,2,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-8.875,-4.5,4.375,0.017282389104366302,0
Gemma4-E4B,1256,2,1,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-9.375,-9.375,0.0,0.0,0
Gemma4-E4B,1256,2,1,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-9.375,-9.375,0.0,0.0,0
Gemma4-E4B,1256,2,1,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-9.375,-9.375,0.0,0.0,0
Gemma4-E4B,1256,2,1,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-9.375,7.125,16.5,0.9608505964279175,1
Gemma4-E4B,1256,2,1,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-9.375,13.0625,22.4375,1.7994920015335083,1
Gemma4-E4B,1256,2,1,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-9.375,-9.25,0.125,-0.0032770996913313866,0
Gemma4-E4B,1256,5,6,legacy_endpoint,aligned_dose_1,36,37,1.328568458557129,-1.625,-1.625,0.0,0.0,0
Gemma4-E4B,1256,5,6,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,-1.625,-1.625,0.0,0.0,0
Gemma4-E4B,1256,5,6,legacy_endpoint,matched_orthogonal,36,37,1.3285681009292603,-1.625,-1.625,0.0,0.0,0
Gemma4-E4B,1256,5,6,answer_query_relay,aligned_dose_1,36,37,4.872707366943359,-1.625,-1.5,0.125,0.9525309205055237,1
Gemma4-E4B,1256,5,6,answer_query_relay,aligned_dose_2,36,37,9.745416641235352,-1.625,-1.125,0.5,1.8812730312347412,1
Gemma4-E4B,1256,5,6,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,-1.625,-2.125,-0.5,-0.056506700813770294,0
Gemma4-E4B,1256,6,5,legacy_endpoint,aligned_dose_1,36,37,1.328568458557129,1.5,1.5,0.0,0.0,0
Gemma4-E4B,1256,6,5,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,1.5,1.5,0.0,0.0,0
Gemma4-E4B,1256,6,5,legacy_endpoint,matched_orthogonal,36,37,1.3285681009292603,1.5,1.5,0.0,0.0,0
Gemma4-E4B,1256,6,5,answer_query_relay,aligned_dose_1,36,37,4.872707366943359,1.5,1.75,0.25,0.9269397854804993,1
Gemma4-E4B,1256,6,5,answer_query_relay,aligned_dose_2,36,37,9.745416641235352,1.5,2.0,0.5,1.9109423160552979,1
Gemma4-E4B,1256,6,5,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,1.5,1.75,0.25,0.015683921054005623,0
Gemma4-E4B,1257,1,2,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-10.75,-10.75,0.0,0.0,0
Gemma4-E4B,1257,1,2,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-10.75,-10.75,0.0,0.0,0
Gemma4-E4B,1257,1,2,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-10.75,-10.75,0.0,0.0,0
Gemma4-E4B,1257,1,2,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-10.75,12.0,22.75,0.9993470907211304,1
Gemma4-E4B,1257,1,2,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-10.75,16.25,27.0,1.5137723684310913,1
Gemma4-E4B,1257,1,2,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-10.75,-5.625,5.125,0.02061559446156025,0
Gemma4-E4B,1257,2,1,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-9.625,-9.625,0.0,0.0,0
Gemma4-E4B,1257,2,1,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-9.625,-9.625,0.0,0.0,0
Gemma4-E4B,1257,2,1,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-9.625,-9.625,0.0,0.0,0
Gemma4-E4B,1257,2,1,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-9.625,9.5,19.125,1.0246872901916504,1
Gemma4-E4B,1257,2,1,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-9.625,14.5,24.125,1.8129338026046753,1
Gemma4-E4B,1257,2,1,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-9.625,-9.375,0.25,0.007502452004700899,0
Gemma4-E4B,1257,5,6,legacy_endpoint,aligned_dose_1,36,37,1.328568458557129,-3.125,-3.125,0.0,0.0,0
Gemma4-E4B,1257,5,6,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,-3.125,-3.125,0.0,0.0,0
Gemma4-E4B,1257,5,6,legacy_endpoint,matched_orthogonal,36,37,1.3285679817199707,-3.125,-3.125,0.0,0.0,0
Gemma4-E4B,1257,5,6,answer_query_relay,aligned_dose_1,36,37,4.872707366943359,-3.125,-2.75,0.375,1.0046442747116089,0
Gemma4-E4B,1257,5,6,answer_query_relay,aligned_dose_2,36,37,9.745416641235352,-3.125,-2.25,0.875,1.993379831314087,0
Gemma4-E4B,1257,5,6,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,-3.125,-3.5,-0.375,-0.029660778120160103,0
Gemma4-E4B,1257,6,5,legacy_endpoint,aligned_dose_1,36,37,1.3285670280456543,2.375,2.375,0.0,0.0,0
Gemma4-E4B,1257,6,5,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,2.375,2.375,0.0,0.0,0
Gemma4-E4B,1257,6,5,legacy_endpoint,matched_orthogonal,36,37,1.3285681009292603,2.375,2.375,0.0,0.0,0
Gemma4-E4B,1257,6,5,answer_query_relay,aligned_dose_1,36,37,4.872707366943359,2.375,2.875,0.5,0.9905148148536682,0
Gemma4-E4B,1257,6,5,answer_query_relay,aligned_dose_2,36,37,9.745416641235352,2.375,3.125,0.75,2.013298749923706,0
Gemma4-E4B,1257,6,5,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,2.375,2.75,0.375,0.018684834241867065,0
Gemma4-E4B,1258,1,2,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-11.875,-11.875,0.0,0.0,0
Gemma4-E4B,1258,1,2,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-11.875,-11.875,0.0,0.0,0
Gemma4-E4B,1258,1,2,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-11.875,-11.875,0.0,0.0,0
Gemma4-E4B,1258,1,2,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-11.875,12.125,24.0,1.0020086765289307,1
Gemma4-E4B,1258,1,2,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-11.875,17.0625,28.9375,1.5288076400756836,1
Gemma4-E4B,1258,1,2,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-11.875,-6.375,5.5,0.014940622262656689,0
Gemma4-E4B,1258,2,1,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-12.25,-12.25,0.0,0.0,0
Gemma4-E4B,1258,2,1,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-12.25,-12.25,0.0,0.0,0
Gemma4-E4B,1258,2,1,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-12.25,-12.25,0.0,0.0,0
Gemma4-E4B,1258,2,1,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-12.25,9.625,21.875,0.9504467844963074,1
Gemma4-E4B,1258,2,1,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-12.25,13.8125,26.0625,1.8131988048553467,1
Gemma4-E4B,1258,2,1,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-12.25,-11.25,1.0,-0.0025509463157504797,0
Gemma4-E4B,1258,5,6,legacy_endpoint,aligned_dose_1,36,37,1.328568458557129,-2.875,-2.875,0.0,0.0,0
Gemma4-E4B,1258,5,6,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,-2.875,-2.875,0.0,0.0,0
Gemma4-E4B,1258,5,6,legacy_endpoint,matched_orthogonal,36,37,1.3285679817199707,-2.875,-2.875,0.0,0.0,0
Gemma4-E4B,1258,5,6,answer_query_relay,aligned_dose_1,36,37,4.872707366943359,-2.875,-2.75,0.125,0.9826624989509583,0
Gemma4-E4B,1258,5,6,answer_query_relay,aligned_dose_2,36,37,9.745415687561035,-2.875,-1.875,1.0,1.9209967851638794,1
Gemma4-E4B,1258,5,6,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,-2.875,-3.25,-0.375,-0.02667374722659588,0
Gemma4-E4B,1258,6,5,legacy_endpoint,aligned_dose_1,36,37,1.3285670280456543,2.25,2.25,0.0,0.0,0
Gemma4-E4B,1258,6,5,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,2.25,2.25,0.0,0.0,0
Gemma4-E4B,1258,6,5,legacy_endpoint,matched_orthogonal,36,37,1.3285679817199707,2.25,2.25,0.0,0.0,0
Gemma4-E4B,1258,6,5,answer_query_relay,aligned_dose_1,36,37,4.872707843780518,2.25,2.875,0.625,0.9522918462753296,1
Gemma4-E4B,1258,6,5,answer_query_relay,aligned_dose_2,36,37,9.745416641235352,2.25,3.125,0.875,1.9371190071105957,1
Gemma4-E4B,1258,6,5,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,2.25,2.625,0.375,0.012880932539701462,0
Gemma4-E4B,1259,1,2,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-8.375,-8.375,0.0,0.0,0
Gemma4-E4B,1259,1,2,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-8.375,-8.375,0.0,0.0,0
Gemma4-E4B,1259,1,2,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-8.375,-8.375,0.0,0.0,0
Gemma4-E4B,1259,1,2,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-8.375,11.75,20.125,0.9864450097084045,1
Gemma4-E4B,1259,1,2,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-8.375,15.625,24.0,1.4849227666854858,1
Gemma4-E4B,1259,1,2,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-8.375,-3.875,4.5,0.019501451402902603,0
Gemma4-E4B,1259,2,1,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-12.6875,-12.6875,0.0,0.0,0
Gemma4-E4B,1259,2,1,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-12.6875,-12.6875,0.0,0.0,0
Gemma4-E4B,1259,2,1,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-12.6875,-12.6875,0.0,0.0,0
Gemma4-E4B,1259,2,1,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-12.6875,8.5,21.1875,0.952756404876709,1
Gemma4-E4B,1259,2,1,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-12.6875,14.6875,27.375,1.8106396198272705,1
Gemma4-E4B,1259,2,1,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-12.6875,-11.875,0.8125,0.0035777967423200607,0
Gemma4-E4B,1259,5,6,legacy_endpoint,aligned_dose_1,36,37,1.3285671472549438,-3.75,-3.75,0.0,0.0,0
Gemma4-E4B,1259,5,6,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,-3.75,-3.75,0.0,0.0,0
Gemma4-E4B,1259,5,6,legacy_endpoint,matched_orthogonal,36,37,1.3285681009292603,-3.75,-3.75,0.0,0.0,0
Gemma4-E4B,1259,5,6,answer_query_relay,aligned_dose_1,36,37,4.872707366943359,-3.75,-3.5,0.25,0.9668970704078674,1
Gemma4-E4B,1259,5,6,answer_query_relay,aligned_dose_2,36,37,9.745416641235352,-3.75,-2.375,1.375,1.9004685878753662,1
Gemma4-E4B,1259,5,6,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,-3.75,-4.0,-0.25,-0.021380020305514336,0
Gemma4-E4B,1259,6,5,legacy_endpoint,aligned_dose_1,36,37,1.3285671472549438,3.375,3.375,0.0,0.0,0
Gemma4-E4B,1259,6,5,legacy_endpoint,aligned_dose_2,36,37,2.657136917114258,3.375,3.375,0.0,0.0,0
Gemma4-E4B,1259,6,5,legacy_endpoint,matched_orthogonal,36,37,1.3285681009292603,3.375,3.375,0.0,0.0,0
Gemma4-E4B,1259,6,5,answer_query_relay,aligned_dose_1,36,37,4.872707366943359,3.375,3.75,0.375,0.9666638374328613,1
Gemma4-E4B,1259,6,5,answer_query_relay,aligned_dose_2,36,37,9.745416641235352,3.375,3.625,0.25,1.9657350778579712,1
Gemma4-E4B,1259,6,5,answer_query_relay,matched_orthogonal,36,37,4.872709274291992,3.375,3.625,0.25,0.018298432230949402,0
Gemma4-E4B,1260,1,2,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-9.125,-9.125,0.0,0.0,0
Gemma4-E4B,1260,1,2,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-9.125,-9.125,0.0,0.0,0
Gemma4-E4B,1260,1,2,legacy_endpoint,matched_orthogonal,36,37,43.86327362060547,-9.125,-9.125,0.0,0.0,0
Gemma4-E4B,1260,1,2,answer_query_relay,aligned_dose_1,36,37,42.12356185913086,-9.125,10.5,19.625,0.9908004403114319,1
Gemma4-E4B,1260,1,2,answer_query_relay,aligned_dose_2,36,37,84.24712371826172,-9.125,15.125,24.25,1.5033905506134033,1
Gemma4-E4B,1260,1,2,answer_query_relay,matched_orthogonal,36,37,42.123565673828125,-9.125,-5.25,3.875,0.012390405870974064,0
Gemma4-E4B,1260,2,1,legacy_endpoint,aligned_dose_1,36,37,43.86327362060547,-10.75,-10.75,0.0,0.0,0
Gemma4-E4B,1260,2,1,legacy_endpoint,aligned_dose_2,36,37,87.72654724121094,-10.75,-10.75,0.0,0.0,0
