scope,parameter,estimate,ci95_low,ci95_high,bootstrap_unit,bootstrap_replicates
Qwen3-1.7B,log2_length,0.246994323942442,0.0773332355175819,0.4114367142368155,stimulus_id,500
Qwen3-1.7B,log2_needles,-0.2377395292962801,-0.3596624726774097,-0.0917526883973973,stimulus_id,500
Qwen3-8B,log2_length,0.2791682312724713,0.187338169584423,0.3741976367422165,stimulus_id,500
Qwen3-8B,log2_needles,0.0596587415234581,-0.0183831998219835,0.1451521970065334,stimulus_id,500
Qwen3-32B,log2_length,0.0470965219592575,-0.0700273526997672,0.1426588329359918,stimulus_id,500
Qwen3-32B,log2_needles,0.2903013041176217,0.2327077459191047,0.3668177625360876,stimulus_id,500
Qwen shared,shared_log2_length,0.18978574863881048,0.09808710331156645,0.2738345310889338,stimulus_id,500
Qwen shared,shared_log2_needles,0.038645283682868625,-0.03336277092686968,0.10895377559950416,stimulus_id,500
