model_label,requests,parsed_requests,parse_rate,exact_rate_all,format_failure_rate,truncation_rate,exact_rate_parsed,mean_bias,trimmed_mean_bias_10pct,median_bias,asinh_center_bias,tail_shift,over_rate_parsed,under_rate_parsed,mean_absolute_error,p95_absolute_error,max_absolute_error,top1pct_absolute_error_share,top5pct_absolute_error_share
Qwen3-8B,900,890,0.9888888888888889,0.68,0.011111111111111112,0.01,0.6876404494382022,54.124719101123596,2.0070224719101124,0.0,0.8093415691291328,52.117696629213484,0.20449438202247192,0.10786516853932585,54.8685393258427,382.0,1705.0,0.2578584154158049,0.7241209837609813
Qwen3-1.7B,900,880,0.9777777777777777,0.3688888888888889,0.022222222222222223,0.0022222222222222222,0.37727272727272726,29.644318181818182,4.684659090909091,0.0,0.4032798188244408,24.959659090909092,0.24659090909090908,0.37613636363636366,33.273863636363636,218.24999999999977,907.0,0.19664628940268433,0.5790785833817151
Qwen3-32B,900,898,0.9977777777777778,0.7622222222222222,0.0022222222222222222,0.0022222222222222222,0.7639198218262806,58.70601336302895,0.3763888888888889,0.0,0.8736696451241271,58.32962447414006,0.22383073496659242,0.012249443207126948,58.75501113585746,434.59999999999945,2316.0,0.3146582767901141,0.8412493840263826
Gemma4-E4B,900,852,0.9466666666666667,0.6988888888888889,0.05333333333333334,0.05333333333333334,0.7382629107981221,4.895539906103286,-0.16129032258064516,0.0,-0.21767487090569956,5.056830228683931,0.045774647887323945,0.215962441314554,6.038732394366197,5.0,2318.0,0.8967930029154519,0.9411078717201167
Gemma4-12B,900,486,0.54,0.5022222222222222,0.46,0.45555555555555555,0.9300411522633745,-0.053497942386831275,0.0,0.0,-0.04520466879135593,-0.053497942386831275,0.01646090534979424,0.053497942386831275,0.205761316872428,1.0,20.0,0.54,0.91
OLMo-Hybrid-7B,600,583,0.9716666666666667,0.45166666666666666,0.028333333333333332,0.02666666666666667,0.4648370497427101,60.291595197255575,9.49678800856531,0.0,0.7885424068527781,50.794807188690264,0.27101200686106347,0.2641509433962264,61.715265866209265,466.499999999999,1188.0,0.17053918843802113,0.5852973874374653
Llama3.1-8B,600,433,0.7216666666666667,0.30333333333333334,0.2783333333333333,0.005,0.42032332563510394,7.041570438799076,-0.829971181556196,0.0,-0.3075141604153532,7.871541620355273,0.17321016166281755,0.4064665127020785,10.159353348729793,12.399999999999977,330.0,0.344169129347579,0.8420095476244601
Llama3.2-3B,600,363,0.605,0.13666666666666666,0.395,0.056666666666666664,0.22589531680440772,53.90633608815427,20.491408934707902,1.0,2.0594792273434637,33.41492715344637,0.5041322314049587,0.2699724517906336,55.98347107438016,320.9999999999998,921.0,0.17212872748745203,0.46570219466587937
