model_label,requests,exact_correct,overall_accuracy,overall_ci95_low,overall_ci95_high,query_first_requests,query_first_accuracy,query_last_requests,query_last_accuracy,delta_query_last_minus_first,delta_ci95_low,delta_ci95_high,paired_units,first_only_correct,last_only_correct
Qwen3-8B,900,612,0.68,0.6488143030852971,0.7096556440918835,450,0.5733333333333334,450,0.7866666666666666,0.21333333333333335,0.17333333333333334,0.25333333333333335,450,18,114
Qwen3-1.7B,900,332,0.3688888888888889,0.3379852553841152,0.40090700531398776,450,0.32666666666666666,450,0.4111111111111111,0.08444444444444445,0.04222222222222222,0.1288888888888889,450,36,74
Qwen3-32B,900,686,0.7622222222222222,0.7333311922397292,0.7888842863640646,450,0.7111111111111111,450,0.8133333333333334,0.10222222222222223,0.06666666666666665,0.13777777777777778,450,31,77
Gemma4-E4B,900,629,0.6988888888888889,0.6681248743327715,0.7279622895234958,450,0.7488888888888889,450,0.6488888888888888,-0.1,-0.14444444444444443,-0.05555555555555556,450,82,37
Gemma4-12B,900,452,0.5022222222222222,0.4696165233212391,0.534809031582183,450,0.5911111111111111,450,0.41333333333333333,-0.17777777777777778,-0.21333333333333335,-0.14222222222222225,450,83,3
OLMo-Hybrid-7B,600,271,0.45166666666666666,0.4122795880670931,0.4916687096975647,300,0.4866666666666667,300,0.4166666666666667,-0.07,-0.14,0.0,300,59,38
Llama3.1-8B,600,182,0.30333333333333334,0.2678974928892395,0.3412714428428163,300,0.21333333333333335,300,0.3933333333333333,0.18,0.10666666666666667,0.25333333333333335,300,27,81
Llama3.2-3B,600,82,0.13666666666666666,0.111483490917006,0.16647267848628314,300,0.07333333333333333,300,0.2,0.12666666666666668,0.08666666666666667,0.16666666666666666,300,8,46
