model_label,prompt_mode,prompt_mode_label,requests,parsed_requests,parse_rate,exact_rate_all,format_failure_rate,truncation_rate,exact_rate_parsed,mean_bias,trimmed_mean_bias_10pct,median_bias,asinh_center_bias,tail_shift,over_rate_parsed,under_rate_parsed,mean_absolute_error,p95_absolute_error,max_absolute_error,top1pct_absolute_error_share,top5pct_absolute_error_share
Qwen3-8B,direct,Direct / nonthinking,300,296,0.9866666666666667,0.4266666666666667,0.013333333333333334,0.013333333333333334,0.43243243243243246,0.17229729729729729,0.10504201680672269,0.0,0.026825859528340913,0.0672552804905746,0.27364864864864863,0.2939189189189189,2.347972972972973,10.0,20.0,0.07194244604316546,0.3064748201438849
Qwen3-8B,enumeration,Enumeration,300,299,0.9966666666666667,0.6366666666666667,0.0033333333333333335,0.0,0.6387959866220736,160.93645484949832,82.9253112033195,0.0,4.34857848753699,78.01114364617882,0.33444816053511706,0.026755852842809364,160.98996655518394,756.5999999999906,1705.0,0.10231427621738408,0.3946734252949975
Qwen3-8B,native_thinking,Native thinking / CoT,300,295,0.9833333333333333,0.9766666666666667,0.016666666666666666,0.016666666666666666,0.9932203389830508,0.0,0.0,0.0,0.0,0.0,0.003389830508474576,0.003389830508474576,0.006779661016949152,0.0,1.0,1.0,1.0
Qwen3-1.7B,direct,Direct / nonthinking,300,300,1.0,0.25,0.0,0.0,0.25,-1.6233333333333333,-1.9041666666666666,-1.0,-0.8563112747669545,0.28083333333333327,0.18333333333333332,0.5666666666666667,5.51,22.05000000000001,70.0,0.12704174228675136,0.3315184513006655
Qwen3-1.7B,enumeration,Enumeration,300,282,0.94,0.24,0.06,0.0,0.2553191489361702,95.47872340425532,63.283185840707965,31.0,7.008733183603651,32.195537563547354,0.5425531914893617,0.20212765957446807,96.61347517730496,393.9,907.0,0.08691503028078547,0.30754266837951916
Qwen3-1.7B,native_thinking,Native thinking / CoT,300,298,0.9933333333333333,0.6166666666666667,0.006666666666666667,0.006666666666666667,0.6208053691275168,-1.1778523489932886,-0.625,0.0,-0.5912481851871428,-0.5528523489932886,0.030201342281879196,0.348993288590604,1.2852348993288591,7.0,12.0,0.09138381201044386,0.3681462140992167
Qwen3-32B,direct,Direct / nonthinking,300,298,0.9933333333333333,0.56,0.006666666666666667,0.006666666666666667,0.5637583892617449,1.483221476510067,0.8333333333333334,0.0,0.7454011823020796,0.6498881431767337,0.4228187919463087,0.013422818791946308,1.563758389261745,5.0,15.0,0.09656652360515021,0.3948497854077253
Qwen3-32B,enumeration,Enumeration,300,300,1.0,0.7466666666666667,0.0,0.0,0.7466666666666667,174.22333333333333,69.40416666666667,0.0,2.5578681882423098,104.81916666666666,0.24,0.013333333333333334,174.26333333333332,799.1,2316.0,0.1273168958855372,0.468122955680101
Qwen3-32B,native_thinking,Native thinking / CoT,300,300,1.0,0.98,0.0,0.0,0.98,0.03,0.0,0.0,0.008861951467226714,0.03,0.01,0.01,0.056666666666666664,0.0,6.0,0.8235294117647058,1.0
Gemma4-E4B,direct,Direct / nonthinking,300,253,0.8433333333333334,0.38666666666666666,0.15666666666666668,0.15666666666666668,0.45849802371541504,-1.359683794466403,-0.9507389162561576,0.0,-0.7119972774734744,-0.4089448782102455,0.08695652173913043,0.45454545454545453,1.5810276679841897,6.0,13.0,0.0925,0.2675
Gemma4-E4B,enumeration,Enumeration,300,300,1.0,0.8533333333333334,0.0,0.0,0.8533333333333334,15.126666666666667,-0.020833333333333332,0.0,0.03382978151134862,15.1475,0.03,0.11666666666666667,15.46,1.0500000000000114,2318.0,0.7503234152652005,0.99374730487279
Gemma4-E4B,native_thinking,Native thinking / CoT,300,299,0.9966666666666667,0.8566666666666667,0.0033333333333333335,0.0033333333333333335,0.8595317725752508,-0.07692307692307693,-0.02074688796680498,0.0,-0.08897157046401169,-0.05617618895627195,0.026755852842809364,0.11371237458193979,0.35785953177257523,2.0,15.0,0.308411214953271,0.6915887850467289
Gemma4-12B,direct,Direct / nonthinking,300,7,0.023333333333333334,0.023333333333333334,0.9766666666666667,0.9766666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-12B,enumeration,Enumeration,300,295,0.9833333333333333,0.9,0.016666666666666666,0.0033333333333333335,0.9152542372881356,-0.10847457627118644,0.0,0.0,-0.08860859159436639,-0.10847457627118644,0.006779661016949152,0.07796610169491526,0.2983050847457627,1.0,20.0,0.4318181818181818,0.8863636363636364
Gemma4-12B,native_thinking,Native thinking / CoT,300,184,0.6133333333333333,0.5833333333333334,0.38666666666666666,0.38666666666666666,0.9510869565217391,0.03260869565217391,0.0,0.0,0.022520683251188004,0.03260869565217391,0.03260869565217391,0.016304347826086956,0.06521739130434782,0.0,3.0,0.4166666666666667,1.0
OLMo-Hybrid-7B,direct,Direct / nonthinking,300,300,1.0,0.49333333333333335,0.0,0.0,0.49333333333333335,-0.5266666666666666,-0.29583333333333334,0.0,-0.23752674252716022,-0.23083333333333328,0.19,0.31666666666666665,1.4066666666666667,6.0,10.0,0.07109004739336493,0.2985781990521327
OLMo-Hybrid-7B,enumeration,Enumeration,300,283,0.9433333333333334,0.41,0.056666666666666664,0.05333333333333334,0.43462897526501765,124.76325088339223,67.33480176211454,0.0,2.7619431635462797,57.428449121277694,0.3568904593639576,0.20848056537102475,125.64664310954063,717.8999999999997,1188.0,0.08954384386073458,0.3734180775071714
Llama3.1-8B,direct,Direct / nonthinking,300,294,0.98,0.28,0.02,0.0033333333333333335,0.2857142857142857,-1.7380952380952381,-1.4110169491525424,-1.0,-0.754643530749562,-0.32707828894269575,0.19047619047619047,0.5238095238095238,2.5272108843537415,6.0,30.0,0.09152086137281291,0.24629878869448182
Llama3.1-8B,enumeration,Enumeration,300,139,0.4633333333333333,0.32666666666666666,0.5366666666666666,0.006666666666666667,0.7050359712230215,25.611510791366907,3.256637168141593,0.0,0.555711852907331,22.354873623225313,0.1366906474820144,0.15827338129496402,26.302158273381295,234.7999999999996,330.0,0.1712253829321663,0.5760393873085339
Llama3.2-3B,direct,Direct / nonthinking,300,265,0.8833333333333333,0.23333333333333334,0.11666666666666667,0.07333333333333333,0.2641509433962264,2.5849056603773586,1.539906103286385,0.0,0.4645206020361177,1.0449995570909736,0.41509433962264153,0.32075471698113206,5.0452830188679245,19.0,44.0,0.08152580403889305,0.29020194465220644
Llama3.2-3B,enumeration,Enumeration,300,98,0.32666666666666666,0.04,0.6733333333333333,0.04,0.12244897959183673,192.68367346938774,164.15,153.0,34.34767310159707,28.533673469387736,0.7448979591836735,0.1326530612244898,193.72448979591837,490.9499999999997,921.0,0.04851198314458783,0.2115880958651567
