model_label,feature,estimate,standard_error,ci95_low_hessian,ci95_high_hessian,odds_ratio_per_doubling,converged
Qwen3-8B,log_length,-0.46654528035490533,0.10332588616369286,-0.6690640172357434,-0.26402654347406734,0.627165209924415,True
Qwen3-8B,log_needles,-0.751097126512282,0.07952233449147275,-0.9069609021155686,-0.5952333509089954,0.4718485910591893,True
Qwen3-1.7B,log_length,-0.13029613442557858,0.09662262468840926,-0.3196764788148607,0.05908420996370359,0.8778354351332741,True
Qwen3-1.7B,log_needles,-1.2713367478385915,0.09324730278474126,-1.4541014612966845,-1.0885720343804985,0.2804564715114764,True
Qwen3-32B,log_length,-0.3546800527134939,0.1048034939347154,-0.560094900825536,-0.1492652046014517,0.7013978176411785,True
Qwen3-32B,log_needles,-0.8328459446842088,0.08313470750985127,-0.9957899714035173,-0.6699019179649003,0.434810078368123,True
Gemma4-E4B,log_length,-0.391144406085904,0.1018307144761348,-0.5907326064591282,-0.1915562057126798,0.6762824896803504,True
Gemma4-E4B,log_needles,-0.9065229119290124,0.08258112203668934,-1.0683819111209234,-0.7446639127371013,0.4039262723214152,True
Gemma4-12B,log_length,-1.57043096362408,0.1704141971406984,-1.9044427900198488,-1.2364191372283113,0.20795554176856332,True
Gemma4-12B,log_needles,-0.659477873299957,0.09758506496159547,-0.8507446006246842,-0.4682111459752299,0.5171212668367001,True
OLMo-Hybrid-7B,log_length,-0.31132258877209074,0.09772732588344588,-0.5028681475036446,-0.11977703004053683,0.7324775487201138,True
OLMo-Hybrid-7B,log_needles,-0.744878525108573,0.07744524509300876,-0.8966712054908702,-0.5930858447262758,0.4747919717402212,True
Llama3.1-8B,log_length,-0.43042805833280356,0.09903087513915702,-0.6245285736055514,-0.2363275430600558,0.6502306984739239,True
Llama3.1-8B,log_needles,-0.2685136003849065,0.06833440235927196,-0.40244902900907953,-0.13457817176073347,0.7645150250405376,True
Llama3.2-3B,log_length,-0.24447247620836562,0.14247702331854012,-0.5237274419127043,0.034782489495972985,0.7831175424328017,True
Llama3.2-3B,log_needles,-0.6641528904678977,0.11000568439113691,-0.879764031874526,-0.4485417490612694,0.5147093582861167,True
