candidate,description,n_parameters,converged_all_folds,cv_log_loss_mean,cv_log_loss_se,cv_brier,cv_ece,cv_calibration_intercept,cv_calibration_slope,full_log_likelihood,aic,bic
model_specific_length_needles_slopes,Model-specific slope heterogeneity diagnostic,27,True,0.4899819969121619,0.009659497746605,0.161505341746666,0.0169760872002966,0.0011215828772395,0.9618120356299268,-3033.54216384909,6121.08432769818,6303.288560332429
categorical_length_needles_model_fe,Flexible additive categorical response surface,22,True,0.4939791812989584,0.0088416421364457,0.1626227647126759,0.012646025712895,0.0007667756324716,0.9669637314285692,-3066.3833838133605,6176.766767626721,6325.229475699073
log_length_needles_interaction_model_fe,Shared log-linear slopes plus one interaction,14,True,0.4993714302796156,0.0100773701368314,0.1650690394153799,0.0134614196457801,0.0011386302167666,0.9710552698360604,-3106.7285781249784,6241.457156249957,6335.933425023271
log_length_needles_model_fe,Shared length/needle slopes with categorical model intercepts,13,True,0.4998002483378051,0.0093209351789056,0.1652494658562907,0.011449033622654,0.0009764151555816,0.9729226312519028,-3112.054061843007,6250.108123686014,6337.836087546949
log_length_density_model_fe,Length plus density coordinates with model intercepts,13,True,0.4998002906821556,0.0093209453981049,0.1652494834226179,0.0114490056393904,0.0009761266704527,0.9729229797353108,-3112.0540618650966,6250.108123730193,6337.8360875911285
density_model_fe,Density-only slope with categorical model intercepts,12,True,0.5430510928002396,0.0090922130338189,0.1817924822381676,0.0252333030378703,0.001046976058275,0.972741932902451,-3388.5550718070945,6801.110143614189,6882.089802562745
controls_only,Categorical nuisance baselines only,11,True,0.5632313734103854,0.0081170767132186,0.1905955129594868,0.0535407836256311,0.001089583144232,0.972459575080568,-3517.964085315557,7057.928170631114,7132.15952466729
pooled_log_length_needles,Pooled descriptive length and needle slopes,3,True,0.6455957468159123,0.0034101854138375,0.2272307114248776,0.0303737657452018,0.0003313103547553,0.9941169096519368,-4064.4322805386655,8134.864561077333,8155.109475814472
pooled_log_density,Pooled descriptive density-only slope,2,True,0.6776136243926896,0.0018064801394761,0.242341352687143,0.0240294896296087,0.0007760644048843,0.9869396140215996,-4266.7622954905855,8537.524590981171,8551.02120080593
