method,target,candidate,coordinate,interaction,n_parameters,all_converged,selection_metric,selection_score,seed_target_mae,seed_target_rmse,seed_raw_bias_mae,seed_raw_bias_rmse,seed_raw_mean_residual,length_level_target_mae,length_level_target_rmse,length_level_raw_bias_mae,length_level_raw_bias_rmse,length_level_raw_mean_residual,needle_level_target_mae,needle_level_target_rmse,needle_level_raw_bias_mae,needle_level_raw_bias_rmse,needle_level_raw_mean_residual,cell_block_target_mae,cell_block_target_rmse,cell_block_raw_bias_mae,cell_block_raw_bias_rmse,cell_block_raw_mean_residual
ols,asinh_signed_error,log_length_needles,log,False,57,True,target_mae,1.0858733131284763,1.057707376132457,1.6486531786780747,35.552296388441285,156.66841428912173,31.85378284702619,1.1020981983882738,1.7736844256285482,57312.879496334535,1724232.971004266,57308.55650676199,1.101020843732789,1.6970171625841186,36.25152292939392,156.57602457869027,31.185569029779376,1.082666834260386,1.6739380672610014,35.99771740427298,156.2607185606755,31.14731171883185
ols,asinh_signed_error,log_density_only,density,False,49,True,target_mae,1.0899442122615968,1.0542065768617277,1.6677628909134168,35.860565450033285,157.42329007998893,32.02172496315854,1.136512956974569,1.7206498494234888,36.40356918176667,157.87064086201173,31.78547142459755,1.0883964108864863,1.7033264732154156,36.46822983431442,157.58422769932244,31.651326066675374,1.080660904323604,1.6761295530897204,36.15533447343478,157.28601744439695,31.749749899190537
ols,asinh_signed_error,log_length_needles_interaction,log,True,65,True,target_mae,1.115125293649887,1.0658159122379984,1.6561888260344058,35.512284695834246,155.85482640752477,31.26052723652724,1.201838235430796,1.78056132195891,94.84478789564398,4283.036611899216,89.4549537120531,1.1042176934756205,1.6957099650065717,36.27760922501513,156.6287000310261,31.016127534581667,1.0886293334551331,1.6748430868735225,35.89371898613781,155.67776170718665,30.870260040791138
ols,asinh_signed_error,raw_length_needles,raw,False,57,True,target_mae,1.1452554002341793,1.129250232507621,1.7064310908620657,35.66699798675521,154.71046183735135,30.55947861723514,1.194814840342241,1.755653744968799,36.68816211340881,156.704522308165,31.11904405637608,1.115748712040502,1.6711176694385206,35.6789672220864,155.2548377904376,31.25670021110832,1.1412078160463526,1.7175403476671136,35.96665502236164,153.80851492705574,30.402865160169565
ols,capped_signed_error,log_length_needles,log,False,57,True,target_rmse,7.228905559569216,4.016088013548446,7.095184403644742,36.54143620296349,158.46767250603807,32.51275044201633,4.188389003367998,7.264226695931822,36.71373719278304,158.43516256489062,32.41849697130392,4.206166827863044,7.331122789078224,36.730911580486456,158.3972085931499,32.24905516743533,4.134438579438491,7.225088349622076,36.6596038716615,158.34545609187452,32.223986123432994
ols,capped_signed_error,log_density_only,density,False,49,True,target_rmse,7.248117742183901,3.960544547623333,7.144953791031576,36.48589273703838,158.55339143037045,32.52141625986702,4.389922547980665,7.345810009023118,36.915270737395694,158.5532313396128,32.56573376654348,4.120557188070867,7.319859322636818,36.64590537748592,158.51180058264737,32.347405448045635,4.090053018458411,7.181847846044089,36.615401207873454,158.46586876056006,32.378797526432585
ols,capped_signed_error,log_length_needles_interaction,log,True,65,True,target_rmse,7.333808345497719,4.148412083173807,7.152995694910664,36.67306171368042,158.3940418956465,32.49425890785534,4.669816744968325,7.6050542137128945,37.19349035581702,158.5345210110732,33.0732900201825,4.309946260719133,7.354393217838185,36.83478114201611,158.41213474152147,32.21874590374093,4.197368509399705,7.222790255529134,36.72271669881475,158.29352247488782,32.22581640124913
ols,capped_signed_error,raw_length_needles,raw,False,57,True,target_rmse,7.464840668063704,4.623034012875599,7.45108530985893,37.14838220229064,158.23171973117505,32.07011585230584,4.894843518414702,7.663729744724145,37.41885106114337,158.4734793550144,32.993422257070435,4.4290337813551615,7.228852154139253,36.9543819707702,158.3250410282802,32.327582376972124,4.617043990612689,7.515695463532488,37.14239218002773,158.19622742666934,32.18505782394699
ols,raw_signed_error,log_length_needles_interaction,log,True,65,True,raw_bias_rmse,134.9434574784015,55.333398286954,134.00255425802695,55.333398286954,134.00255425802695,-0.4683884030271301,63.01410911250999,137.89824028773307,63.01410911250999,137.89824028773307,9.393982601787652,56.311443512417306,135.03937888193877,56.311443512417306,135.03937888193877,-1.452447350579619,55.14300151640527,132.83365648590723,55.14300151640527,132.83365648590723,-1.6284584853114616
ols,raw_signed_error,log_length_needles,log,False,57,True,raw_bias_rmse,138.2470110210429,52.52465283575288,134.0728455392893,52.52465283575288,134.0728455392893,-0.3822187315025154,57.79413461730468,151.59532908763003,57.79413461730468,151.59532908763003,2.0562324329382924,54.34218833889574,134.5699363851454,54.34218833889574,134.5699363851454,-1.2398893835715967,52.94861279590551,132.74993307210684,52.94861279590551,132.74993307210684,-1.2413724445753966
