model_label,requests,exact_correct,accuracy,parsed_outputs,parse_success_rate,format_failure_rate,truncation_rate,mean_absolute_error_parsed,median_absolute_error_parsed,mean_signed_bias_parsed,median_signed_bias_parsed,accuracy_rank
Qwen3-8B,900,612,0.68,890,0.9888888888888889,0.011111111111111112,0.01,54.8685393258427,0.0,54.124719101123596,0.0,3
Qwen3-1.7B,900,332,0.3688888888888889,880,0.9777777777777777,0.022222222222222223,0.0022222222222222222,33.273863636363636,1.0,29.644318181818182,0.0,6
Qwen3-32B,900,686,0.7622222222222222,898,0.9977777777777778,0.0022222222222222222,0.0022222222222222222,58.75501113585746,0.0,58.70601336302895,0.0,1
Gemma4-E4B,900,629,0.6988888888888889,852,0.9466666666666667,0.05333333333333334,0.05333333333333334,6.038732394366197,0.0,4.895539906103286,0.0,2
Gemma4-12B,900,452,0.5022222222222222,486,0.54,0.46,0.45555555555555555,0.205761316872428,0.0,-0.053497942386831275,0.0,4
OLMo-Hybrid-7B,600,271,0.45166666666666666,583,0.9716666666666667,0.028333333333333332,0.02666666666666667,61.715265866209265,1.0,60.291595197255575,0.0,5
Llama3.1-8B,600,182,0.30333333333333334,433,0.7216666666666667,0.2783333333333333,0.005,10.159353348729793,1.0,7.041570438799076,0.0,7
Llama3.2-3B,600,82,0.13666666666666666,363,0.605,0.395,0.056666666666666664,55.98347107438016,4.0,53.90633608815427,1.0,8
