candidate,n_parameters,converged_all_folds,local_cv_log_loss_mean,local_cv_log_loss_se,local_cv_brier,local_cv_ece,local_cv_calibration_intercept,local_cv_calibration_slope,local_full_log_likelihood,local_aic,local_bic,archived_cv_log_loss_mean,absolute_log_loss_difference
model_specific_length_needles_slopes,27,True,0.48998195727801575,0.009659497722517675,0.16150531949757405,0.016976098693921686,0.001120695506424288,0.9618115298320946,-3033.542163751653,6121.084327503306,6303.288560137556,0.4899819969121619,3.963414613172844e-08
log_length_needles_interaction_model_fe,14,True,0.4993713556887324,0.010077389240247809,0.16506900566941798,0.013461525316838965,0.00113687433291874,0.9710539599137648,-3106.728578063785,6241.45715612757,6335.933424900884,0.4993714302796156,7.459088319228258e-08
log_length_needles_model_fe,13,True,0.4998002010336879,0.009320917785656411,0.1652494544056341,0.011448960347628935,0.000976725424690403,0.9729235176098672,-3112.054061827139,6250.108123654278,6337.836087515213,0.4998002483378051,4.730411723441463e-08
density_model_fe,12,True,0.5430511098038545,0.009092213640370238,0.18179249311257803,0.025233249688218627,0.0010473788294199302,0.9727421117298468,-3388.5550718107893,6801.110143621579,6882.089802570134,0.5430510928002396,1.7003614960486857e-08
controls_only,11,True,0.5632313595462741,0.00811707506417769,0.19059551196648758,0.05354073780023243,0.001089230754469671,0.9724597260361559,-3517.964085313989,7057.928170627978,7132.159524664154,0.5632313734103854,1.3864111303441007e-08
