model_label,parsed_requests,selected_candidate,selected_candidate_cn,selection_score_asinh_mae,condition_only_score_asinh_mae,four_scheme_gain_pct,schemes_better_than_condition_only,nested_seed_mae,nested_seed_condition_only_mae,nested_seed_gain_pct,nested_selected_candidate_counts,evidence,evidence_cn,raw_mean_selected_candidate,raw_mean_selected_rmse,raw_mean_condition_only_rmse,raw_mean_gain_pct,reference_condition,reference_condition_parsed_n,equation,reference_intercept,reference_intercept_ci95_low,reference_intercept_ci95_high,length_slope,length_slope_ci95_low,length_slope_ci95_high,needle_slope,needle_slope_ci95_low,needle_slope_ci95_high,density_slope,density_slope_ci95_low,density_slope_ci95_high,interaction_slope,interaction_slope_ci95_low,interaction_slope_ci95_high
Qwen3-8B,890,condition_only,仅模式/query-order 截距,0.8556595590362954,0.8556595590362954,0.0,0,0.8284593996225225,0.8284593996225225,0.0,"{""condition_only"": 5}",not_supported,未发现稳定 law,log_interaction,156.55364478688904,165.04207196601357,5.143189901828496,direct|query_last,150,"asinh(b)=α(q,o)",0.9504171584087069,0.7534018462447397,1.1498251015614371,,,,,,,,,,,,
Qwen3-1.7B,880,raw_separable,原始归一化 L + N,1.4230464149903188,1.5734794707262854,9.560535013941413,4,1.4077824250596225,1.5643272796894747,10.007167723938627,"{""raw_separable"": 5}",supported,有支持,raw_separable,79.97048023786314,80.16988058118437,0.24872226561358826,direct|query_first,150,"asinh(b)=α(q,o)+βL·(T−5000)/5000+βN·(N−5)/5",-1.6322834552126457,-1.782639009932383,-1.4959302294204486,0.3849252466329217,0.15027107414356192,0.6162670185683126,-0.320696339831842,-0.40040570292159533,-0.23081805115809273,,,,,,
Qwen3-32B,898,condition_only,仅模式/query-order 截距,0.9014546191948486,0.9014546191948486,0.0,0,0.9093608473231901,0.9093608473231901,0.0,"{""condition_only"": 5}",not_supported,未发现稳定 law,log_separable,213.16972534909502,217.6252636314221,2.047344231997406,direct|query_last,150,"asinh(b)=α(q,o)",0.851948810606688,0.6856629936270682,1.0159802224884844,,,,,,,,,,,,
Gemma4-E4B,852,log_interaction,分离 log₂L + log₂N + 交互,0.5151219818075039,0.5267208903725278,2.202097691021986,4,0.5071023608475563,0.5180775743470742,2.1184498312535176,"{""log_interaction"": 4, ""raw_separable"": 1}",supported,有支持,condition_only,86.61549866087502,86.61549866087502,0.0,enumeration|query_first,150,"asinh(b)=α(q,o)+βL·log₂(T/5000)+βN·log₂(N/5)+βLN·log₂(T/5000)log₂(N/5)",0.3038044731711637,0.1219771866514788,0.5230665341475779,-0.07313056542220578,-0.13195180360508177,-0.005245264318928078,-0.20123109067835643,-0.255205941959418,-0.12945725631285057,,,,-0.0670744572241507,-0.11107454149902402,-0.027464948013189324
Gemma4-12B,486,condition_only,仅模式/query-order 截距,0.15145533099937883,0.15145533099937883,0.0,0,0.1496544071483381,0.1496544071483381,0.0,"{""condition_only"": 5}",not_supported,未发现稳定 law,raw_separable,1.2849886971898594,1.2926080172329981,0.5894532558639767,enumeration|query_first,150,"asinh(b)=α(q,o)",0.0,0.0,0.0,,,,,,,,,,,,
OLMo-Hybrid-7B,583,condition_only,仅模式/query-order 截距,1.841977114149248,1.841977114149248,0.0,0,1.8776513575545155,1.8600065754980502,-0.9486408429357649,"{""condition_only"": 4, ""raw_separable"": 1}",not_supported,未发现稳定 law,log_separable,168.86825080128355,170.04568524812282,0.6924224187877588,direct|query_first,150,"asinh(b)=α(q,o)",-0.28487087480769097,-0.4538581916691451,-0.11672202618628774,,,,,,,,,,,,
Llama3.1-8B,433,raw_separable,原始归一化 L + N,0.9864653481349168,1.0491679928464852,5.976416087708755,4,0.9958906158339571,1.0375299856781408,4.013317245666665,"{""log_interaction"": 1, ""raw_separable"": 4}",supported,有支持,raw_separable,44.2330499925217,44.76844901832416,1.1959293599457026,direct|query_last,150,"asinh(b)=α(q,o)+βL·(T−5000)/5000+βN·(N−5)/5",0.4386908006148312,0.2509208866959323,0.6197275709287043,-0.24806586856401344,-0.4504159990139134,-0.034524378920233204,-0.3003899981694962,-0.3792450348152168,-0.22382841464704317,,,,,,
Llama3.2-3B,363,raw_separable,原始归一化 L + N,1.670067061164581,1.8680602958198191,10.598867450814625,4,1.635494183791079,1.818563981834865,10.066722967815247,"{""raw_separable"": 5}",supported,有支持,condition_only,102.31161396446802,102.31161396446802,0.0,direct|query_last,150,"asinh(b)=α(q,o)+βL·(T−5000)/5000+βN·(N−5)/5",0.13993112572568345,-0.07383615313200632,0.38067719596898053,-0.9494821474330953,-1.3002404617507646,-0.6261261441598035,-0.4043615080971644,-0.5217721093895042,-0.22749676691355375,,,,,,
