model_label,selected_candidate,selected_formula,intercept,baseline_probability_L0_N0_direct_query_first,amplitude,length_parameter,needle_parameter,parameter_type,bootstrap_replicates,baseline_probability_L0_N0_direct_query_first_ci95_low,baseline_probability_L0_N0_direct_query_first_ci95_high,amplitude_ci95_low,amplitude_ci95_high,length_parameter_ci95_low,length_parameter_ci95_high,needle_parameter_ci95_low,needle_parameter_ci95_high
Qwen3-8B,hill_power_model_specific,p=1/(1+A_m*(L/L0)^r_m*(N/N0)^s_m),-0.2111202473785487,0.4474151099687983,1.2350608589632517,0.4968238832470092,0.7992758387247373,power_order,200,0.4079111863482559,0.4838391910882695,1.0668056106511992,1.4515142363369935,0.3345240422440807,0.6905564119913356,0.6734157363240394,0.9579493522483964
Qwen3-1.7B,hill_power_model_specific,p=1/(1+A_m*(L/L0)^r_m*(N/N0)^s_m),-1.9742129681813017,0.1219370919666543,7.2009500462211,0.1728582222681481,1.6973364213080409,power_order,200,0.0993661537346523,0.1421064687141865,6.037014297476731,9.063803047929651,-0.0851034387964548,0.4507761961241717,1.4981708233562905,1.9627821948786537
Qwen3-32B,hill_power_model_specific,p=1/(1+A_m*(L/L0)^r_m*(N/N0)^s_m),0.4229993516910161,0.60420074514509,0.655079057805307,0.439123461770773,1.0387525759141496,power_order,200,0.5545667499742846,0.6569197134721786,0.5222565184499026,0.8032094471977004,0.1849649765355524,0.750271302848405,0.8537267048817065,1.2709780676550588
Gemma4-E4B,hill_power_model_specific,p=1/(1+A_m*(L/L0)^r_m*(N/N0)^s_m),-0.0075063439799191,0.498123422816355,1.0075345872034485,0.4577438830102639,1.0516432189154843,power_order,200,0.4506372319448257,0.5459780523750948,0.8315773180178916,1.2190851215213296,0.2186338344688943,0.728776298585557,0.8660832884422552,1.2305097709314514
Gemma4-12B,hill_power_model_specific,p=1/(1+A_m*(L/L0)^r_m*(N/N0)^s_m),-1.287138193699266,0.2163375951130409,3.6224050862610313,0.8594018373859672,0.3747886216554557,power_order,200,0.1891508541108619,0.2416906756659673,3.137520010730697,4.286791319191493,0.715654088488872,0.9887757019088068,0.274120168500834,0.4902045312565687
OLMo-Hybrid-7B,hill_power_model_specific,p=1/(1+A_m*(L/L0)^r_m*(N/N0)^s_m),-0.8137979351236694,0.3070817697793415,2.2564616281799013,0.4702744576169756,1.1247919617922053,power_order,200,0.2576871071973342,0.3517448988907527,1.842969464508091,2.8807415306928603,0.1819383563609457,0.8369129073440394,0.8900690932050251,1.3920682553506616
Llama3.1-8B,hill_power_model_specific,p=1/(1+A_m*(L/L0)^r_m*(N/N0)^s_m),-1.6034686046514672,0.1674973876684159,4.97024236568774,0.6297485600627378,0.3927951503828386,power_order,200,0.1444265275031425,0.1955029604299201,4.1150471605376815,5.923955705398587,0.373454287130662,0.9297950312551322,0.2413009098329315,0.5346809879006248
Llama3.2-3B,hill_power_model_specific,p=1/(1+A_m*(L/L0)^r_m*(N/N0)^s_m),-2.7524393853070213,0.0599490306029295,15.680836869964866,0.3033851115703894,0.8301008119266153,power_order,200,0.0439655846398312,0.0744230878004858,12.436692476328703,21.748326867420964,-0.0304961699928776,0.639240232734322,0.4693700026360519,1.1399746055105824
