model_label,requests,observed_accuracy,feature,estimate,standard_error,ci95_low,ci95_high,odds_ratio_per_doubling,converged
Qwen3-8B,900,0.68,log_length,-0.4665480000637016,0.1033259528155552,-0.6690668675821899,-0.2640291325452133,0.6271635042199964,True
Qwen3-8B,900,0.68,log_needles,-0.7510964765840726,0.0795223441151562,-0.9069602710497788,-0.5952326821183664,0.4718488977269988,True
Qwen3-1.7B,900,0.3688888888888889,log_length,-0.1302970272323253,0.0966226347576151,-0.319677391357251,0.0590833368926003,0.8778346513962249,True
Qwen3-1.7B,900,0.3688888888888889,log_needles,-1.271336857200146,0.0932473088944378,-1.4541015826332442,-1.0885721317670478,0.2804564408403224,True
Qwen3-32B,900,0.7622222222222222,log_length,-0.3546800882302754,0.1048035026780038,-0.5600949534791629,-0.1492652229813879,0.701397792729786,True
Qwen3-32B,900,0.7622222222222222,log_needles,-0.8328461895089901,0.0831347220320343,-0.9957902446917776,-0.6699021343262028,0.4348099719158537,True
Gemma4-E4B,900,0.6988888888888889,log_length,-0.3911444909510463,0.1018307081558312,-0.5907326789364755,-0.191556302965617,0.6762824322875431,True
Gemma4-E4B,900,0.6988888888888889,log_needles,-0.906523117780224,0.0825811220641321,-1.0683821170259231,-0.744664118534525,0.4039261891727111,True
Gemma4-12B,900,0.5022222222222222,log_length,-1.5704308900344943,0.1704141911696189,-1.904442704726948,-1.2364190753420414,0.207955557071926,True
Gemma4-12B,900,0.5022222222222222,log_needles,-0.6594778421627956,0.0975850624901972,-0.8507445646435823,-0.4682111196820089,0.5171212829383888,True
OLMo-Hybrid-7B,600,0.4516666666666666,log_length,-0.3113226321523003,0.0977273260247832,-0.5028681911608756,-0.119777073143725,0.7324775169450849,True
OLMo-Hybrid-7B,600,0.4516666666666666,log_needles,-0.7448785110907187,0.077445244554849,-0.8966711904182227,-0.5930858317632146,0.4747919783957859,True
Llama3.1-8B,600,0.3033333333333333,log_length,-0.430427938540426,0.0990308728098764,-0.6245284492477838,-0.2363274278330682,0.6502307763666099,True
Llama3.1-8B,600,0.3033333333333333,log_needles,-0.2685135754626651,0.0683344009838234,-0.402449001390959,-0.1345781495343711,0.7645150440939659,True
Llama3.2-3B,600,0.1366666666666666,log_length,-0.2444724226530434,0.1424770275204189,-0.5237273965930647,0.0347825512869777,0.7831175843729151,True
Llama3.2-3B,600,0.1366666666666666,log_needles,-0.664152873724795,0.1100056872256634,-0.8797640206870954,-0.4485417267624947,0.5147093669039485,True
