candidate,candidate_label,complexity,mean_grouped_request_asinh_mae,condition_only_mean_grouped_asinh_mae,gain_vs_condition_only_pct,schemes_better_than_condition_only,seed_request_asinh_mae,seed_cell_asinh_mae,seed_cell_r2,length_holdout_mae,needle_holdout_mae,blocked_cell_mae
condition_only,Condition only,0,1.1037858329638226,1.1037858329638226,0.0,0,1.0984043900625966,0.7492739920594539,0.6411181582256016,1.1159596766707978,1.1205937168723274,1.0801855482495688
model_specific_raw,Model-specific raw L + N,6,1.120896688184179,1.1037858329638226,-1.5501970318292093,2,1.0983417878381145,0.7273403137423141,0.6857910430534082,1.1612308995431866,1.1464196110431735,1.0775944543122418
shared_log_density,Shared log density,1,1.122610175239334,1.1037858329638226,-1.7054343073932552,0,1.1090466817047933,0.7579649082678364,0.6421601324254629,1.1395277425955928,1.1507243778231857,1.0911418988337638
shared_log_needles_only,Shared log N,1,1.1252327485638363,1.1037858329638226,-1.9430323310479198,0,1.1105106501330446,0.7597230322833736,0.6416148197606554,1.1359344036335846,1.160855988459924,1.0936299520287918
shared_log_length_only,Shared log L,1,1.1474913595998497,1.1037858329638226,-3.959602065073759,0,1.13786234262905,0.7843555134480099,0.6490780145394045,1.174689519097036,1.1593064297749427,1.11810714689837
model_specific_log_interaction,Model-specific log + interaction,9,1.1487841387499318,1.1037858329638226,-4.0767243465412415,0,1.1297680049234613,0.7643559973663265,0.6791779809538383,1.1578741583755023,1.1833245541038155,1.1241698375969482
model_specific_log,Model-specific log L + log N,6,1.1501582524201004,1.1037858329638226,-4.201215314728331,0,1.1315824151480194,0.767616140091514,0.6746336535040096,1.1695188670120316,1.1858859456217494,1.113645781898601
shared_raw_separable,Shared raw L + N,2,1.155449821283039,1.1037858329638226,-4.680617088596915,0,1.1402251674935,0.7834265278077633,0.6522037236125737,1.1778166357022626,1.1836300767611792,1.1201274051752146
shared_log_interaction,Shared log L + log N + interaction,3,1.1581333527253683,1.1037858329638226,-4.9237377522426495,0,1.1418824331841033,0.7881265293609663,0.6533739974225146,1.1799473548261799,1.1817082905524654,1.1289953323387247
shared_log_separable,Shared log L + log N,2,1.158488212358581,1.1037858329638226,-4.955887071668116,0,1.1419534440091668,0.7876282014223253,0.6495778269981414,1.1819382624861658,1.1865441870435054,1.1235169558954856
