model_label,selected_error_coordinate,parameter_type,amplitude_B,length_parameter,needle_parameter,bootstrap_replicates,amplitude_B_ci95_low,amplitude_B_ci95_high,length_parameter_ci95_low,length_parameter_ci95_high,needle_parameter_ci95_low,needle_parameter_ci95_high
Qwen3-8B,log,power_order,2.924776392841937,0.3881421038061097,0.3555272231161842,200,2.68589441240741,3.196736031223537,0.2875553306109102,0.4953160867554572,0.269203462297158,0.4369178295009906
Qwen3-1.7B,log,power_order,4.934860440522623,0.1365057851540578,0.7045731139026027,200,4.527907645025353,5.432633179133651,0.0064622854999933,0.2626411570930806,0.6242027381056854,0.7928773854685698
Qwen3-32B,log,power_order,2.26718802083484,0.0719088427016734,0.3953025920881028,200,2.0268588357672765,2.533827610154492,-0.0562793166721234,0.1937503540189527,0.3148690778098142,0.483360626814286
Gemma4-E4B,log,power_order,1.5879404804841153,0.1400836277889482,0.2654242121038583,200,1.4565837039513774,1.7408774013222574,0.0720637590555823,0.2158837598698867,0.2142902971734815,0.3191750857754201
Gemma4-12B,log,power_order,0.9512411327038764,-0.1212618085453675,0.0056427414116948,200,0.8515224011378058,1.0873983428896965,-0.1748002251381495,-0.0724522922509547,-0.0319210109777991,0.0463135854561443
OLMo-Hybrid-7B,log,power_order,3.0626438116547057,0.3374524612098657,0.5258186375796431,200,2.710247451789776,3.5153837732513056,0.0918043566688326,0.602425762160918,0.4218077304975426,0.6496407502799093
Llama3.1-8B,log,power_order,2.5598802406192718,0.2456383992904741,0.1123603409835142,200,2.295016841209485,2.8913980700374533,0.0741747954896583,0.4248272232126667,0.0171481069149429,0.2041740917993468
Llama3.2-3B,log,power_order,7.619891078438797,-0.1451030623317778,0.2082114771142316,200,6.399747042504515,8.841027370110995,-0.3651089573446231,0.0818260597060305,0.0400448597843294,0.3711766836943473
