model_label,paired_requests_per_mode,direct_accuracy,native_thinking_accuracy,difference,difference_percentage_points,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,bootstrap_replicates
Qwen3-8B,300,0.4266666666666667,0.9766666666666667,0.55,55.00000000000001,0.48,0.6133333333333333,500
Qwen3-1.7B,300,0.25,0.6166666666666667,0.3666666666666667,36.66666666666667,0.29825,0.43,500
Qwen3-32B,300,0.56,0.98,0.41999999999999993,41.99999999999999,0.35333333333333333,0.49666666666666665,500
Gemma4-E4B,300,0.38666666666666666,0.8566666666666667,0.47000000000000003,47.0,0.40491666666666665,0.53175,500
Gemma4-12B,300,0.023333333333333334,0.5833333333333334,0.56,56.00000000000001,0.5,0.6217499999999999,500
