candidate,candidate_label,scheme,request_asinh_mae,request_asinh_rmse,cell_asinh_mae,cell_asinh_rmse,cell_r2,cells
condition_only,Condition only,seed,1.0984043900625966,1.737052212002015,0.7492739920594539,1.2025080518921687,0.6411181582256016,540
condition_only,Condition only,length,1.1159596766707978,1.7636087797938667,0.8099168524934777,1.3049050940989115,0.5773962446265292,540
condition_only,Condition only,needle_level,1.1205937168723274,1.7509473086185836,0.8054609640772384,1.2883551523939087,0.58804792362226,540
condition_only,Condition only,blocked_cell,1.0801855482495688,1.6958816443528124,0.7543692897438693,1.212220284601292,0.6352976238674576,540
shared_log_length_only,Shared log L,seed,1.13786234262905,1.7278935721060262,0.7843555134480099,1.1890977010557522,0.6490780145394045,540
shared_log_length_only,Shared log L,length,1.174689519097036,1.7449215256806332,0.865012356870829,1.2799479030467718,0.5934068241477485,540
shared_log_length_only,Shared log L,needle_level,1.1593064297749427,1.7428814980584233,0.841215820388419,1.2776035239668522,0.5948949090533833,540
shared_log_length_only,Shared log L,blocked_cell,1.11810714689837,1.6863765139868836,0.7900388784997167,1.1991528442121184,0.6431180504556291,540
shared_log_needles_only,Shared log N,seed,1.1105106501330446,1.738935742206362,0.7597230322833736,1.2016756800631665,0.6416148197606554,540
shared_log_needles_only,Shared log N,length,1.1359344036335846,1.7696017107380335,0.8302853006991916,1.3130643023355568,0.5720948750486154,540
shared_log_needles_only,Shared log N,needle_level,1.160855988459924,1.7808826576703516,0.8495671171228145,1.3302476688726426,0.5608220653419991,540
shared_log_needles_only,Shared log N,blocked_cell,1.0936299520287918,1.6985592824147158,0.7671903587454013,1.2165087041968528,0.6327126757711214,540
shared_log_density,Shared log density,seed,1.1090466817047933,1.7376791770348952,0.7579649082678364,1.2007611076109914,0.6421601324254629,540
shared_log_density,Shared log density,length,1.1395277425955928,1.7712261829830527,0.8346092702159041,1.3147913891092247,0.5709684788672222,540
shared_log_density,Shared log density,needle_level,1.1507243778231857,1.773557324413211,0.8377894341985826,1.3189552807532972,0.5682467245663195,540
shared_log_density,Shared log density,blocked_cell,1.0911418988337638,1.6965578096399037,0.764799580283838,1.212867720162931,0.6349079515516042,540
shared_log_separable,Shared log L + log N,seed,1.1419534440091668,1.7297719855196914,0.7876282014223253,1.1882505930897844,0.6495778269981414,540
shared_log_separable,Shared log L + log N,length,1.1819382624861658,1.7508185746630058,0.8720331025275584,1.2880231851917123,0.5882601895636466,540
shared_log_separable,Shared log L + log N,needle_level,1.1865441870435054,1.7729007110731427,0.872306181324795,1.319821730841761,0.5676792822217418,540
shared_log_separable,Shared log L + log N,blocked_cell,1.1235169558954856,1.6889206419946508,0.7963791992418529,1.2033016929997251,0.6406442863509425,540
shared_log_interaction,Shared log L + log N + interaction,seed,1.1418824331841033,1.7252726998052803,0.7881265293609663,1.1817968278032076,0.6533739974225146,540
shared_log_interaction,Shared log L + log N + interaction,length,1.1799473548261799,1.7465541261732804,0.8739967943386175,1.2823350315036437,0.5918888010732885,540
shared_log_interaction,Shared log L + log N + interaction,needle_level,1.1817082905524654,1.767160686956446,0.8678052534131657,1.3129891835081542,0.5721438335218854,540
shared_log_interaction,Shared log L + log N + interaction,blocked_cell,1.1289953323387247,1.6930331616141374,0.8027996382726645,1.210257921270383,0.636477441269012,540
shared_raw_separable,Shared raw L + N,seed,1.1402251674935,1.7276066619360304,0.7834265278077633,1.183790129653469,0.6522037236125737,540
shared_raw_separable,Shared raw L + N,length,1.1778166357022626,1.745727139419153,0.8629264560700762,1.2795615130016582,0.5936522713913657,540
shared_raw_separable,Shared raw L + N,needle_level,1.1836300767611792,1.7714964643467561,0.8696323567975661,1.317614193652363,0.5691242742294936,540
shared_raw_separable,Shared raw L + N,blocked_cell,1.1201274051752146,1.6864558487153158,0.7917997611427826,1.198229275465958,0.6436675685390784,540
model_specific_log,Model-specific log L + log N,seed,1.1315824151480194,1.7039584060618227,0.767616140091514,1.144981753755011,0.6746336535040096,540
model_specific_log,Model-specific log L + log N,length,1.1695188670120316,1.740861405573459,0.8599803623273039,1.2756107377907764,0.5961576767468735,540
model_specific_log,Model-specific log L + log N,needle_level,1.1858859456217494,1.7572797734756,0.8641440753422902,1.2980927325843374,0.5817972002682548,540
model_specific_log,Model-specific log L + log N,blocked_cell,1.113645781898601,1.662536777049343,0.778764459054042,1.1653592890876459,0.6629493387619504,540
model_specific_log_interaction,Model-specific log + interaction,seed,1.1297680049234613,1.6989430807467392,0.7643559973663265,1.1369577709730505,0.6791779809538383,540
model_specific_log_interaction,Model-specific log + interaction,length,1.1578741583755023,1.7398771421684132,0.8513972472305904,1.2766705409681833,0.5954863572644585,540
model_specific_log_interaction,Model-specific log + interaction,needle_level,1.1833245541038155,1.75082544966226,0.8599065753769601,1.290828185543147,0.5864648990680491,540
model_specific_log_interaction,Model-specific log + interaction,blocked_cell,1.1241698375969482,1.6715950861612618,0.7876764923934276,1.1800220275312814,0.6544143284969136,540
model_specific_raw,Model-specific raw L + N,seed,1.0983417878381145,1.6924065768702363,0.7273403137423141,1.1251787746549509,0.6857910430534082,540
model_specific_raw,Model-specific raw L + N,length,1.1612308995431866,1.7362877807739054,0.8414196963255174,1.2674747945685139,0.6012927231827734,540
model_specific_raw,Model-specific raw L + N,needle_level,1.1464196110431735,1.7337273827393251,0.8183818000054146,1.2637484090643132,0.6036336817313182,540
model_specific_raw,Model-specific raw L + N,blocked_cell,1.0775944543122418,1.6491462308684535,0.7354339169843718,1.1434356156016297,0.6755117839430694,540
