candidate,formula,link,coordinate,eligible_separable_model_specific,n_parameters,all_converged,selection_score,full_log_likelihood,aic,bic,seed_log_loss,seed_brier,seed_ece,seed_calibration_intercept,seed_calibration_slope,needle_level_log_loss,needle_level_brier,needle_level_ece,needle_level_calibration_intercept,needle_level_calibration_slope,length_level_log_loss,length_level_brier,length_level_ece,length_level_calibration_intercept,length_level_calibration_slope,cell_block_log_loss,cell_block_brier,cell_block_ece,cell_block_calibration_intercept,cell_block_calibration_slope
hill_power_model_specific_interaction,p=1/(1+A_m*(L/L0)^r_m*(N/N0)^s_m*exp(t_m*log(L/L0)*log(N/N0))),logistic,log,False,35,True,0.4950972756971705,-3023.071084227745,6116.14216845549,6352.332840388776,0.4897542113450036,0.1613712672540703,0.0095519177112183,0.0017920996332848,0.9552893850046548,0.5017180953941773,0.1655062079858887,0.0248429710592804,0.0469829184479094,0.9036050792135716,0.4934978920091336,0.162099165406001,0.0244291313705106,0.1399224242519853,0.9040340467414086,0.4954189040403677,0.1631091641569025,0.0235129566726551,0.0508891012715898,0.9245776323218448
hill_power_model_specific,p=1/(1+A_m*(L/L0)^r_m*(N/N0)^s_m),logistic,log,True,27,True,0.495436961978689,-3033.5421637537315,6121.084327507463,6303.288560141713,0.4899819775839401,0.1615053165162392,0.0169761076024873,0.0011209940199488,0.9618113488382204,0.5019660771089183,0.1659095195793052,0.0271548959989858,0.0492160490991741,0.9080858319597228,0.494203155579051,0.1621541236731848,0.0253666896278367,0.1456515805601233,0.9205113005351272,0.4955966376428466,0.1634822829182807,0.0235472775169491,0.0531871258660695,0.9291682707872414
cloglog_power_model_specific,p=1-exp(-B_m*(L/L0)^(-r_m)*(N/N0)^(-s_m)),cloglog,log,True,27,True,0.4963557778020302,-3036.3465933767457,6126.693186753491,6308.897419387741,0.4915947052824029,0.1613446927382589,0.0176680150385434,-0.0008879069017259,0.9708956300905952,0.5029252782796613,0.16474281514269,0.0126912901421039,0.0365512001172695,0.9205445259981176,0.4945287852237918,0.1621232955899083,0.0348338330185026,0.1364310212825089,0.952714013451496,0.4963743424222648,0.1622088833170329,0.0118945617707016,0.0396012272982704,0.9458658172368424
loglog_power_model_specific,p=exp(-A_m*(L/L0)^r_m*(N/N0)^s_m),loglog,log,True,27,True,0.5023477998021795,-3068.451708626256,6190.903417252512,6373.1076498867615,0.4945270361464408,0.1633878530265907,0.0241049403193022,-0.0122102887594808,0.9960191081206448,0.5093095449656129,0.1687094548275984,0.0361890592379988,0.0426296548409788,0.9143478167672672,0.5021735449856627,0.1643066077923001,0.028433451567815,0.1527359973860352,0.905352882074458,0.5033810731110016,0.1663574554060182,0.0359689676213413,0.0467227578245814,0.9326166807713684
hill_power_shared_orders,p=1/(1+A_m*(L/L0)^r*(N/N0)^s),logistic,log,False,13,True,0.5041175918325461,-3112.054061826207,6250.108123652414,6337.836087513349,0.4998002257704999,0.1652494581714848,0.0114490097308747,0.0009767750043602,0.972921775617191,0.5094944453802331,0.1689635887771946,0.0199939038171101,0.0417707462650878,0.9289242975063536,0.5040535767741351,0.1664165753418545,0.0253868854553266,0.1458057545224409,0.9613675524984852,0.503122119405316,0.1664078233381434,0.0171687768168407,0.0449831195282729,0.9525719562611776
cloglog_exponential_model_specific,p=1-exp(-B_m*exp(-q_Lm*(L/L0-1)-q_Nm*(N/N0-1))),cloglog,raw,True,27,True,0.5282155942596545,-3158.7257875580426,6371.451575116085,6553.655807750335,0.510105025345227,0.169368326099776,0.0197005393845843,-0.0051569591361372,0.9510219846295832,0.5377912671074935,0.180066824701029,0.0401779375992415,0.0723501198643454,0.8103413178052227,0.5366372216470751,0.1762218223599931,0.0652684061706734,0.2312702109559655,0.8244852292191513,0.5283288629388225,0.1763305777218719,0.0303546201707275,0.0782615017405111,0.8423615785966898
hill_exponential_model_specific,p=1/(1+A_m*exp(q_Lm*(L/L0-1)+q_Nm*(N/N0-1))),logistic,raw,True,27,True,0.5349462870729376,-3182.0950836064108,6418.1901672128215,6600.394399847071,0.5130157207651717,0.1702610279433725,0.018817439416357,0.0029956472519161,0.9608602252871704,0.5468653088906947,0.1822380079415088,0.0399919712579377,0.0917305374453826,0.7899989128398219,0.5429082314478203,0.1771321072954819,0.0586292456916823,0.2610669623643141,0.8002344921995364,0.5369958871880636,0.1783851868494496,0.0329429912234601,0.0962635448742387,0.8197480527196895
loglog_exponential_model_specific,p=exp(-A_m*exp(q_Lm*(L/L0-1)+q_Nm*(N/N0-1))),loglog,raw,True,27,True,0.5505465206614943,-3230.26600666928,6514.53201333856,6696.73624597281,0.5199576328524425,0.173337781868214,0.0241906771171303,-0.0111856746410578,0.9969364193389696,0.5657594825024055,0.1863466395687179,0.0410173385525849,0.0917441342171838,0.7468890746666244,0.5603255855277064,0.1816365088260866,0.0572567200026262,0.2754133483626428,0.7371694408445233,0.5561433817634233,0.1823706686596085,0.0396790521190018,0.0952512924581115,0.7743415235316226
