sweep,site_kind,layer,status,reason,confirmation_states,raw_silhouette,raw_marker_kind_nmi,raw_occurrence_nmi,raw_seed_nmi,raw_mean_trajectory_purity,centered_silhouette,centered_marker_kind_nmi,raw_vs_centered_band_nmi
site_at_selected_layer,pre_city,18,ok,,544,0.48008492588996887,0.2250648600939345,0.002165252338173722,0.14831201585887557,0.9700158730158731,0.6189749240875244,0.0037987629072889404,0.00012038635978662876
site_at_selected_layer,city_end,18,ok,,544,0.3401978313922882,0.023372014892749315,0.21373296267968905,0.014633043857223752,0.8039047619047619,0.4568961560726166,0.0029175325292138876,0.26256017150435496
site_at_selected_layer,city_unit_end,18,ok,,544,0.5029821991920471,0.4736454132449913,0.006279027198871726,0.14059346576042783,0.9951388888888889,0.5077493190765381,0.021933554795248528,0.0009276508972212293
site_at_selected_layer,item_end,18,ok,,544,0.44866079092025757,0.5512039766120499,0.006447891411888921,0.11496813154517198,0.9885714285714287,0.4009567201137543,0.02089536876804936,0.027595444697213718
site_at_selected_layer,post_boundary,18,ok,,544,0.3427983224391937,0.14706715968643155,0.10338379001117831,0.02418105123151984,0.8394126984126984,0.37101179361343384,0.011970876148327477,0.18055069231152068
selected_site_across_layers,item_end,0,ok,,544,0.7387431263923645,0.22078004095280243,0.00918221270394674,0.05237227401908768,0.9833333333333333,0.9390698671340942,0.09652090957642957,0.47225679507129
selected_site_across_layers,item_end,1,ok,,544,0.6220300197601318,0.332758014998705,0.003381620700369922,0.07065582376943022,0.9922222222222221,0.9200880527496338,0.07055985645196693,0.25973706588036205
selected_site_across_layers,item_end,2,ok,,544,0.6082667112350464,0.5456119273718717,0.00965528152280132,0.13486594595233636,0.9951388888888889,0.6352421045303345,0.06139311967064745,0.02298781616795953
selected_site_across_layers,item_end,3,ok,,544,0.6301131248474121,0.5456119273718717,0.00965528152280132,0.13486594595233636,0.9951388888888889,,0.0,0.0
selected_site_across_layers,item_end,4,ok,,544,0.6552733182907104,0.5456119273718717,0.00965528152280132,0.13486594595233636,0.9951388888888889,,0.0,0.0
selected_site_across_layers,item_end,5,ok,,544,0.665898323059082,0.5456119273718717,0.00965528152280132,0.13486594595233636,0.9951388888888889,0.630843997001648,0.07035329245253916,0.09632782323881368
selected_site_across_layers,item_end,6,ok,,544,0.6498457789421082,0.5456119273718717,0.00965528152280132,0.13486594595233636,0.9951388888888889,0.527999758720398,0.07719592864541415,0.10499523839220876
