model,protocol,layer_set,alpha,paired_rows,seeds,geometric_valid_rate,random_valid_rate,geometric_aligned_shift,random_aligned_shift,aligned_effect,aligned_effect_low,aligned_effect_high,moved_effect,moved_effect_low,moved_effect_high,target_hit_effect,p_raw,p_holm
Qwen3-8B,single_layer,26,1.0,240,10,1.0,1.0,0.9791666666666669,-0.0208333333333333,1.0,0.8666666666666666,1.1333333333333333,0.3666666666666666,0.3333333333333333,0.4,0.075,0.001953125,0.00390625
Qwen3-8B,multi_layer,9+18+26,1.0,240,10,1.0,1.0,0.9791666666666669,-0.0125,0.9916666666666668,0.8375,1.1416666666666668,0.3708333333333333,0.3333333333333333,0.4083333333333333,0.075,0.001953125,0.00390625
Gemma4-E4B,single_layer,31,1.0,240,10,1.0,1.0,1.3666666666666667,-0.0041666666666666,1.3708333333333333,1.275,1.4625,0.4875,0.4416666666666666,0.5333333333333334,0.0583333333333333,0.001953125,0.00390625
Gemma4-E4B,multi_layer,10+20+31,1.0,240,10,1.0,1.0,1.3666666666666667,-0.0208333333333333,1.3874999999999997,1.3,1.4666666666666666,0.4999999999999999,0.4708333333333333,0.5333333333333333,0.0541666666666666,0.001953125,0.00390625
