model,pooling,layer,full_space_discovery_cv_r2,pca3_discovery_cv_r2,pca3_ridge_alpha,pca_evr_pc1,pca_evr_pc1_2,pca_evr_pc1_3,pca_evr_pc1_6,count_signal_capture_pc1_3,discovery_loo_noise_to_signal,discovery_compactness,centroid_step_cv,centroid_path_to_chord,centroid_successive_cosine,manifold_fidelity_m3,within_decodability_gate,probe_optimal,manifold_display
Qwen3-8B,span_end,0,0.959932827949524,0.7995031872521517,1.0,0.22575022280216217,0.4056398570537567,0.4945705831050873,0.608572693541646,0.6744027090363994,1.7148518056555646,0.36834423076677897,0.1757869869470596,3.141371479348522,-0.2862787810953648,0.12285743934934289,False,False,False
Qwen3-8B,span_end,1,0.989156699180603,0.512438845081091,0.1,0.5325985550880432,0.6480510830879211,0.7063912823796272,0.7951587270945311,0.8650801386771801,0.9080489804593985,0.5240955605653432,0.8419210314750671,2.041216748606878,-0.339782978972203,0.3202669715397919,True,True,False
Qwen3-8B,span_end,2,0.9808030962944032,0.5322319296424851,10.0,0.4953441917896271,0.612071767449379,0.6832997873425484,0.7814005073159933,0.9030064779827862,1.0879523105534825,0.47893814190368944,0.986525058746338,1.6955153746980614,-0.1619201804399293,0.2955163924270944,True,False,False
Qwen3-8B,span_end,3,0.9863658666610716,0.6076183564024467,10.0,0.6031126976013184,0.6981790289282799,0.7528652213513851,0.829007787629962,0.9334887045505538,0.9135086369960486,0.5226002018835231,1.0976535081863403,1.417448353493556,0.0441134642472454,0.36727881264427326,True,False,False
Qwen3-8B,span_end,4,0.9775460243225098,0.6671215206132599,1.0,0.5763523578643799,0.6752939745783806,0.7380417361855507,0.8187821339815855,0.930173103255515,0.9896172918911735,0.5026092224246196,1.027332425117493,1.351093656844556,0.1509285939645654,0.3450445343824202,True,False,False
Qwen3-8B,span_end,5,0.9744422316551208,0.6300580684966302,1.0,0.6156288385391235,0.6907106712460518,0.7411520257592201,0.8168965280056,0.9301588652793282,0.8949672445989232,0.5277136071086304,1.0499392747879028,1.3507510894531412,0.1738606689330362,0.3638000230582262,True,False,False
Qwen3-8B,span_end,6,0.9714030504226684,0.6258985448928716,10.0,0.6340320706367493,0.7095134034752846,0.756136879324913,0.8255402566865087,0.93855393322688,0.8520042825269355,0.539955554873538,1.011752724647522,1.3515295319529814,0.2036103235588339,0.3831930891541955,True,False,False
Qwen3-8B,span_end,7,0.9816281795501708,0.6518258771780765,10.0,0.5969149470329285,0.6668301075696945,0.7127765081822872,0.7850880697369576,0.9349810315471142,0.8647001225705581,0.5362792590057124,0.9501526951789856,1.418400276345105,0.1633412178826109,0.35739393525867474,True,False,False
Qwen3-8B,span_end,8,0.9824679374694824,0.8337842034560745,1.0,0.6173220872879028,0.6823327466845512,0.724742703139782,0.7975308671593666,0.9623439482029599,0.8024701318509666,0.554794213967415,0.9460852742195128,1.4482389629467365,0.1986529142275583,0.3869421978463556,True,False,True
Qwen3-8B,span_end,9,0.9686214447021484,0.7037554627946934,1.0,0.5410409569740295,0.6337759420275688,0.6787521354854107,0.7629297412931919,0.9391572587315257,0.9447813442744617,0.5141966231546042,0.8560730814933777,1.527656246752437,0.215611363410892,0.32777720580123226,False,False,False
