model,design_variant,pooling,head_rank,layer,head,metric,confirmation_examples,correct_examples,wrong_examples,counts_with_both_outcomes,wrong_minus_correct_count_adjusted,bootstrap_valid_replicates,bootstrap_ci_low,bootstrap_ci_high,descriptive_only_small_wrong_group
Qwen3-8B,v4.1,span_mean,2,28,19,pool_primary,100,35,65,4,-0.0015319789583749,999,-0.0029134673101388,-0.0006723041335609,False
Qwen3-8B,v4.1,span_mean,2,28,19,pool_coverage,100,35,65,4,-0.0059925455757418,999,-0.0198066366480667,0.0160851256188149,False
Qwen3-8B,v4.1,span_mean,2,28,19,pool_enrichment,100,35,65,4,-5.627393722987184,1000,-11.868626168028587,-2.585741581848413,False
Qwen3-8B,v4.1,span_mean,2,28,19,pool_min_to_mean,100,35,65,4,0.0191879988949191,998,-0.0007371285800073,0.0627247093524226,False
Qwen3-8B,v4.1,span_mean,3,23,29,pool_primary,100,35,65,4,0.0001920470240481,1000,-0.0008218229583372,0.0027934106834429,False
Qwen3-8B,v4.1,span_mean,3,23,29,pool_coverage,100,35,65,4,0.0117632950755819,999,-0.0029859496393253,0.0339121199233721,False
Qwen3-8B,v4.1,span_mean,3,23,29,pool_enrichment,100,35,65,4,3.123038708663702,999,-0.988754301517996,10.545069939709771,False
Qwen3-8B,v4.1,span_mean,3,23,29,pool_min_to_mean,100,35,65,4,-0.0022017792312344,1000,-0.0314664525377757,0.021026579648539,False
Qwen3-8B,v4.1,span_mean,4,23,13,pool_primary,100,35,65,4,0.0004757693386192,1000,-0.0010532873080437,0.0032917817028097,False
Qwen3-8B,v4.1,span_mean,4,23,13,pool_coverage,100,35,65,4,-0.0010253032426563,1000,-0.0202115929900417,0.0223105514045555,False
Qwen3-8B,v4.1,span_mean,4,23,13,pool_enrichment,100,35,65,4,3.021601920769619,997,-2.5683111388031445,15.086981069235922,False
Qwen3-8B,v4.1,span_mean,4,23,13,pool_min_to_mean,100,35,65,4,0.0061283271451452,999,0.0011496946586163,0.0154893544544994,False
Qwen3-8B,v4.1,span_mean,5,23,28,pool_primary,100,35,65,4,0.001480713403494,998,-0.000359215400868,0.0034392549364172,False
Qwen3-8B,v4.1,span_mean,5,23,28,pool_coverage,100,35,65,4,-0.0025928603653536,999,-0.0466926259979056,0.024678482006833,False
Qwen3-8B,v4.1,span_mean,5,23,28,pool_enrichment,100,35,65,4,12.406125152053452,998,3.1103041534268923,26.402466758864332,False
Qwen3-8B,v4.1,span_mean,5,23,28,pool_min_to_mean,100,35,65,4,-0.0026839315715302,1000,-0.0116619756179177,0.007278741221552,False
Qwen3-8B,v4.1,span_mean,6,23,12,pool_primary,100,35,65,4,0.0007417996519278,1000,-0.0006753867144585,0.0032291171022713,False
Qwen3-8B,v4.1,span_mean,6,23,12,pool_coverage,100,35,65,4,-0.0012593651503954,998,-0.0270032000566808,0.0097873490334505,False
Qwen3-8B,v4.1,span_mean,6,23,12,pool_enrichment,100,35,65,4,5.885861352684642,999,0.1084066988142348,19.567314371055097,False
Qwen3-8B,v4.1,span_mean,6,23,12,pool_min_to_mean,100,35,65,4,-0.0008506108514468,1000,-0.0103463297509874,0.0103055359639086,False
Qwen3-8B,v4.1,span_mean,7,24,16,pool_primary,100,35,65,4,-0.0009062764568546,999,-0.0023029154319467,0.0015323375725741,False
Qwen3-8B,v4.1,span_mean,7,24,16,pool_coverage,100,35,65,4,-0.0298042389876112,1000,-0.0848947194428761,-0.0018162635748585,False
Qwen3-8B,v4.1,span_mean,7,24,16,pool_enrichment,100,35,65,4,-3.9672376858827936,1000,-11.622150679106545,8.46997013105161,False
Qwen3-8B,v4.1,span_mean,7,24,16,pool_min_to_mean,100,35,65,4,-0.0848232115708854,999,-0.1862370081220534,-0.0315225514420436,False
Qwen3-8B,v4.1,span_mean,8,26,26,pool_primary,100,35,65,4,0.0023569838458386,1000,0.0003768899181048,0.0078223746067301,False
Qwen3-8B,v4.1,span_mean,8,26,26,pool_coverage,100,35,65,4,0.0120091384695549,1000,-0.0042239086710979,0.0423794604564347,False
Qwen3-8B,v4.1,span_mean,8,26,26,pool_enrichment,100,35,65,4,9.534923263509262,997,0.983663586106,26.33211748725206,False
Qwen3-8B,v4.1,span_mean,8,26,26,pool_min_to_mean,100,35,65,4,0.0183443389086936,999,-0.058075728789246,0.1080587133362467,False
Qwen3-8B,v4.2,span_end,1,29,3,pool_primary,100,45,55,2,-0.0035470888096509,999,-0.0122034966107111,0.0017604265806895,False
Qwen3-8B,v4.2,span_end,1,29,3,pool_coverage,100,45,55,2,0.0079554331584965,999,-0.0041376909484049,0.0341826188717752,False
Qwen3-8B,v4.2,span_end,1,29,3,pool_enrichment,100,45,55,2,-35.40257856982929,997,-123.46453875203947,22.54703584491192,False
Qwen3-8B,v4.2,span_end,1,29,3,pool_min_to_mean,100,45,55,2,0.0019152791607273,999,-0.0003430224480183,0.0084165141494287,False
Qwen3-8B,v4.2,span_end,2,24,30,pool_primary,100,45,55,2,-0.0012935636759285,997,-0.0027068564679619,-0.0001027634683394,False
Qwen3-8B,v4.2,span_end,2,24,30,pool_coverage,100,45,55,2,-0.0104106973602734,999,-0.1005913052643536,0.0704663749652327,False
Qwen3-8B,v4.2,span_end,2,24,30,pool_enrichment,100,45,55,2,-7.676176740614367,997,-16.60416913554087,-0.8543994948467426,False
Qwen3-8B,v4.2,span_end,2,24,30,pool_min_to_mean,100,45,55,2,0.008637892768567,998,-0.0261022316172074,0.050837285678751,False
Qwen3-8B,v4.2,span_end,3,8,16,pool_primary,100,45,55,2,-0.0006692573711891,998,-0.0027524243357403,0.0002282813234976,False
Qwen3-8B,v4.2,span_end,3,8,16,pool_coverage,100,45,55,2,-0.0026774292489587,1000,-0.0903224438720376,0.0847363762195923,False
Qwen3-8B,v4.2,span_end,3,8,16,pool_enrichment,100,45,55,2,-1.7137220749744528,999,-5.995451132786373,0.4734951558596749,False
Qwen3-8B,v4.2,span_end,3,8,16,pool_min_to_mean,100,45,55,2,0.0415670570327177,998,-0.0649013431685758,0.1412853048419959,False
Qwen3-8B,v4.2,span_end,4,24,29,pool_primary,100,45,55,2,-0.0024382048537357,999,-0.0104925691683473,0.0024378273278794,False
Qwen3-8B,v4.2,span_end,4,24,29,pool_coverage,100,45,55,2,0.0305831322825545,1000,-0.1429639875394886,0.2506696441498724,False
Qwen3-8B,v4.2,span_end,4,24,29,pool_enrichment,100,45,55,2,-10.533978529469888,1000,-32.31573326690197,3.751665044464773,False
Qwen3-8B,v4.2,span_end,4,24,29,pool_min_to_mean,100,45,55,2,0.0840655844704509,997,-0.0163298228866705,0.3257188875432911,False
Qwen3-8B,v4.2,span_end,5,8,18,pool_primary,100,45,55,2,-0.0005859365500042,999,-0.0014551079176683,-3.796146272296098e-05,False
Qwen3-8B,v4.2,span_end,5,8,18,pool_coverage,100,45,55,2,-0.0781349664780389,1000,-0.2439436384244689,0.0275982138078229,False
Qwen3-8B,v4.2,span_end,5,8,18,pool_enrichment,100,45,55,2,-0.7518706295511288,999,-2.882409922775288,1.0550131275640662,False
