endpoint,model_label,mode,analysis_group,selector,token_site,layer,retained_labels,retained_class_count,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy,evaluation_split_role,native_original_confirmation_logistic_balanced_accuracy,native_original_confirmation_ncc_balanced_accuracy,native_original_confirmation_class_balanced_snr,native_original_confirmation_class_balanced_snr_db,native_original_confirmation_signal_power,native_original_confirmation_noise_power,native_original_confirmation_rows,native_original_confirmation_seed_count,native_original_confirmation_support_min,native_original_confirmation_support_max,native_original_confirmation_pca_components,native_original_chance_balanced_accuracy
final_count,Gemma4-E4B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,40,1 2 3 4 5 6 7 8 9 10,10,0.5933333333333334,0.58,0.5866666666666667,150,5,16,16,0.58,0.56,0.8838677138194471,-0.5361272984814229,3.7891507148742676,4.287011116743088,50,5,5,5,16,0.1,shared_posthoc_seed_holdout,,,,,,,,,,,,
final_count,Gemma4-E4B,native_thinking,all_counts,independent_layer_search,answer_query_v3,38,1 2 3 4 5 6 7 8 9 10,10,0.7533333333333333,0.7933333333333333,0.7733333333333333,150,5,16,16,0.7000000000000001,0.74,1.0151138422597337,0.0651474992683321,6.421147346496582,6.32554407119751,50,5,5,5,16,0.1,shared_posthoc_seed_holdout,0.7,0.7,0.8812434345596778,-0.5490410556948069,6.007556438446045,6.817136108875275,100.0,10.0,10.0,10.0,16.0,0.1
