rank,layer,head,discovery_prior_span_mass
1,5,5,0.960980065606791
2,5,0,0.9315316894417265
3,5,3,0.9133631660202082
4,11,3,0.5969325250014663
5,11,2,0.47658793564187363
6,17,1,0.44332088679133447
7,17,3,0.42330730976013003
8,5,1,0.41452348379883913
9,11,0,0.29334923872651414
10,17,5,0.2783566826106107
