model_label,rank,layer,head,discovery_prior_span_mass,confirmation_preference_mean,ci95_low,ci95_high,p_value,seed_count,holm_p_within_model
Gemma4-E4B,1,5,5,0.960980065606791,0.9599652714058783,0.9545408912189054,0.965432458258002,0.001953125,10,0.01953125
Gemma4-E4B,2,5,0,0.9315316894417265,0.9451524061083137,0.9339578326456167,0.956583911134083,0.001953125,10,0.01953125
Gemma4-E4B,3,5,3,0.9133631660202082,0.922334910527334,0.9111158745298641,0.9338462711519386,0.001953125,10,0.01953125
Gemma4-E4B,4,11,3,0.5969325250014663,0.6418890696115662,0.6015983600741319,0.6948758272749344,0.001953125,10,0.01953125
Gemma4-E4B,5,11,2,0.47658793564187363,0.4818644718297861,0.4504501004138594,0.5113450437057356,0.001953125,10,0.01953125
Gemma4-E4B,6,17,1,0.44332088679133447,0.5041965647294157,0.455160311976977,0.5525689691851021,0.001953125,10,0.01953125
Gemma4-E4B,7,17,3,0.42330730976013003,0.46571470410173105,0.4011117597185273,0.5242265705133278,0.001953125,10,0.01953125
Gemma4-E4B,8,5,1,0.41452348379883913,0.45168767132250265,0.42993407967400826,0.46909835215586143,0.001953125,10,0.01953125
Gemma4-E4B,9,11,0,0.29334923872651414,0.2733804988086245,0.2461656219843166,0.3028602347689258,0.001953125,10,0.01953125
Gemma4-E4B,10,17,5,0.2783566826106107,0.4128742211287926,0.3460662023098581,0.4758316409599599,0.001953125,10,0.01953125
