model_label,layer,metric,primary_layer,estimand,mean,ci95_low,ci95_high,p_value,seed_count,holm_p_primary_family
Gemma4-E4B,4,normalized_noise,False,needle_only_improvement,-1.137153240336889,-1.2520764666012922,-1.0206540784107285,0.001953125,10,
Gemma4-E4B,4,normalized_noise,False,matched_nonneedle_improvement,-9.512743710251353,-9.792605859651461,-9.24113550348698,0.001953125,10,
Gemma4-E4B,4,normalized_noise,False,specificity,8.375590469914465,8.133896952611085,8.606318184238878,0.001953125,10,
Gemma4-E4B,5,continuous_absolute_error,False,needle_only_improvement,-1.2819702881053125,-1.448104060682513,-1.1167190186293765,0.001953125,10,
Gemma4-E4B,5,continuous_absolute_error,False,matched_nonneedle_improvement,-3.7855015173095135,-4.400151494565514,-3.233560568818223,0.001953125,10,
Gemma4-E4B,5,continuous_absolute_error,False,specificity,2.5035312292042007,2.0025719304219263,3.073224116978236,0.001953125,10,
Gemma4-E4B,5,nearest_centroid_accuracy,False,needle_only_improvement,-0.02,-0.06000000000000001,0.0,1.0,10,
Gemma4-E4B,5,nearest_centroid_accuracy,False,matched_nonneedle_improvement,-0.1,-0.20000000000000004,0.02,0.234375,10,
Gemma4-E4B,5,nearest_centroid_accuracy,False,specificity,0.08,-0.04,0.2,0.359375,10,
Gemma4-E4B,5,normalized_noise,False,needle_only_improvement,-1.1714657887720517,-1.2581599936920278,-1.0590214408048275,0.001953125,10,
Gemma4-E4B,5,normalized_noise,False,matched_nonneedle_improvement,-3.6447605888413364,-3.7809219066456254,-3.4987426423099706,0.001953125,10,
Gemma4-E4B,5,normalized_noise,False,specificity,2.4732948000692847,2.3853539048994774,2.557326636602679,0.001953125,10,
Gemma4-E4B,6,continuous_absolute_error,False,needle_only_improvement,-1.318274095330023,-1.545448068926028,-1.0962823761951357,0.001953125,10,
Gemma4-E4B,6,continuous_absolute_error,False,matched_nonneedle_improvement,-4.378721577292849,-4.8619300034045025,-3.8946416509935937,0.001953125,10,
Gemma4-E4B,6,continuous_absolute_error,False,specificity,3.060447481962826,2.5659142849754786,3.575929817441821,0.001953125,10,
Gemma4-E4B,6,nearest_centroid_accuracy,False,needle_only_improvement,-0.02,-0.08,0.04,1.0,10,
Gemma4-E4B,6,nearest_centroid_accuracy,False,matched_nonneedle_improvement,-0.06000000000000001,-0.18,0.04000000000000001,0.53125,10,
Gemma4-E4B,6,nearest_centroid_accuracy,False,specificity,0.04,-0.04,0.14,0.75,10,
Gemma4-E4B,6,normalized_noise,False,needle_only_improvement,-1.219880017927569,-1.3205680222232143,-1.1018334429493895,0.001953125,10,
Gemma4-E4B,6,normalized_noise,False,matched_nonneedle_improvement,-3.621685701788871,-3.7659361852057587,-3.448038031463989,0.001953125,10,
Gemma4-E4B,6,normalized_noise,False,specificity,2.4018056838613018,2.3202550898122656,2.485628907985117,0.001953125,10,
Gemma4-E4B,7,continuous_absolute_error,False,needle_only_improvement,-1.749917237661774,-2.1097552162664797,-1.4292057559377604,0.001953125,10,
Gemma4-E4B,7,continuous_absolute_error,False,matched_nonneedle_improvement,-5.617979397822337,-6.055761940046397,-5.093241715901383,0.001953125,10,
Gemma4-E4B,7,continuous_absolute_error,False,specificity,3.868062160160563,3.379136724672737,4.299442303451117,0.001953125,10,
Gemma4-E4B,7,nearest_centroid_accuracy,False,needle_only_improvement,0.02,-0.08,0.12,1.0,10,
Gemma4-E4B,7,nearest_centroid_accuracy,False,matched_nonneedle_improvement,-0.14,-0.24000000000000005,-0.02,0.09375,10,
Gemma4-E4B,7,nearest_centroid_accuracy,False,specificity,0.16,0.1,0.2,0.0078125,10,
Gemma4-E4B,7,normalized_noise,False,needle_only_improvement,-1.1724086103620306,-1.3020508177082801,-1.0120145622533472,0.001953125,10,
Gemma4-E4B,7,normalized_noise,False,matched_nonneedle_improvement,-4.048674766333986,-4.228281663549154,-3.817298207019756,0.001953125,10,
Gemma4-E4B,7,normalized_noise,False,specificity,2.8762661559719542,2.7913163404651327,2.9549039744946195,0.001953125,10,
Gemma4-E4B,8,continuous_absolute_error,False,needle_only_improvement,-3.1723887779518605,-3.565721991079068,-2.7953355402351683,0.001953125,10,
Gemma4-E4B,8,continuous_absolute_error,False,matched_nonneedle_improvement,-4.956075815878975,-5.347694959576026,-4.506194531866806,0.001953125,10,
Gemma4-E4B,8,continuous_absolute_error,False,specificity,1.783687037927114,1.2566898938627056,2.2305425435215116,0.00390625,10,
Gemma4-E4B,8,nearest_centroid_accuracy,False,needle_only_improvement,0.0,-0.1,0.1,1.0,10,
Gemma4-E4B,8,nearest_centroid_accuracy,False,matched_nonneedle_improvement,0.02,-0.06000000000000001,0.1,1.0,10,
Gemma4-E4B,8,nearest_centroid_accuracy,False,specificity,-0.02,-0.06000000000000001,0.0,1.0,10,
Gemma4-E4B,8,normalized_noise,False,needle_only_improvement,-1.471011325986635,-1.5983896059490301,-1.3018566449171705,0.001953125,10,
Gemma4-E4B,8,normalized_noise,False,matched_nonneedle_improvement,-4.519412088405302,-4.7516580449464865,-4.228995820694395,0.001953125,10,
Gemma4-E4B,8,normalized_noise,False,specificity,3.048400762418667,2.919220631867158,3.1619897967297153,0.001953125,10,
Gemma4-E4B,9,continuous_absolute_error,True,needle_only_improvement,-3.6884978711361214,-4.086854678896117,-3.3079703167072467,0.001953125,10,
Gemma4-E4B,9,continuous_absolute_error,True,matched_nonneedle_improvement,-2.951085978968539,-3.4197628815475207,-2.3990793798681143,0.001953125,10,
Gemma4-E4B,9,continuous_absolute_error,True,specificity,-0.737411892167583,-1.439480019848937,-0.1445587946941635,0.046875,10,0.09375
Gemma4-E4B,9,nearest_centroid_accuracy,True,needle_only_improvement,-0.08,-0.18,0.02,0.3125,10,
Gemma4-E4B,9,nearest_centroid_accuracy,True,matched_nonneedle_improvement,-0.06,-0.15999999999999998,0.04,0.5,10,
Gemma4-E4B,9,nearest_centroid_accuracy,True,specificity,-0.02,-0.06000000000000001,0.0,1.0,10,1.0
Gemma4-E4B,9,normalized_noise,True,needle_only_improvement,-1.5684385906704505,-1.6927777064306178,-1.3837846744850009,0.001953125,10,
Gemma4-E4B,9,normalized_noise,True,matched_nonneedle_improvement,-4.874983652974559,-5.063279144237108,-4.6278089158906495,0.001953125,10,
Gemma4-E4B,9,normalized_noise,True,specificity,3.306545062304109,3.2141601715477486,3.401236020329383,0.001953125,10,0.01171875
Gemma4-E4B,10,continuous_absolute_error,False,needle_only_improvement,-2.4553877416205836,-2.8825756548709975,-2.0637728675176947,0.001953125,10,
Gemma4-E4B,10,continuous_absolute_error,False,matched_nonneedle_improvement,-0.8479664412529295,-1.155945634269874,-0.501113768636765,0.005859375,10,
Gemma4-E4B,10,continuous_absolute_error,False,specificity,-1.607421300367654,-2.1855396362030963,-1.107475112079128,0.001953125,10,
Gemma4-E4B,10,nearest_centroid_accuracy,False,needle_only_improvement,0.06000000000000001,-0.04,0.16,0.5,10,
Gemma4-E4B,10,nearest_centroid_accuracy,False,matched_nonneedle_improvement,0.02,-0.04,0.08,1.0,10,
Gemma4-E4B,10,nearest_centroid_accuracy,False,specificity,0.04,-0.04,0.12,0.625,10,
Gemma4-E4B,10,normalized_noise,False,needle_only_improvement,-1.4758503988735072,-1.5959449712270557,-1.3190421218868578,0.001953125,10,
Gemma4-E4B,10,normalized_noise,False,matched_nonneedle_improvement,-3.893126304300362,-4.076091571228364,-3.682307212451564,0.001953125,10,
Gemma4-E4B,10,normalized_noise,False,specificity,2.4172759054268544,2.313198143058545,2.522451856158088,0.001953125,10,
Gemma4-E4B,11,continuous_absolute_error,False,needle_only_improvement,-4.79477412959917,-5.132300545146867,-4.394557924394772,0.001953125,10,
Gemma4-E4B,11,continuous_absolute_error,False,matched_nonneedle_improvement,-4.082261602583711,-4.482703965184432,-3.597870393952427,0.001953125,10,
Gemma4-E4B,11,continuous_absolute_error,False,specificity,-0.7125125270154584,-1.0968795630656785,-0.44986574115743455,0.001953125,10,
Gemma4-E4B,11,nearest_centroid_accuracy,False,needle_only_improvement,-0.28,-0.38,-0.18,0.00390625,10,
Gemma4-E4B,11,nearest_centroid_accuracy,False,matched_nonneedle_improvement,-0.1,-0.2,0.0,0.1875,10,
Gemma4-E4B,11,nearest_centroid_accuracy,False,specificity,-0.18,-0.2,-0.13999999999999999,0.00390625,10,
Gemma4-E4B,11,normalized_noise,False,needle_only_improvement,-1.885647843565642,-2.042552426121804,-1.6535621381563645,0.001953125,10,
Gemma4-E4B,11,normalized_noise,False,matched_nonneedle_improvement,-3.199058353993622,-3.382818587151193,-2.9597183591750786,0.001953125,10,
