model_label,population,layer,normalized_depth,endpoint,seed,effect,eligible_examples
Gemma4-E4B,all,0,0.0,absolute_error_specificity,1254,0.0,9
Gemma4-E4B,all,0,0.0,absolute_error_specificity,1255,0.0,9
Gemma4-E4B,all,0,0.0,absolute_error_specificity,1256,0.0,9
Gemma4-E4B,all,0,0.0,absolute_error_specificity,1257,0.0,9
Gemma4-E4B,all,0,0.0,absolute_error_specificity,1258,0.0,9
Gemma4-E4B,all,0,0.0,absolute_error_specificity,1259,0.0,9
Gemma4-E4B,all,0,0.0,absolute_error_specificity,1260,0.1111111111111111,9
Gemma4-E4B,all,0,0.0,absolute_error_specificity,1261,0.0,9
Gemma4-E4B,all,0,0.0,absolute_error_specificity,1262,0.1111111111111111,9
Gemma4-E4B,all,0,0.0,absolute_error_specificity,1263,-0.1111111111111111,9
Gemma4-E4B,all,0,0.0,accuracy_damage_specificity,1254,0.0,9
Gemma4-E4B,all,0,0.0,accuracy_damage_specificity,1255,0.0,9
Gemma4-E4B,all,0,0.0,accuracy_damage_specificity,1256,0.0,9
Gemma4-E4B,all,0,0.0,accuracy_damage_specificity,1257,0.0,9
Gemma4-E4B,all,0,0.0,accuracy_damage_specificity,1258,0.0,9
Gemma4-E4B,all,0,0.0,accuracy_damage_specificity,1259,0.0,9
Gemma4-E4B,all,0,0.0,accuracy_damage_specificity,1260,0.0,9
Gemma4-E4B,all,0,0.0,accuracy_damage_specificity,1261,0.0,9
Gemma4-E4B,all,0,0.0,accuracy_damage_specificity,1262,0.0,9
Gemma4-E4B,all,0,0.0,accuracy_damage_specificity,1263,-0.1111111111111111,9
Gemma4-E4B,all,4,0.0975609756097561,absolute_error_specificity,1254,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,absolute_error_specificity,1255,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,absolute_error_specificity,1256,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,absolute_error_specificity,1257,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,absolute_error_specificity,1258,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,absolute_error_specificity,1259,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,absolute_error_specificity,1260,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,absolute_error_specificity,1261,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,absolute_error_specificity,1262,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,absolute_error_specificity,1263,-0.1111111111111111,9
Gemma4-E4B,all,4,0.0975609756097561,accuracy_damage_specificity,1254,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,accuracy_damage_specificity,1255,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,accuracy_damage_specificity,1256,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,accuracy_damage_specificity,1257,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,accuracy_damage_specificity,1258,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,accuracy_damage_specificity,1259,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,accuracy_damage_specificity,1260,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,accuracy_damage_specificity,1261,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,accuracy_damage_specificity,1262,0.0,9
Gemma4-E4B,all,4,0.0975609756097561,accuracy_damage_specificity,1263,0.0,9
Gemma4-E4B,all,8,0.1951219512195122,absolute_error_specificity,1254,0.0,9
Gemma4-E4B,all,8,0.1951219512195122,absolute_error_specificity,1255,0.0,9
