model_label,seed,gold_count,layer,normalized_depth,clean_correct,clean_absolute_error,absolute_error_specificity,candidate_absolute_error_damage_from_clean,control_absolute_error_damage_from_clean,accuracy_damage_specificity,candidate_correct_damage_from_clean,control_correct_damage_from_clean
Gemma4-E4B,1254,3,32,0.7804878048780488,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,3,36,0.8780487804878049,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,3,40,0.975609756097561,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,3,41,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,4,0.0975609756097561,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,8,0.1951219512195122,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,9,0.2195121951219512,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,12,0.2926829268292683,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,16,0.3902439024390244,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,20,0.4878048780487805,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,24,0.5853658536585366,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,28,0.6829268292682927,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,32,0.7804878048780488,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,36,0.8780487804878049,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,40,0.975609756097561,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,4,41,1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,4,0.0975609756097561,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,8,0.1951219512195122,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,9,0.2195121951219512,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,12,0.2926829268292683,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,16,0.3902439024390244,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,20,0.4878048780487805,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,24,0.5853658536585366,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,28,0.6829268292682927,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,32,0.7804878048780488,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,36,0.8780487804878049,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,40,0.975609756097561,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,5,41,1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,0,0.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,4,0.0975609756097561,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,8,0.1951219512195122,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,9,0.2195121951219512,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,12,0.2926829268292683,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,16,0.3902439024390244,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,20,0.4878048780487805,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,24,0.5853658536585366,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,28,0.6829268292682927,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,32,0.7804878048780488,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,36,0.8780487804878049,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,40,0.975609756097561,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,6,41,1.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,0,0.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,4,0.0975609756097561,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,8,0.1951219512195122,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,9,0.2195121951219512,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,12,0.2926829268292683,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,16,0.3902439024390244,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,20,0.4878048780487805,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,24,0.5853658536585366,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,28,0.6829268292682927,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,32,0.7804878048780488,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,36,0.8780487804878049,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,40,0.975609756097561,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,7,41,1.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,0,0.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,4,0.0975609756097561,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,8,0.1951219512195122,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,9,0.2195121951219512,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,12,0.2926829268292683,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,16,0.3902439024390244,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,20,0.4878048780487805,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,24,0.5853658536585366,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,28,0.6829268292682927,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,32,0.7804878048780488,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,36,0.8780487804878049,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,40,0.975609756097561,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,8,41,1.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,0,0.0,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,4,0.0975609756097561,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,8,0.1951219512195122,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,9,0.2195121951219512,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,12,0.2926829268292683,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,16,0.3902439024390244,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,20,0.4878048780487805,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,24,0.5853658536585366,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,28,0.6829268292682927,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,32,0.7804878048780488,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,36,0.8780487804878049,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,40,0.975609756097561,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,9,41,1.0,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,0,0.0,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1254,10,4,0.0975609756097561,0.0,3.0,0.0,0.0,0.0,-0.0,0.0,0.0
