model_label,legacy_scope,causal_scope,legacy_layer,causal_layer,legacy_confirmation_logistic_balanced_accuracy,causal_confirmation_logistic_balanced_accuracy,causal_minus_legacy_logistic,legacy_confirmation_ncc_balanced_accuracy,causal_confirmation_ncc_balanced_accuracy,causal_minus_legacy_ncc,legacy_confirmation_snr_db,causal_confirmation_snr_db,causal_minus_legacy_snr_db,legacy_confirmation_noise_power,causal_confirmation_noise_power
Qwen3-8B,all parser-observed item_end events,exact causal primary progress commits,18,18,0.6811165141113654,0.6979042408125047,0.01678772670113926,0.588898303884495,0.6013145899842475,0.012416286099752427,-5.246451844910808,-5.3389639444963555,-0.09251209958554707,11.577574443817138,11.758146953582763
Gemma4-E4B,all parser-observed item_end events,exact causal primary progress commits,22,16,0.7837129315543494,0.8079807692307692,0.024267837676419823,0.6925055216342529,0.7262372723640492,0.033731750729796284,-3.189902953711885,-3.913439202752592,-0.7235362490407069,9.272369527816773,11.093529796600341
