model_label,site_kind,layer,pca_dim,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy,cov_pca_components,cov_pca_explained_variance_ratio_sum,cov_discovery_rows,cov_confirmation_rows,cov_discovery_support_min,cov_discovery_support_max,cov_confirmation_support_min,cov_confirmation_support_max,cov_discovery_isotropic_snr,cov_discovery_isotropic_snr_db,cov_confirmation_isotropic_snr,cov_confirmation_isotropic_snr_db,cov_discovery_fisher_trace,cov_confirmation_fisher_trace,cov_confirmation_fisher_trace_frozen,cov_confirmation_fisher_noise_calibration,cov_discovery_covariance_ridge,cov_confirmation_covariance_ridge,cov_discovery_covariance_condition,cov_confirmation_covariance_condition,cov_discovery_mahalanobis_silhouette,cov_confirmation_mahalanobis_silhouette,cov_discovery_ordinal_rsa,cov_confirmation_ordinal_rsa,cov_discovery_cv_fold_count,cov_discovery_oof_isotropic_snr_db,cov_discovery_oof_isotropic_snr_db_fold_sd,cov_discovery_oof_fisher_trace,cov_discovery_oof_fisher_trace_fold_sd,cov_discovery_oof_fisher_noise_calibration,cov_discovery_oof_mahalanobis_silhouette,cov_discovery_oof_mahalanobis_silhouette_fold_sd,cov_discovery_oof_ordinal_rsa,cov_discovery_oof_ordinal_rsa_fold_sd
Gemma4-E4B,city_end,23,16,0.5047132794527258,0.42375027497509415,0.46423177721390996,728,5,16,16,0.5191442307692308,0.44008751629726206,0.2677932340568104,-5.722003998740924,2.572291135787964,9.605512046813965,313,10,4,62,16,0.1,16,0.7822762727737427,728,313,9,144,4,62,0.1809659346921444,-7.4240316970317295,0.26779323013555456,-5.722004062334008,57.41936294721736,75.00434303987056,58.34399359577016,0.830753002909319,8.61392351126047e-05,7.073803565141877e-05,261.4636285079023,308.20658016201844,0.06598077183340388,0.06044800742425936,0.6319395890484069,0.6638429473066473,5,-4.841547329981776,1.0170033276492392,61.45998064120405,2.7760628511488457,1.0453393249875373,0.037306969216478296,0.031024858175109908,0.6483375155686131,0.04035807662251691
Gemma4-E4B,city_unit_end,16,16,0.5868408693380114,0.5229884942668572,0.5549146818024343,728,5,16,16,0.6804710276738024,0.5784126466753585,0.37726118641780576,-4.2335787381215315,3.5190300941467285,9.327834987640381,313,10,4,62,16,0.1,16,0.6951335668563843,728,313,9,144,4,62,0.2586667698277823,-5.872593602567279,0.377261202652768,-4.233578551228349,30.673040947341374,52.94492908500288,32.15017585662362,0.7652169540381664,7.636421916516975e-05,5.4387401779100176e-05,60.19331520368933,192.19741228891027,0.11920095755110013,0.121097491127686,0.5567435734459982,0.5680662684437038,5,-3.3752560525631865,0.5429231112082348,33.701607279230316,2.0723442076317746,1.0496748482512217,0.09921490350016107,0.018839304173151872,0.5521212497234056,0.03185603286391125
Gemma4-E4B,item_end,16,16,0.7909538855863757,0.7090253881672679,0.7499896368768217,728,5,16,16,0.8079807692307692,0.7262372723640492,0.40612159178617613,-3.913439202752592,4.505321979522705,11.093529796600341,313,10,4,62,16,0.1,16,0.7318449020385742,728,313,9,144,4,62,0.4247827847185717,-3.718330923343739,0.40612159628811195,-3.9134391546102156,58.283489121534195,45.28447157923631,52.18458924803897,1.0851023661914039,5.429636324735574e-05,4.6039713861610765e-05,45.02253997744699,65.44594419334231,0.25358338679141534,0.19166827211053977,0.5462201275069545,0.5133177079253869,5,-1.0313923455939098,1.2254053194916312,65.24623408696539,5.958224099640627,0.9781586966876287,0.2743042890985923,0.04293938770278719,0.572968329336828,0.04957003616749726
Gemma4-E4B,post_boundary,10,16,0.6472048795628292,0.6026757857345736,0.6249403326487014,728,5,16,16,0.6932063233376793,0.6490249190394078,0.25269231924416063,-5.974079585572239,3.6049857139587402,14.266305065155029,313,10,4,62,16,0.1,16,0.7355804443359375,728,313,9,144,4,62,0.2910625944446279,-5.360136038023463,0.25269231082597443,-5.974079730253008,48.50082510175649,36.66202218334501,44.56419214378227,1.1123939985314215,7.35350307283709e-05,8.775889154898386e-05,73.10965125203336,102.2460982855003,0.13500638586716776,0.10249103143115901,0.6186853754922691,0.6024339779661507,5,-2.529202408639871,1.6170337103356354,52.759781708933396,1.4286857379750617,1.020480936459439,0.11765626930155733,0.034752269546779666,0.631579926972009,0.017741246352214135
Gemma4-E4B,pre_city,9,16,0.6174290543011047,0.45130052079413313,0.534364787547619,728,5,16,16,0.593326923076923,0.4647544002607562,0.19210789408689868,-7.164547887669381,1.9537127017974854,10.169872045516968,313,10,4,62,16,0.1,16,0.8918862342834473,728,313,9,144,4,62,0.14762425998752504,-8.308422664090125,0.19210789576822132,-7.164547849660056,41.67931828914656,71.78264027686122,42.1562245596702,0.9247935296520602,0.00011946043518876846,0.00010606777326110455,485.5173748220406,1393.4181180673143,0.06046475752601849,0.026259874129821226,0.704871065651274,0.7106656213265703,5,-6.453068085360286,0.3637651974639214,44.63920597555402,3.329225994556634,3.7108370275921887,-0.04319304299627391,0.059052110122455814,0.7049643113747845,0.023325822433165853
Qwen3-8B,city_end,19,16,0.6082767911447904,0.5611288032336758,0.5847027971892331,869,5,16,16,0.5589410211048718,0.5234487586261096,0.3184985401235296,-4.968925539652035,3.222620725631714,10.118164825439454,465,10,8,85,16,0.1,16,0.5766897201538086,869,465,16,154,8,85,0.2782366036273063,-5.555857366457114,0.3184985940440453,-4.96892480440909,46.633668041231175,53.809509935014354,44.25007546375824,0.8844615325916277,9.277974155437632e-05,8.569446255551281e-05,48.508947263396955,72.44511929598772,0.1287961365962751,0.11939162656378555,0.7082678741505857,0.7221881285889412,5,-3.256634623561516,0.27460723395273173,50.09684547823458,4.173455609236162,0.9334475885133969,0.1483424431276234,0.0286644392331044,0.6992496806053545,0.026504435586877022
Qwen3-8B,city_unit_end,23,16,0.8319285362986719,0.7115780707812784,0.7717533035399752,869,5,16,16,0.8372849037885096,0.6450637008512989,0.3764155738123376,-4.243324163796386,4.5396223068237305,12.060134124755859,465,10,8,85,16,0.1,16,0.750108540058136,869,465,16,154,8,85,0.37237506409473836,-4.290194090243285,0.3764155582004471,-4.243324343920655,40.89826940766979,45.15761388368545,40.18215810590128,1.0352652509929334,0.0001356015998948061,0.00013590513449114326,133.8459125519237,205.77606347562812,0.1780875333751738,0.15015537760396208,0.7470314534956712,0.7417031264379276,5,-3.4093661864484823,1.4229953282864736,42.62095844172459,3.4476089430176478,1.0403213473675768,0.1501319259938486,0.0820536405656133,0.7358952499449869,0.01849468529287183
Qwen3-8B,item_end,18,16,0.7254254249446129,0.5997718123876555,0.6625986186661342,869,5,16,16,0.6979042408125047,0.6013145899842475,0.292485004859193,-5.3389639444963555,3.4390816688537598,11.758146953582763,465,10,8,85,16,0.1,16,0.7185584306716919,869,465,16,154,8,85,0.27129253813654935,-5.6656215128332725,0.2924850119170393,-5.33896383969838,40.490709860895876,50.89758625336562,40.48728792832499,0.972442466720224,0.0001375090625613777,0.00012892755632708044,102.86369476088817,203.42065298816578,0.13635101521900944,0.1308672232550562,0.651854211426724,0.6418635981934545,5,-4.370765031486855,0.48797241547568615,42.544442109046976,1.5923742319557679,1.0512196963664657,0.10013033636588593,0.031684982623257044,0.6407313286936839,0.03026285581684095
Qwen3-8B,post_boundary,12,16,0.884508578739872,0.7224144556448118,0.8034615171923418,869,5,16,16,0.92812666335244,0.7606931974500422,0.37056985200717313,-4.311299159386285,3.908245801925659,10.546583271026611,465,10,8,85,16,0.1,16,0.7659925222396851,869,465,16,154,8,85,0.3389991339178181,-4.698014113402599,0.37056983185578823,-4.3112993955532435,41.404869026093614,52.85396055124207,40.94199494481382,0.9612199922659524,0.00013139395985714813,0.00013771441988851148,83.57940380993071,138.52945316516352,0.16517118835753924,0.16701582902733744,0.6013683125546021,0.6403317041643531,5,-3.766778551829673,0.5945660634540385,43.25643819980921,3.0870136952797993,1.0190031538285782,0.14026662059343237,0.019188030135438322,0.6111990759761393,0.004226500428705292
Qwen3-8B,pre_city,19,16,0.6791770279000343,0.5567493678835925,0.6179631978918134,869,5,16,16,0.6804673799150971,0.5402155045910024,0.2249311750938484,-6.4795034788613615,2.610291004180908,11.604843139648438,465,10,8,85,16,0.1,16,0.7703532576560974,869,465,16,154,8,85,0.20376055729978215,-6.9087988021616695,0.2249311660238207,-6.479503653984398,48.04826558315876,48.95326544811202,45.85127050265796,1.0074164449266108,0.00015242407284573174,0.00015871450691604477,139.06718572621537,183.3122701263069,0.09477066477947271,0.07236693560076093,0.7139292216494384,0.7137960134729947,5,-5.7496552248660775,0.4938647803040862,49.685297798579356,2.747321563144566,1.1155860179626989,0.050854764353257934,0.031943948449404194,0.7070823213802377,0.022826038264941086
