model_label,site_kind,layer,pca_dim,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Gemma4-E4B,city_end,0,16,0.1024169910830324,0.08222551133108363,0.09232125120705802,728,5,16,16,0.09611992156285487,0.07066570109769946,0.11523918067960649,-9.38399838100673,0.9747358560562134,8.45837197303772,313,10,4,62,16,0.1
Gemma4-E4B,city_end,1,16,0.08977480898088375,0.08047507102385987,0.08512494000237181,728,5,16,16,0.14199895382091937,0.1474440530765025,0.1335327125208972,-8.744123288537828,1.2872995138168335,9.640330743789672,313,10,4,62,16,0.1
Gemma4-E4B,city_end,2,16,0.19935083040981313,0.1868700102891248,0.19311042034946896,728,5,16,16,0.25508544496782604,0.2014993428523363,0.14566747266106841,-8.366374147427,1.4111641645431519,9.687572240829468,313,10,4,62,16,0.1
Gemma4-E4B,city_end,3,16,0.1899595185904474,0.16180708276654082,0.17588330067849411,728,5,16,16,0.23165796778399295,0.21932856331749173,0.14535256553662276,-8.375772983375487,1.1927845478057861,8.206147193908691,313,10,4,62,16,0.1
Gemma4-E4B,city_end,4,16,0.19843095899780266,0.18248243437800488,0.19045669668790377,728,5,16,16,0.3139728256298103,0.27519706018421164,0.1675485834527924,-7.758592395758671,1.289243459701538,7.694744014739991,313,10,4,62,16,0.1
Gemma4-E4B,city_end,5,16,0.15965249815671836,0.12932312956745412,0.14448781386208626,728,5,16,16,0.22567274046347308,0.213145813180805,0.14704897753738563,-8.325379908877187,1.0459730625152588,7.113093066215515,313,10,4,62,16,0.1
Gemma4-E4B,city_end,6,16,0.2018458372285163,0.14210420831740936,0.17197502277296284,728,5,16,16,0.2980575713925222,0.20090128064936702,0.16766759944574916,-7.755508535622548,1.1648743152618408,6.9475218772888185,313,10,4,62,16,0.1
Gemma4-E4B,city_end,7,16,0.2536510479226125,0.2177370377647258,0.23569404284366915,728,5,16,16,0.28275509420868905,0.2723218761828658,0.1798581364003227,-7.450699108405473,1.450397253036499,8.064118099212646,313,10,4,62,16,0.1
Gemma4-E4B,city_end,8,16,0.28846430095533954,0.2204591996287359,0.2544617502920377,728,5,16,16,0.3095023026454136,0.2909012228203726,0.18785396903633458,-7.261796245965044,1.7898038625717163,9.527634000778198,313,10,4,62,16,0.1
Gemma4-E4B,city_end,9,16,0.29910716683940486,0.22546829564113705,0.26228773124027094,728,5,16,16,0.3944046452454052,0.29650715502376246,0.19925220690229703,-7.005968596925434,2.038968563079834,10.233104038238526,313,10,4,62,16,0.1
Gemma4-E4B,city_end,10,16,0.3403564507541116,0.2488424100946251,0.2945994304243683,728,5,16,16,0.3941696544980443,0.32791914980863857,0.22171407756033654,-6.542067308247404,2.043966054916382,9.218927717208862,313,10,4,62,16,0.1
Gemma4-E4B,city_end,11,16,0.3274276741555931,0.3056581964984058,0.31654293532699945,728,5,16,16,0.4623313233376793,0.38773435462842243,0.24255249479400265,-6.151942540426724,2.074059009552002,8.55096960067749,313,10,4,62,16,0.1
Gemma4-E4B,city_end,12,16,0.3373883490982932,0.2920917476436987,0.31474004837099595,728,5,16,16,0.47145893089960894,0.31303943937418516,0.24724335702690142,-6.068753682659384,2.2650840282440186,9.161354446411133,313,10,4,62,16,0.1
Gemma4-E4B,city_end,13,16,0.334546550893679,0.3366762212739048,0.33561138608379193,728,5,16,16,0.42826401564537164,0.37521528683181227,0.23091691057586022,-6.365442615355732,2.3389580249786377,10.12900276184082,313,10,4,62,16,0.1
Gemma4-E4B,city_end,14,16,0.3770369945807785,0.36779758236929194,0.3724172884750352,728,5,16,16,0.49508393089960895,0.393247555410691,0.25735716979682505,-5.894637280945077,2.925327777862549,11.366801166534424,313,10,4,62,16,0.1
