model_label,layer,category,rows,seeds,nearest_endpoint_count_accuracy,nearest_endpoint_count_mae,rank3_projection_energy_mean,rank3_projection_energy_median
Gemma4-E4B,0,hard_negative,3162,10,0.10372714486638537,2.650492264416315,56.84871027787828,53.711830139160156
Gemma4-E4B,0,needle_endpoint,100,10,0.11,3.32,7.0994550724327565,3.661428928375244
Gemma4-E4B,0,needle_interior,3228,10,0.11011699931176876,2.7601514108740535,65.86846037066854,64.7830924987793
Gemma4-E4B,0,ordinary_passage,1280,10,0.10158730158730159,2.6126984126984127,56.9534359684214,54.421260833740234
Gemma4-E4B,5,hard_negative,3162,10,0.11427566807313642,3.9156118143459917,1099.3217045821998,1135.2598266601562
Gemma4-E4B,5,needle_endpoint,100,10,0.33,1.53,287.96897052764893,91.0546875
Gemma4-E4B,5,needle_interior,3228,10,0.12973158981417757,3.232278045423262,673.477312434857,616.7151184082031
Gemma4-E4B,5,ordinary_passage,1280,10,0.11825396825396825,3.9325396825396823,1120.664518904686,1153.0505981445312
Gemma4-E4B,9,hard_negative,3162,10,0.11040787623066103,3.309423347398031,180.62256975599212,174.1484375
Gemma4-E4B,9,needle_endpoint,100,10,0.28,1.81,151.62423128604888,45.098758697509766
Gemma4-E4B,9,needle_interior,3228,10,0.11562284927735719,3.2119752236751546,189.93145071751124,167.30695343017578
Gemma4-E4B,9,ordinary_passage,1280,10,0.09603174603174604,3.2944444444444443,180.90316608995198,176.19176483154297
Gemma4-E4B,11,hard_negative,3162,10,0.1079465541490858,3.9138537271448666,864.5972460095902,875.7937622070312
Gemma4-E4B,11,needle_endpoint,100,10,0.31,1.46,353.61362020492555,143.92002868652344
Gemma4-E4B,11,needle_interior,3228,10,0.11803165863730214,3.620440467997247,751.8763033998057,745.7981567382812
Gemma4-E4B,11,ordinary_passage,1280,10,0.11746031746031746,3.9119047619047618,862.9623565644026,874.573974609375
Gemma4-E4B,17,hard_negative,3162,10,0.1090014064697609,3.2144866385372715,702.33186964292,699.9260559082031
Gemma4-E4B,17,needle_endpoint,100,10,0.3,1.63,680.039261932373,427.82440185546875
Gemma4-E4B,17,needle_interior,3228,10,0.1293874741913283,3.0392291810048175,715.6775048124746,667.3493041992188
Gemma4-E4B,17,ordinary_passage,1280,10,0.09047619047619047,3.2261904761904763,695.932786154747,697.91015625
