model_label,endpoint,selector,non_thinking_layer,native_thinking_layer,non_thinking_confirmation,native_thinking_confirmation,native_minus_non
Gemma4-E4B,final_count,fisher_trace,29,32,80.78233417692509,123.34446570388823,42.56213152696314
Gemma4-E4B,final_count,isotropic_snr,33,33,14.999112646733339,14.80259412306319,-0.19651852367014833
Gemma4-E4B,final_count,mahalanobis_silhouette,41,39,0.17633595452471978,0.25599297322148007,0.07965701869676028
Gemma4-E4B,final_count,ordinal_rsa,18,9,0.851000435209896,0.9516392125130307,0.10063877730313475
Gemma4-E4B,running_index,fisher_trace,24,16,31.571836973316174,8.399535698010018,-23.172301275306154
Gemma4-E4B,running_index,isotropic_snr,23,16,0.23228305858489642,5.363811777523915,5.131528718939018
Gemma4-E4B,running_index,mahalanobis_silhouette,22,16,0.015542389369675119,0.09163001605933965,0.07608762668966454
Gemma4-E4B,running_index,ordinal_rsa,18,30,0.6072294723181202,0.7816655793710057,0.17443610705288548
Qwen3-8B,final_count,fisher_trace,26,29,54.80659257675812,209.43820925806315,154.63161668130505
Qwen3-8B,final_count,isotropic_snr,26,29,12.042469468921217,21.552912690007638,9.51044322108642
Qwen3-8B,final_count,mahalanobis_silhouette,33,35,0.11972699004225991,0.7908506172515184,0.6711236272092584
Qwen3-8B,final_count,ordinal_rsa,19,35,0.9739515820673327,0.9317245901347135,-0.04222699193261914
Qwen3-8B,running_index,fisher_trace,15,22,74.34729351677487,1.219869198332506,-73.12742431844237
Qwen3-8B,running_index,isotropic_snr,15,23,6.496324302477432,-3.615271799042166,-10.111596101519599
Qwen3-8B,running_index,mahalanobis_silhouette,12,27,0.06961973092685572,-0.09061488116136177,-0.1602346120882175
Qwen3-8B,running_index,ordinal_rsa,0,32,0.7371074443506236,0.8914957208487482,0.1543882764981246
