model_label,endpoint,selector,non_thinking_layer,native_thinking_layer,non_thinking_confirmation,native_thinking_confirmation,native_minus_non
Gemma4-E4B,final_count,fisher_trace,41,38,282.42451748293087,538.25564809518,255.83113061224918
Gemma4-E4B,final_count,isotropic_snr,41,36,1.9266852402274353,2.918553660780285,0.9918684205528496
Gemma4-E4B,final_count,mahalanobis_silhouette,41,41,0.14071846300889912,0.26731481822688397,0.12659635521798485
Gemma4-E4B,final_count,ordinal_rsa,6,3,0.9761495169786519,0.9789468886839674,0.0027973717053154656
Gemma4-E4B,running_index,fisher_trace,10,16,111.37236238324748,28.12838588590565,-83.24397649734183
Gemma4-E4B,running_index,isotropic_snr,22,16,-4.983963421839445,-1.2503716081047997,3.7335918137346455
Gemma4-E4B,running_index,mahalanobis_silhouette,22,16,0.09062387562246826,0.1460369561434654,0.05541308052099714
Gemma4-E4B,running_index,ordinal_rsa,6,23,0.6925493093302417,0.7374404647917326,0.04489115546149092
Qwen3-8B,final_count,fisher_trace,26,35,85.18069527196901,678.8223389221819,593.6416436502128
Qwen3-8B,final_count,isotropic_snr,35,34,0.5660505795528677,15.6018313840449,15.035780804492031
Qwen3-8B,final_count,mahalanobis_silhouette,35,35,0.16514224962462104,0.826339898256818,0.6611976486321969
Qwen3-8B,final_count,ordinal_rsa,17,14,0.967624193686262,0.894226488465842,-0.07339770522042
Qwen3-8B,running_index,fisher_trace,13,19,144.50036291041775,11.093977189067147,-133.4063857213506
Qwen3-8B,running_index,isotropic_snr,19,18,-2.2817012170700464,-4.110241011544744,-1.8285397944746977
Qwen3-8B,running_index,mahalanobis_silhouette,13,18,0.1845708578627558,0.03585298356993419,-0.1487178742928216
Qwen3-8B,running_index,ordinal_rsa,0,17,0.7300474109991132,0.7831974734001069,0.053150062400993736
