model_label,endpoint,mode,layer,pca_components,pca_explained_variance_ratio_sum,discovery_rows,confirmation_rows,discovery_support_min,discovery_support_max,confirmation_support_min,confirmation_support_max,discovery_isotropic_snr,discovery_isotropic_snr_db,confirmation_isotropic_snr,confirmation_isotropic_snr_db,discovery_fisher_trace,confirmation_fisher_trace,confirmation_fisher_trace_frozen,confirmation_fisher_noise_calibration,discovery_covariance_ridge,confirmation_covariance_ridge,discovery_covariance_condition,confirmation_covariance_condition,discovery_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,discovery_ordinal_rsa,confirmation_ordinal_rsa,discovery_cv_fold_count,discovery_oof_isotropic_snr_db,discovery_oof_isotropic_snr_db_fold_sd,discovery_oof_fisher_trace,discovery_oof_fisher_trace_fold_sd,discovery_oof_fisher_noise_calibration,discovery_oof_mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette_fold_sd,discovery_oof_ordinal_rsa,discovery_oof_ordinal_rsa_fold_sd
Gemma4-E4B,final_count,native_thinking,0,8,0.7537304759025574,200,100,20,20,10,10,0.1417753801951242,-8.48399179404876,0.269179497994048,-5.699580211461534,2.4005393352546696,3.6145484627982674,3.7394927752228133,0.9368350234542385,0.00020828992668185908,0.00016707853076375063,13.74972096875657,16.25348127166103,-0.06730824146926702,-0.11175561793736562,0.8870998510261097,0.9321242146640443,5,-4.350468131325991,1.4253300523362082,3.922700580409297,1.0982013889785522,0.9807137404605764,-0.1760266100079415,0.022424852328062676,0.7213489170773466,0.0871973641326428
Gemma4-E4B,final_count,native_thinking,1,8,0.7074841260910034,200,100,20,20,10,10,0.1775280412639299,-7.50733038640748,0.29606285525913756,-5.286160767981711,4.107410162550767,7.647509960739838,5.6343076060371615,0.888332352900304,0.00019466690946143492,0.00013773902011526972,13.004381512276519,10.056517010713693,-0.06175466038300383,-0.0850099848953268,0.9700885449504685,0.9670247568922657,5,-3.8874445549529297,1.0244109356275994,5.5571849576295325,0.7066111313126796,0.9416746236757344,-0.16702526562576595,0.014362868671940511,0.8434741732408331,0.033314463457575376
Gemma4-E4B,final_count,native_thinking,2,8,0.7318091988563538,200,100,20,20,10,10,0.15554284366016766,-8.08149965464281,0.2621739605669091,-5.8141044515427005,3.148754364773711,6.769257415113017,4.079048945472807,0.8253163479381629,0.00019690757069550956,0.00014792471283504188,9.740245310062097,12.227113948364037,-0.08557541801020933,-0.10789462946256426,0.9750172474788813,0.9608971807758604,5,-4.1239734479399335,1.0474745466295599,4.713756945833943,0.4563662188216946,0.9824034518231309,-0.19647951481133222,0.031256921175460604,0.8576608440320757,0.057155078888267825
Gemma4-E4B,final_count,native_thinking,3,8,0.7348446846008301,200,100,20,20,10,10,0.17931896926894408,-7.463737661373657,0.3116229238337157,-5.063706019356292,6.278486741958114,11.92403199774511,8.260642636961798,0.7964304783512666,0.00019136521457173108,0.0001436460614672004,25.112349882571905,23.18494907584139,-0.052339848256052056,-0.06294519890532205,0.9641607810987285,0.9789468886839674,5,-3.9225212137004855,0.6160420594586767,7.940039253117225,0.6651514526714021,0.9821292510534807,-0.14847082618895294,0.019635678216123175,0.9082133469924193,0.021980812336122764
Gemma4-E4B,final_count,native_thinking,4,8,0.7480145692825317,200,100,20,20,10,10,0.16095204342584038,-7.933035051981056,0.31366550040944463,-5.035332460639815,4.172420510084727,9.702629636617846,5.8777156168665385,0.7792462878868842,0.0001979184665294377,0.00014204630751653768,19.513809180909156,20.84450042225613,-0.06192176937854023,-0.05217795204745662,0.9527714820128013,0.9780810355370839,5,-4.004046922667389,0.9644612263611946,5.992520448755964,0.948445024229967,1.1094133132215114,-0.17395947976232815,0.01007521051873963,0.849042275016175,0.08627375917973798
Gemma4-E4B,final_count,native_thinking,5,8,0.680774450302124,200,100,20,20,10,10,0.15239159135042246,-8.170389957973377,0.2428637604199022,-6.146372847990168,3.7447855041276212,4.568759516000781,4.022354307410423,0.8113748490864231,0.0001762204904870062,0.0001338944163661331,10.74326714358019,15.592495535050245,-0.059740124468206514,-0.07440399836860041,0.9108775105212911,0.9048831425813295,5,-4.2882329362576765,1.3495737324207886,5.085426168311594,0.9537909278835407,0.9573895854947498,-0.15603404922161962,0.027244982483651682,0.8580338269261176,0.04764940912780594
Gemma4-E4B,final_count,native_thinking,6,8,0.6805602312088013,200,100,20,20,10,10,0.15804503728309338,-8.0121913673934,0.2216106639859549,-6.544093450319501,4.020336742489993,4.094011037203751,4.176280881004399,0.90041151197979,0.0001778776243791846,0.00014902905428809188,9.853752587255615,10.697476346487786,-0.05657316351381009,-0.08959173653747037,0.9265294712534135,0.9401833093388816,5,-4.15288901250428,0.7525949376309262,5.430476620056345,0.7035295994130637,0.92895761360527,-0.14504324596036997,0.026593861088835918,0.8563820455382171,0.057142880353185294
Gemma4-E4B,final_count,native_thinking,7,8,0.715810239315033,200,100,20,20,10,10,0.16758801608456683,-7.757570402070771,0.24455298773977402,-6.116270269708078,3.8957083487807775,4.070691487541225,4.4103742897331815,0.9226408523862544,0.00018560331745506354,0.00016267150369487062,9.337444062532551,17.240960024445705,-0.05421695439526998,-0.08699802424080219,0.9234656831952107,0.9323906310169315,5,-3.993416452451618,0.6553398274911046,5.317620439378577,1.0251784050223522,0.9206577851692751,-0.1461609543124749,0.026827189282463616,0.846924265010722,0.04891442057360348
Gemma4-E4B,final_count,native_thinking,8,8,0.7356016635894775,200,100,20,20,10,10,0.16670260791265723,-7.780576059715328,0.24533579956056736,-6.102390746342204,4.0578022945302665,4.734518704378118,4.595270410678436,0.9181421487563965,0.00019228605731676481,0.00016701640409589555,9.350210907807616,14.993233896824826,-0.051520199540272094,-0.0879796834207878,0.925330597665421,0.9403165175153253,5,-4.068738994780835,0.7703156306196612,5.485817084025787,1.1000090535058724,0.9348136907750995,-0.1502575593524484,0.027503931542652564,0.8500946196100795,0.05042007783777333
Gemma4-E4B,final_count,native_thinking,9,8,0.7740487456321716,200,100,20,20,10,10,0.15849013652311592,-7.9999776049275875,0.23923508460710408,-6.211751293076705,3.876812953841373,4.739106117325328,4.706717529887039,0.9307394623748417,0.00020538968923088482,0.000184893432665065,15.280613417051558,21.103717147490972,-0.052912290118059625,-0.085027429896226,0.9296598633998379,0.9471101345139485,5,-4.167066147685989,0.6931847443862843,5.400397680593792,1.217489651481968,0.9812809465154334,-0.15689718326509555,0.025353417541690494,0.8384788666241981,0.0427956275022374
Gemma4-E4B,final_count,native_thinking,10,8,0.8018536567687988,200,100,20,20,10,10,0.1597079967421705,-7.966733377497478,0.2216277681477933,-6.5437582698581895,3.037328033870862,4.118706858240682,3.646070597128901,0.9433863132485616,0.00021452228314696863,0.00018937618224386068,17.358790518084472,21.112919668480536,-0.06773513496808811,-0.10869946546153886,0.8940266762011765,0.9369197090160135,5,-3.848174172326986,1.3449297550007366,4.896818319636507,1.669140248818023,1.115670789781913,-0.17505119191282262,0.015364128360911519,0.7537584664060728,0.16014476916119863
Gemma4-E4B,final_count,native_thinking,11,8,0.7509169578552246,200,100,20,20,10,10,0.16843187355917918,-7.735757204312077,0.26767462527940694,-5.723927966257403,3.6074002421205416,4.9845542664153,4.242546710762406,0.8885474299863372,0.00020128928767117646,0.00016471732598033806,18.27795256362896,18.584953084015684,-0.04657697212441345,-0.06086362416212079,0.8792405686159378,0.903351248552228,5,-4.084599282130539,1.0376131696196211,5.490182082653886,1.7425285107055182,1.1335604839906388,-0.1630266013995186,0.006731419711568,0.7657338814683519,0.10799381449654925
Gemma4-E4B,final_count,native_thinking,12,8,0.7481133937835693,200,100,20,20,10,10,0.18644584064636152,-7.294473007150222,0.27482757926822826,-5.609396874676287,4.664784989313835,6.4628459328166805,5.608840062332916,0.9250731279104344,0.000189974466319519,0.00015578115772660363,14.664783529944769,13.54762904808267,-0.03919333654529008,-0.07277961851022324,0.8946261129951729,0.9739515820673327,5,-3.6848633843562837,1.0918543222157755,6.652397333183545,2.0199579669413263,1.143135555834231,-0.1474725402081117,0.024060087813340424,0.8091997094418965,0.111950958187403
Gemma4-E4B,final_count,native_thinking,13,8,0.7426808476448059,200,100,20,20,10,10,0.23755742283773928,-6.24231394850732,0.3580121151441439,-4.461022765650005,10.883341277977163,10.482546746292119,11.409725132489122,0.8726163920895488,0.00019242582544737552,0.00015098115957966712,32.8998606578138,22.87194546498811,0.012455562943097466,-0.031879704797748466,0.7556233808762832,0.7762040441368183,5,-2.899128693172115,1.2524993421971473,12.99255986039945,1.917431007855596,1.0668966506878994,-0.07762710307220302,0.030755081461780694,0.69300221713015,0.06205589791008767
Gemma4-E4B,final_count,native_thinking,14,8,0.7217123508453369,200,100,20,20,10,10,0.2865876439459261,-5.427425378806849,0.4281050394892168,-3.6844965978662825,14.364656294946386,17.305507633473262,14.522316409053545,0.823556318868435,0.000172611427647144,0.00013618395273456207,23.565425897870924,24.474364429723995,0.03392683319591508,0.021146750374948984,0.7901909026633955,0.8268231511853836,5,-2.518873679161497,1.0760384837890125,16.45782961007874,2.723095329931594,1.0212311632695483,-0.04986553758004096,0.029598054702900868,0.7568089336466312,0.044946247902734986
Gemma4-E4B,final_count,native_thinking,15,8,0.7396337985992432,200,100,20,20,10,10,0.2686806638478102,-5.707635873307492,0.37657027710762503,-4.241539620611706,14.798221006476851,17.237011682792904,13.291622630464074,0.8004902047327086,0.00017661250656465647,0.00012917984287596438,29.143368571004487,30.806269056210873,0.026228744083027472,0.006096255076171378,0.7253185207353656,0.7401712324088263,5,-2.5809261661315634,1.0455662344472585,17.405996403564735,4.016526497626359,1.0773701630926757,-0.06844882602893361,0.04055795095957653,0.6650951041652171,0.030246045087143108
