model,n_pairs,index_success_rate,bullet_success_rate,index_minus_bullet_pp,index_only_success,bullet_only_success,both_success,neither_success,mcnemar_exact_p,index_mean_pair_recall,bullet_mean_pair_recall,index_mean_pair_precision,bullet_mean_pair_precision,index_total_matches_list_rate,bullet_total_matches_list_rate,index_truncation_rate,bullet_truncation_rate
GLM-4-9B-0414,500,0.704,0.624,7.9999999999999964,57,17,295,131,3.3971668169915183e-06,0.9448833333333333,0.9267166666666667,0.9655124614167567,0.9708007557328833,0.962,0.766,0.002,0.002
Gemma4-12B,500,0.95,0.746,20.399999999999995,103,1,372,24,1.035379938102578e-29,0.9937,0.9910999999999999,1.0,1.0,1.0,0.796,0.0,0.0
Gemma4-E4B,500,0.882,0.794,8.799999999999997,49,5,392,54,3.8913883226854296e-10,0.9798666666666666,0.9735333333333333,1.0,1.0,0.996,0.888,0.0,0.0
Qwen3-1.7B,500,0.248,0.38,-13.200000000000001,34,100,90,276,9.920107218562598e-09,0.9053833333333334,0.83755,0.8314628365780654,0.8001095638293046,0.716,0.434,0.024,0.25
Qwen3-32B,500,0.974,0.858,11.6,65,7,422,6,6.9644370929921e-13,0.9909,0.9996,0.9984582542694498,1.0,0.992,0.854,0.0,0.0
Qwen3-4B,500,0.888,0.806,8.199999999999996,60,19,384,37,4.194042408924103e-06,0.9883333333333333,0.9751833333333334,0.9801139561420258,0.9841981612885207,0.99,0.84,0.0,0.006
Qwen3-8B,500,0.96,0.894,6.599999999999994,39,6,441,14,5.417768988991156e-07,0.993,0.9913833333333333,0.9942599483849484,0.9942799283154122,1.0,0.918,0.0,0.0
