model_label,layer,rows_discovery,rows_confirmation,frozen_pc1_variance_fraction,frozen_pc2_variance_fraction,frozen_pc3_variance_fraction,frozen_pc3_total_variance_fraction,trajectory_line_r2,centroid_distance_vs_count_gap_spearman,adjacent_step_pairwise_cosine_mean,adjacent_step_cosine_to_mean_mean,adjacent_step_length_cv,second_difference_over_step_norm,discovery_confirmation_same_step_cosine_mean,discovery_confirmation_same_step_cosine_min,frozen_pc3_ridge_r2,frozen_pc3_ridge_mad,frozen_pc3_nearest_centroid_accuracy,frozen_pc3_nearest_centroid_mad,confirmation_seed_projection_spearman_mean,confirmation_seed_projection_spearman_min,confirmation_adjacent_increment_positive_fraction
Gemma4-E4B,0,200,100,0.22403951,0.14077771,0.0945158,0.45933302,0.16473239603873746,0.13500648682558183,-0.11618809724860328,0.03984452959635422,0.29732941575951616,1.4719526236298202,-0.2196271435438176,-0.9865319783255557,0.07572059744220427,2.367510173129075,0.1,3.48,0.2412121212121212,-0.7818181818181817,0.5
Gemma4-E4B,1,200,100,0.25876918,0.14891319,0.08546511,0.49314747999999997,0.21360955165778106,0.11196147230084019,-0.050386484368597134,0.23436279897663514,0.2718990784924826,1.2947737521717724,-0.2251251963923526,-0.9199720741729931,0.009511439171709046,2.4863030020589854,0.08,3.5,0.05696969696969695,-0.5636363636363636,0.5222222222222224
Gemma4-E4B,2,200,100,0.25877821,0.138126,0.08832784,0.48523205,0.2354743240941659,0.04542398816726532,-0.07086296622616095,0.21531132814239423,0.38520148109670804,1.4280655500639388,-0.048759170407492974,-0.8430252191395178,-0.040283285645135836,2.5543798911329763,0.08,3.64,-0.07272727272727272,-0.6606060606060605,0.5
Gemma4-E4B,3,200,100,0.26051399,0.10449006,0.10048407,0.46548811999999995,0.2736761289018672,0.11435921947682487,-0.07368288648003324,0.21175125376721451,0.36118720922103315,1.3371033720280239,-0.03376878023785576,-0.9868813266604652,-0.019469547387673147,2.514533383455779,0.08,3.81,-0.07151515151515149,-0.709090909090909,0.5111111111111111
Gemma4-E4B,4,200,100,0.23435198,0.15522991,0.08903081,0.4786127,0.197741334945033,0.12121944056366994,-0.027557340941910823,0.2769425747278675,0.43343701597430373,1.568936925275094,0.01089938277013875,-0.9739882193395489,-0.045578675254402734,2.5505164410211445,0.12,3.66,-0.11515151515151514,-0.7575757575757575,0.5111111111111112
Gemma4-E4B,5,200,100,0.43742275,0.09353738,0.06715018,0.59811031,0.47695985037955313,0.6100934481116574,0.21049348147593594,0.5359306183332773,1.7838744617392486,1.0803193578864607,0.233314270856763,-0.8188538435401983,0.4357648519388666,1.8124226612682688,0.25,1.98,0.6751515151515151,0.06666666666666665,0.6666666666666666
Gemma4-E4B,6,200,100,0.36585116,0.09737553,0.08906793,0.5522946200000001,0.49243446238968125,0.6005690634959405,0.2397381607004846,0.5632377497813333,1.622848279477484,1.100036609601258,0.291138855333956,-0.4858449974175861,0.449480351743461,1.8169088163348166,0.24,1.81,0.7357575757575756,0.17575757575757575,0.6666666666666667
Gemma4-E4B,7,200,100,0.30044952,0.10793082,0.09539881,0.5037791500000001,0.4593011049670134,0.5035269069567827,0.14277670169946774,0.48722241649797915,1.42995464318368,1.1061658082690105,0.3556646165295222,-0.8689106949627203,0.42596092549826603,1.8590517298897584,0.23,2.06,0.7248484848484849,0.32121212121212117,0.6888888888888889
Gemma4-E4B,8,200,100,0.32479924,0.12709372,0.09466943,0.54656239,0.42500739485106376,0.43758885961720406,0.09694932289711322,0.44400197724137747,1.4970930327122465,1.1489880531102052,0.607476391638365,0.03529874851572597,0.4066033138532438,1.87426943411419,0.23,2.12,0.6266666666666666,0.2121212121212121,0.6444444444444446
Gemma4-E4B,9,200,100,0.38550031,0.13604836,0.08798905,0.6095377200000001,0.403272509997335,0.4880081544011041,0.08411424941310425,0.43075747291997174,1.729257329693402,1.144200603342795,0.4118366267300871,-0.42024975972919354,0.40608452280469587,1.87703719465517,0.27,1.86,0.6896969696969697,0.19999999999999998,0.7
Gemma4-E4B,10,200,100,0.35824847,0.17839609,0.08739587,0.62404043,0.39560585858737873,0.4729556304629781,0.035090754566072996,0.37085237241715174,1.7237456751563356,1.2027444836640104,0.15634421507290042,-0.9657132172276169,0.3850854877806974,1.88922851610301,0.25,2.04,0.6981818181818181,0.2727272727272727,0.6666666666666667
Gemma4-E4B,11,200,100,0.33777201,0.13331562,0.07539589,0.54648352,0.5583047562505667,0.6836243615085209,0.2233667897502329,0.5509407203765024,1.5806514099242313,1.098829493647573,0.5496986922436728,-0.6175829873371034,0.49542517605736014,1.6829015255117858,0.27,2.14,0.8436363636363635,0.41818181818181815,0.7555555555555555
Gemma4-E4B,12,200,100,0.36066228,0.11420439,0.06302103,0.5378877,0.5362635385680201,0.6556506444553662,0.2096771386798847,0.5424827643269957,1.635299125800932,1.0956979637440305,0.4685465247211871,-0.9123651280277651,0.47423517127519654,1.7234353293204427,0.25,2.2,0.8206060606060606,0.5272727272727272,0.711111111111111
Gemma4-E4B,13,200,100,0.36867142,0.11012726,0.06101773,0.53981641,0.5198223456139964,0.6685052334821731,0.3743945192779884,0.611983972207871,1.7697390175130538,1.0449711566335809,0.45894079816714783,-0.7369507028718641,0.46285754809246304,1.815865098728225,0.28,2.17,0.7660606060606059,0.5757575757575757,0.711111111111111
Gemma4-E4B,14,200,100,0.34575152,0.10106854,0.06339907,0.51021913,0.5134490828808279,0.6756984750101271,0.3860682736923034,0.6116402595132914,1.740084049851308,1.0593064036779856,0.4185834051741311,-0.49642348925585966,0.43593675880554716,1.821852335953266,0.28,2.18,0.698181818181818,0.49090909090909085,0.6888888888888889
Gemma4-E4B,15,200,100,0.3110517,0.1034202,0.06217926,0.47665115999999996,0.48313845712604264,0.6742997891574694,0.3580586886868076,0.5769825494985035,1.769413507770541,1.0999294648115698,0.3855143017377147,-0.5319775559610476,0.4426678366427398,1.7474473666407548,0.26,1.94,0.6642424242424243,0.4424242424242424,0.6777777777777778
Gemma4-E4B,16,200,100,0.29222548,0.10003643,0.06929044,0.46155234999999994,0.49832742015378917,0.6415305777523455,0.37477434122447745,0.5337755159027391,1.751414668325256,1.046327727153289,0.443794386211134,-0.7483525687034525,0.44188332517384965,1.8026208830820227,0.27,2.22,0.7212121212121212,0.5151515151515151,0.7111111111111111
Gemma4-E4B,17,200,100,0.24272528,0.11608911,0.07964,0.43845438999999997,0.5470680410840842,0.6893523130955955,0.37274547219988124,0.5804497820692787,1.5607796568801175,0.9705135623231772,0.4820345215337698,-0.663305893256331,0.5113475354043799,1.7162226994325633,0.27,1.88,0.7684848484848483,0.5030303030303029,0.7
Gemma4-E4B,18,200,100,0.23776661,0.13070923,0.08205315,0.45052899,0.5443905710257165,0.6816928429500888,0.35065567268907544,0.5743080038139244,1.5235309382851245,0.9676395358514432,0.3226283923556182,-0.8637872787435322,0.4883147753413901,1.752406715800373,0.29,2.04,0.7672727272727271,0.49090909090909085,0.6888888888888889
Gemma4-E4B,19,200,100,0.24372968,0.10687971,0.08158015,0.43218954,0.5188064096703837,0.641996806369898,0.25838115128526684,0.5276112821188723,1.5273351755139855,1.0577238995981835,0.3882296380950565,-0.5894888732049524,0.48286155239395423,1.7269010413675725,0.23,2.25,0.7648484848484847,0.5757575757575757,0.711111111111111
Gemma4-E4B,20,200,100,0.2637144,0.09610353,0.07932554,0.43914347000000004,0.5148933247008887,0.5837182291758259,0.19184543727242268,0.5174287626641179,1.5748866365120937,1.0057312172374675,0.6658662625638345,0.032842590331692144,0.43383799400261736,1.8306771280499938,0.26,2.51,0.6836363636363635,0.4545454545454545,0.6888888888888889
Gemma4-E4B,21,200,100,0.25768211,0.10582153,0.07510102,0.43860466000000004,0.5412635806356768,0.585316727293149,0.21738907319710188,0.5433152569488904,1.45725990603172,0.999628361751397,0.6109591251648862,-0.17531116850665565,0.4540259969890923,1.8169242551564009,0.23,2.33,0.7284848484848483,0.5878787878787878,0.711111111111111
Gemma4-E4B,22,200,100,0.22585267,0.0920517,0.06235993,0.3802643,0.5863750725066361,0.6094940113176612,0.2560665275809127,0.5742272382873711,1.3769258908768878,0.9785813002198982,0.5277257581917296,-0.3153962527428903,0.5485732733543429,1.7174424168565758,0.24,2.15,0.8121212121212121,0.6242424242424242,0.7666666666666667
