endpoint,model_label,mode,analysis_group,selector,token_site,layer,retained_labels,retained_class_count,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy,evaluation_split_role
running_index,Gemma4-E4B,non_thinking,all_traces,prompt_span_site_search,span_mean,26,1 2 3 4 5 6 7 8 9 10,10,0.63,0.5349999999999999,0.5825,1100,5,16,16,0.62,0.48999999999999994,0.3782586106966584,-4.222111768924035,2.919928789138794,7.719398069381714,550,10,10,100,16,0.1,original_confirmation
running_index,Gemma4-E4B,native_thinking,all_traces,trace_site_x_layer_search,item_end,22,1 2 3 4 5 6 7 8 9 10,10,0.7938129863716185,0.6971251054645753,0.7454690459180968,1045,5,16,16,0.7837129315543494,0.6925055216342529,0.47974416875232184,-3.189902953711885,4.448365211486816,9.272369527816773,519,10,5,100,16,0.1,original_confirmation
