model_label,layer,mode,metric,estimand,estimate,jackknife_se,ci_low_normal,ci_high_normal,jackknife_seed_count
Gemma4-E4B,0,non_thinking,centroid_nearest_squared,quality_slope_per_index,13.319318181818186,43.765233021998384,-72.46053854129865,99.09917490493503,3
Gemma4-E4B,0,non_thinking,centroid_nearest_squared,quality_spearman,0.1223293072362623,0.4608162873841978,-0.7808706160367653,1.02552923050929,3
Gemma4-E4B,0,non_thinking,centroid_nearest_squared,late_8_10_minus_early_1_3,183.30051676432288,360.2227123156416,-522.7359993743347,889.3370329029805,3
Gemma4-E4B,0,non_thinking,class_nc1_ratio,quality_slope_per_index,0.5518717518318642,0.20454477310977753,0.15096399653670023,0.9527795071270282,3
Gemma4-E4B,0,non_thinking,class_nc1_ratio,quality_spearman,0.6727272727272726,0.37276970002976306,-0.057901339331063006,1.4033558847856082,3
Gemma4-E4B,0,non_thinking,class_nc1_ratio,late_8_10_minus_early_1_3,2.9493729064087866,1.4782360963725092,0.052030157518668574,5.846715655298905,3
Gemma4-E4B,0,non_thinking,fisher_nearest,quality_slope_per_index,0.04620656984221762,0.07989488751464043,-0.1103874096864776,0.20280054937091285,3
Gemma4-E4B,0,non_thinking,fisher_nearest,quality_spearman,0.6848484848484848,0.4566192870977508,-0.21012531786310673,1.5798222875600763,3
Gemma4-E4B,0,non_thinking,fisher_nearest,late_8_10_minus_early_1_3,0.3615593996411681,0.5693105081362292,-0.7542891963058411,1.4774079955881774,3
Gemma4-E4B,0,non_thinking,logistic_f1,quality_slope_per_index,0.029696969696969687,0.016797399049035763,-0.0032259324391404054,0.06261987183307978,3
Gemma4-E4B,0,non_thinking,logistic_f1,quality_spearman,0.4523838666339657,0.2253449501179441,0.010707764402795306,0.8940599688651361,3
Gemma4-E4B,0,non_thinking,logistic_f1,late_8_10_minus_early_1_3,0.24444444444444446,0.10183501544346311,0.04484781417525677,0.4440410747136322,3
Gemma4-E4B,0,non_thinking,logistic_precision,quality_slope_per_index,0.034343434343434336,0.015139829204737673,0.004669369102148498,0.06401749958472017,3
Gemma4-E4B,0,non_thinking,logistic_precision,quality_spearman,0.4523838666339657,0.2253449501179441,0.010707764402795306,0.8940599688651361,3
Gemma4-E4B,0,non_thinking,logistic_precision,late_8_10_minus_early_1_3,0.27777777777777773,0.09799078929868851,0.08571583075234826,0.46983972480320724,3
