model_label,mode,layer,n_confirmation,n_confirmation_seed_clusters,min_confirmation_per_class,max_confirmation_per_class,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,ncc_balanced_accuracy,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Gemma4-E4B,non_thinking,0,30,3,3,3,32,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.6666666666666666,157414144.1067591,1.3415721654891968,0.14384588599205017,9.017219906243874,864252.192555715,2.2904059572290888e-43,98.18242992298981,7.363121193647384e-05,1,-8.471218035525087e-06,73.63121193647385
Gemma4-E4B,native_thinking,0,30,3,3,3,32,0.4,0.4,0.1,0.1,0.5666666666666667,1617614234.9972057,0.7436058521270752,0.12013214081525803,8.615872369408866,13480.628254641144,3.652971761113785e-18,40.15099065643702,4.750727263651788e-05,1,-1.2538721301729951e-05,47.50727263651788
Gemma4-E4B,non_thinking,1,30,3,3,3,32,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.4666666666666667,-591133795.3452053,1.4418997764587402,0.14313386380672455,9.011076320272636,633528.7891522982,4.8576519733959137e-42,95.12801871763,6.078527665138244e-05,1,-9.456074744042572e-06,60.785276651382446
Gemma4-E4B,native_thinking,1,30,3,3,3,32,0.4666666666666667,0.4666666666666667,0.23333333333333334,0.2333333333333333,0.6333333333333333,715203138.7117575,0.5649212598800659,0.15625542402267456,8.99139032725578,323912.2169814017,2.891925414079267e-32,72.62080046227454,4.3688926592469215e-05,1,-9.628561035179221e-06,43.688926592469215
Gemma4-E4B,non_thinking,2,30,3,3,3,32,0.1,0.1,0.06666666666666667,0.06666666666666667,0.5666666666666667,-88209679.13661179,1.161352515220642,0.13087673485279083,9.010111347845477,880569.4442706639,1.704839452287445e-42,96.1751029623293,4.703769746422767e-05,1,-3.933636004257427e-06,47.037697464227676
Gemma4-E4B,native_thinking,2,30,3,3,3,32,0.4,0.4,0.26666666666666666,0.26666666666666666,0.4,-795897702.348749,0.649457573890686,0.26836174726486206,8.859610835447889,232239.50392417563,1.5691722962443554e-25,57.114079044353986,4.192213587835431e-05,1,-2.92413294772393e-06,41.92213587835431
Gemma4-E4B,non_thinking,3,30,3,3,3,32,0.13333333333333333,0.13333333333333333,0.1,0.1,0.6,-121094349.63018253,1.1505300998687744,0.1622471809387207,9.006284999917398,721138.6214897006,2.1713122184804874e-41,93.63065711898912,4.468707491457462e-05,1,-2.5248191869335644e-06,44.68707491457462
Gemma4-E4B,native_thinking,3,30,3,3,3,32,0.43333333333333335,0.4333333333333333,0.23333333333333334,0.23333333333333334,0.6333333333333333,-1564194080.7783904,0.6775774955749512,0.33249762654304504,8.957605068445908,1250269.6873546753,7.517712302726416e-29,64.75770582021134,3.896833338588476e-05,1,-2.8232301373332785e-06,38.96833338588476
Gemma4-E4B,non_thinking,4,30,3,3,3,32,0.13333333333333333,0.13333333333333333,0.1,0.1,0.7333333333333333,-10625874.201186527,1.260860800743103,0.1274271309375763,9.00291318297391,707273.875575077,5.939531112230761e-41,92.62435861983192,4.5336221136152746e-05,1,-4.971591091101418e-06,45.336221136152744
Gemma4-E4B,native_thinking,4,30,3,3,3,32,0.43333333333333335,0.4333333333333333,0.3333333333333333,0.3333333333333333,0.5,2600311183.1281147,0.7827688455581665,0.4573880434036255,8.989707017905321,1537967.8898569802,5.652561230382103e-34,76.55578440424358,3.721860963106155e-05,1,-9.813485411428732e-06,37.218609631061554
