model,pooling,layer,full_space_discovery_cv_r2,pca3_discovery_cv_r2,pca3_ridge_alpha,pca_evr_pc1,pca_evr_pc1_2,pca_evr_pc1_3,pca_evr_pc1_6,count_signal_capture_pc1_3,discovery_loo_noise_to_signal,discovery_compactness,centroid_step_cv,centroid_path_to_chord,centroid_successive_cosine,manifold_fidelity_m3,within_decodability_gate,probe_optimal,manifold_display
Qwen3-8B,span_end,0,0.959932827949524,0.799242818589094,1.0,0.22575022280216217,0.4056396931409836,0.49457036703824997,0.6085725408047438,0.6744023230897959,1.7148518056555646,0.36834423076677897,0.1757869869470596,3.141371479348522,-0.2862787810953648,0.12285731536695345,False,False,False
Qwen3-8B,span_end,1,0.989156699180603,0.511349511731401,0.1,0.5325983762741089,0.648050956428051,0.7063911743462086,0.7951586544513702,0.8650801386771801,0.9080489804593985,0.5240955605653432,0.8419210314750671,2.041216748606878,-0.339782978972203,0.32026692255909706,True,True,False
Qwen3-8B,span_end,2,0.9808030962944032,0.5226377613580003,10.0,0.4953441917896271,0.6120717898011208,0.6832998543977737,0.7814005110412836,0.9030063540153037,1.0879523105534825,0.47893814190368944,0.986525058746338,1.6955153746980614,-0.1619201804399293,0.29551638085802756,True,False,False
Qwen3-8B,span_end,3,0.9863658666610716,0.614743169627141,10.0,0.6031125783920288,0.6981789097189903,0.7528650388121605,0.8290075771510601,0.9334885184574294,0.9135086369960486,0.5226002018835231,1.0976535081863403,1.417448353493556,0.0441134642472454,0.36727865037622515,True,False,False
Qwen3-8B,span_end,4,0.9775460243225098,0.668689122239382,1.0,0.5763523578643799,0.6752938851714134,0.7380416691303253,0.8187820576131344,0.9301728570694703,0.9896172918911735,0.5026092224246196,1.027332425117493,1.351093656844556,0.1509285939645654,0.345044411711328,True,False,False
Qwen3-8B,span_end,5,0.9744422316551208,0.6343869642894416,1.0,0.6156288385391235,0.6907106414437294,0.741151936352253,0.8168964330106974,0.9301589727616221,0.8949672445989232,0.5277136071086304,1.0499392747879028,1.3507510894531412,0.1738606689330362,0.3638000212101874,True,False,False
Qwen3-8B,span_end,6,0.9714030504226684,0.632439285860804,10.0,0.6340321898460388,0.7095136120915413,0.7561370581388474,0.8255403758957982,0.9385540769081064,0.8520042825269355,0.539955554873538,1.011752724647522,1.3515295319529814,0.2036103235588339,0.38319323843528724,True,False,False
Qwen3-8B,span_end,7,0.9816281795501708,0.6598594271091485,1.0,0.5969147682189941,0.6668299436569214,0.7127763070166111,0.7850877903401852,0.9349809322774215,0.8647001225705581,0.5362792590057124,0.9501526951789856,1.418400276345105,0.1633412178826109,0.357393796446448,True,False,False
Qwen3-8B,span_end,8,0.9824679374694824,0.8345638264956563,1.0,0.6173222064971924,0.6823328882455826,0.7247428819537163,0.797531052492559,0.9623440142706131,0.8024701318509666,0.554794213967415,0.9460852742195128,1.4482389629467365,0.1986529142275583,0.3869423198803162,True,False,True
Qwen3-8B,span_end,9,0.9686214447021484,0.7095399788250422,1.0,0.5410409569740295,0.6337759643793106,0.6787522248923779,0.7629297766834497,0.9391572587315257,0.9447813442744617,0.5141966231546042,0.8560730814933777,1.527656246752437,0.215611363410892,0.3277772489768841,False,False,False
Qwen3-8B,span_end,10,0.9744445204734802,0.7108742541889665,1.0,0.5605898499488831,0.6471178531646729,0.6890966817736626,0.7736882194876671,0.9411038427084045,0.8846181366010217,0.5306114700793111,0.8695080876350403,1.5221901577101211,0.2182707503276449,0.3441076590637183,True,False,False
Qwen3-8B,span_end,11,0.9813629865646364,0.7043753153879114,1.0,0.5481342673301697,0.6439757198095322,0.6872037388384342,0.7747191190719604,0.9316796701020337,0.859596418017023,0.537751089597359,0.8373634219169617,1.6137482321776548,0.1547587887085769,0.3442971531299301,True,False,False
