model,layer,pairs_per_condition,baseline_correct,geometric_changed,random_changed,geometric_moved,random_moved,moved_difference,moved_difference_low,moved_difference_high,geometric_target_hit,random_target_hit,geometric_aligned_shift,random_aligned_shift,aligned_difference,aligned_difference_low,aligned_difference_high,aligned_difference_p_raw,aligned_difference_p_holm
Qwen3-8B,9,60,4,0.08333333333333333,0.08333333333333333,0.06666666666666667,0.05,0.016666666666666666,0.0,0.05,0.0,0.0,0.03333333333333333,-0.03333333333333333,0.06666666666666667,0.0,0.16666666666666666,0.5,1.0
Qwen3-8B,18,60,4,0.03333333333333333,0.016666666666666666,0.03333333333333333,0.0,0.03333333333333333,0.0,0.1,0.0,0.0,0.05,0.03333333333333333,0.016666666666666666,0.0,0.05,1.0,1.0
Qwen3-8B,26,60,4,0.5,0.05,0.36666666666666664,0.03333333333333333,0.33333333333333337,0.2333333333333333,0.41666666666666663,0.06666666666666667,0.0,0.95,0.03333333333333333,0.9166666666666667,0.7333333333333333,1.1,0.001953125,0.01171875
Gemma4-E4B,10,60,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Gemma4-E4B,20,60,2,0.0,0.11666666666666667,0.0,0.05,-0.05,-0.11666666666666667,0.0,0.016666666666666666,0.016666666666666666,0.0,-0.03333333333333333,0.03333333333333334,-0.08333333333333334,0.16666666666666669,0.8125,1.0
Gemma4-E4B,31,60,2,0.7666666666666667,0.03333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.45,0.6,0.05,0.016666666666666666,1.3666666666666667,-0.03333333333333333,1.4,1.2166666666666666,1.5833333333333335,0.001953125,0.01171875
