model,variant,pooling,layer,head,layer_type,examples,seeds,pool_sum,pool_coverage,pool_primary,pool_enrichment,pool_effective_number,positive_contrast,density_enrichment_gt_one,is_broad_candidate,candidate_rank
Qwen3-8B,v4.1,span_end,0,0,full_attention,180,20,1.4708770645989311e-05,0.7916439770221129,1.0810247237520068e-05,0.0221525692944059,4.566943272840851,False,False,False,
Qwen3-8B,v4.1,span_end,0,1,full_attention,180,20,1.854366726345487e-08,0.0347222222222222,2.06960572136773e-09,2.092311576852867e-05,0.3111111111111111,False,False,False,
Qwen3-8B,v4.1,span_end,0,2,full_attention,180,20,5.473693211873373e-07,0.555392281162547,2.950596881801529e-07,0.0009848815840706,3.222126176986062,False,False,False,
Qwen3-8B,v4.1,span_end,0,3,full_attention,180,20,1.8477439880371092e-06,0.6007971878171843,1.1339792477076942e-06,0.0033327363013831,3.6951379892425695,False,False,False,
Qwen3-8B,v4.1,span_end,0,4,full_attention,180,20,1.846816804673937e-05,0.5183462168736221,3.1079397730576792e-06,0.0204820414460803,2.60277767825626,False,False,False,
Qwen3-8B,v4.1,span_end,0,5,full_attention,180,20,0.0001976529757181,0.5093828411553859,5.061217973093926e-05,0.2212799251553723,2.4299144468011824,True,False,False,
Qwen3-8B,v4.1,span_end,0,6,full_attention,180,20,1.6725725597805446e-05,0.2761427900987245,1.9446602996152054e-06,0.0179555556639687,1.44566108041478,True,False,False,
Qwen3-8B,v4.1,span_end,0,7,full_attention,180,20,5.596213870578342e-06,0.4626268808769672,1.822716547312125e-06,0.0063911399617571,2.4909762269574083,False,False,False,
Qwen3-8B,v4.1,span_end,0,8,full_attention,180,20,6.400876575046115e-06,0.2271543333903652,1.2234668366250036e-06,0.0115410361319874,1.086618265641248,True,False,False,
Qwen3-8B,v4.1,span_end,0,9,full_attention,180,20,5.079640282524957e-06,0.3311042437727791,1.3402401497562822e-06,0.0078413979630958,1.7741714073270016,False,False,False,
Qwen3-8B,v4.1,span_end,0,10,full_attention,180,20,5.960464477539065e-08,0.2143298059964726,1.277505195119814e-08,0.0001292662097468,1.0,False,False,False,
Qwen3-8B,v4.1,span_end,0,11,full_attention,180,20,8.437368604871961e-07,0.4178821885177408,3.39312641501909e-07,0.0014886176582515,2.3300839817928223,False,False,False,
Qwen3-8B,v4.1,span_end,0,12,full_attention,180,20,2.781550089518229e-08,0.0234567901234567,2.9360806500470197e-09,2.969591745953611e-05,0.2222222222222222,False,False,False,
Qwen3-8B,v4.1,span_end,0,13,full_attention,180,20,2.3789207140604652e-05,0.5574695758164473,1.2731634288445054e-05,0.0384610106923911,3.284978814954777,False,False,False,
Qwen3-8B,v4.1,span_end,0,14,full_attention,180,20,1.686116059621175e-05,0.6609350067832223,9.56101199385863e-06,0.0228953932070377,3.7498018895827823,False,False,False,
Qwen3-8B,v4.1,span_end,0,15,full_attention,180,20,1.888341373867436e-05,0.4223674454070805,3.924728411764663e-06,0.0219533759688231,2.0986261580067223,False,False,False,
Qwen3-8B,v4.1,span_end,0,16,full_attention,180,20,0.0001234312852223,0.2481449680537261,2.6310337444150768e-05,0.2225156164922423,1.22157110012879,True,False,False,
Qwen3-8B,v4.1,span_end,0,17,full_attention,180,20,7.033348083496094e-06,0.4006341781821042,2.5544901687450563e-06,0.012210848530621,2.2381646910264608,False,False,False,
Qwen3-8B,v4.1,span_end,0,18,full_attention,180,20,2.251399887932672e-06,0.3850540033301919,8.588191134909892e-07,0.0032465896509224,2.2864648045811893,False,False,False,
Qwen3-8B,v4.1,span_end,0,19,full_attention,180,20,3.7239657508002394e-06,0.4052669186793987,1.4940289473012344e-06,0.0059783848686638,2.3709090099390284,False,False,False,
Qwen3-8B,v4.1,span_end,0,20,full_attention,180,20,2.4167696634928384e-05,0.6271319184665144,1.3398888590625776e-05,0.0315387977878226,3.539425987533521,False,False,False,
Qwen3-8B,v4.1,span_end,0,21,full_attention,180,20,8.296966552734374e-06,0.3218853467886809,1.2521904821707282e-06,0.0101154362094489,1.5159078481619388,False,False,False,
Qwen3-8B,v4.1,span_end,0,22,full_attention,180,20,0.000155789984597,0.6404348473542268,7.86310371602408e-05,0.2170735723275099,3.4705816311135957,False,False,False,
Qwen3-8B,v4.1,span_end,0,23,full_attention,180,20,2.034339639875624e-05,0.4891667206359006,7.751446861458488e-06,0.0268405825282745,2.631587083336888,True,False,False,
Qwen3-8B,v4.1,span_end,0,24,full_attention,180,20,6.026691860622832e-08,0.2154409171075837,1.2973734100449442e-08,0.0001297243224998,1.011111111111111,False,False,False,
Qwen3-8B,v4.1,span_end,0,25,full_attention,180,20,1.7808212174309626e-05,0.8457927206277402,1.457863965584085e-05,0.0314020889897306,4.876168305246114,False,False,False,
Qwen3-8B,v4.1,span_end,0,26,full_attention,180,20,1.336799727545844e-06,0.5323497467043903,7.574015680126024e-07,0.001788149345268,3.325712698358084,False,False,False,
Qwen3-8B,v4.1,span_end,0,27,full_attention,180,20,2.9522511694166395e-05,0.6838390614690102,1.939896562806182e-05,0.0422194083987525,4.001899444184901,False,False,False,
Qwen3-8B,v4.1,span_end,0,28,full_attention,180,20,1.109143098195394e-05,0.2072395092839358,2.572888848831491e-06,0.0192749757824917,1.2963762528071572,False,False,False,
Qwen3-8B,v4.1,span_end,0,29,full_attention,180,20,8.166498608057854e-05,0.7012958724356971,5.487652133507321e-05,0.1315701010364547,4.087067695169326,False,False,False,
Qwen3-8B,v4.1,span_end,0,30,full_attention,180,20,2.6325384775797525e-06,0.3551772306713908,9.37056293496425e-07,0.0042975000424105,2.119971655115155,False,False,False,
Qwen3-8B,v4.1,span_end,0,31,full_attention,180,20,5.200505256652832e-06,0.3390493547262452,1.5826547955226548e-06,0.0067530438384603,2.1466341286909514,False,False,False,
Qwen3-8B,v4.1,span_end,1,0,full_attention,180,20,1.7053551144070094e-05,0.6260491589293311,1.05134007228595e-05,0.0276130895736657,3.7114487516215977,False,False,False,
Qwen3-8B,v4.1,span_end,1,1,full_attention,180,20,0.0002841068638695,0.7636388161443035,0.0002029268120511,0.4263684936532748,4.36790306037021,False,False,False,
Qwen3-8B,v4.1,span_end,1,2,full_attention,180,20,8.129411273532444e-07,0.6284285627224198,5.13566419069994e-07,0.001451694086082,3.789684064958619,False,False,False,
Qwen3-8B,v4.1,span_end,1,3,full_attention,180,20,1.4460749096340604e-06,0.4131995906587143,5.936241691013134e-07,0.0026910732872722,2.4207183404856067,False,False,False,
Qwen3-8B,v4.1,span_end,1,4,full_attention,180,20,8.275111516316731e-07,0.2776337904578109,2.1897177482550765e-07,0.001317445381952,1.5302028551472076,False,False,False,
Qwen3-8B,v4.1,span_end,1,5,full_attention,180,20,8.616513676113552e-06,0.4959906920074984,4.281731228769328e-06,0.0164703559786197,2.885934322890596,False,False,False,
Qwen3-8B,v4.1,span_end,1,6,full_attention,180,20,0.000408864683575,0.864480042244317,0.0003336016306677,0.6202082558278744,4.988682875143836,False,False,False,
Qwen3-8B,v4.1,span_end,1,7,full_attention,180,20,2.2141138712565103e-05,0.7255518026134217,1.5872403929720655e-05,0.0396477195384382,4.262085935559416,False,False,False,
Qwen3-8B,v4.1,span_end,1,8,full_attention,180,20,3.4131275282965764e-05,0.6403413312168207,2.2358882961581463e-05,0.0566109813452504,3.90795864590601,False,False,False,
Qwen3-8B,v4.1,span_end,1,9,full_attention,180,20,3.554754787021213e-06,0.7521480872949591,2.0629868929080298e-06,0.0047964878142877,4.051373914515117,False,False,False,
Qwen3-8B,v4.1,span_end,1,10,full_attention,180,20,0.0003683434592352,0.8958772104040247,0.0003136483846158,0.5664737930320829,5.219690921319932,True,False,False,
Qwen3-8B,v4.1,span_end,1,11,full_attention,180,20,2.7082363764444987e-05,0.6417649433217517,1.7229576694941066e-05,0.0527878283811673,3.7564248470281103,False,False,False,
Qwen3-8B,v4.1,span_end,1,12,full_attention,180,20,4.381603664822048e-06,0.6732260845627251,2.7462157661587643e-06,0.0074495735230542,3.763171771332226,False,False,False,
Qwen3-8B,v4.1,span_end,1,13,full_attention,180,20,9.828143649631075e-07,0.4750195288404732,4.534192156322605e-07,0.0015590296009135,2.7192872739975824,False,False,False,
Qwen3-8B,v4.1,span_end,1,14,full_attention,180,20,1.786086294386122e-05,0.4541902250408051,7.959528882963233e-06,0.0347172515818359,2.6023551890860968,False,False,False,
Qwen3-8B,v4.1,span_end,1,15,full_attention,180,20,1.4161732461717391e-05,0.3040730731136887,4.087509457307212e-06,0.0297562746514888,1.571733372520079,False,False,False,
Qwen3-8B,v4.1,span_end,1,16,full_attention,180,20,6.922086079915365e-06,0.6273573604947583,3.58773795786528e-06,0.0105003035934434,3.3653294990205223,False,False,False,
Qwen3-8B,v4.1,span_end,1,17,full_attention,180,20,0.0001654800441529,0.8448331083003683,0.0001397375786463,0.2988905528519637,5.044779335563606,False,False,False,
Qwen3-8B,v4.1,span_end,1,18,full_attention,180,20,0.0001428153779771,0.7955234581000632,0.0001110460541431,0.2470087477589875,4.663144628437551,False,False,False,
Qwen3-8B,v4.1,span_end,1,19,full_attention,180,20,2.6380022366841636e-05,0.2892398421176301,7.4959826431599644e-06,0.0553121077553911,1.5107642556357253,False,False,False,
Qwen3-8B,v4.1,span_end,1,20,full_attention,180,20,4.3479932679065566e-05,0.6295475743589923,2.2441788099496545e-05,0.063284263235186,3.3621849544367017,False,False,False,
Qwen3-8B,v4.1,span_end,1,21,full_attention,180,20,1.3752116097344293e-06,0.699862415367242,9.24602696386102e-07,0.0023491532127187,4.037855993895925,False,False,False,
Qwen3-8B,v4.1,span_end,1,22,full_attention,180,20,1.8439690272013347e-05,0.8160731198224072,1.4443498744887036e-05,0.0307711430609756,4.707718843982931,False,False,False,
Qwen3-8B,v4.1,span_end,1,23,full_attention,180,20,6.382001770867242e-06,0.8754774929481814,5.5549376342578045e-06,0.0110968202967867,5.201228405996852,False,False,False,
Qwen3-8B,v4.1,span_end,1,24,full_attention,180,20,5.176001124911838e-06,0.4710193316824946,2.31926192274308e-06,0.0075141234230435,2.7423896675834447,False,False,False,
Qwen3-8B,v4.1,span_end,1,25,full_attention,180,20,2.8077430195278596e-05,0.4448752380910062,1.1836056780334772e-05,0.0434301516600207,2.592414502419844,True,False,False,
Qwen3-8B,v4.1,span_end,1,26,full_attention,180,20,4.672341876559787e-07,0.3235042843278026,1.1124157859534575e-07,0.0006246427470847,1.6981439367492226,False,False,False,
Qwen3-8B,v4.1,span_end,1,27,full_attention,180,20,8.098085721332874e-05,0.580766019111935,4.256759071149383e-05,0.127243701453803,3.349729212365236,False,False,False,
Qwen3-8B,v4.1,span_end,1,28,full_attention,180,20,1.6954210069444445e-07,0.2735129697590268,6.41353644461352e-08,0.0002294260867408,1.954655934002755,False,False,False,
Qwen3-8B,v4.1,span_end,1,29,full_attention,180,20,1.139872603946262e-05,0.4792675096303725,3.535545819442956e-06,0.016855127773329,2.360973242465404,False,False,False,
Qwen3-8B,v4.1,span_end,1,30,full_attention,180,20,9.555949105156793e-06,0.7499579625682177,6.6123574663583424e-06,0.0150655461235538,4.214292495998261,False,False,False,
Qwen3-8B,v4.1,span_end,1,31,full_attention,180,20,2.933873070610894e-07,0.0991615671333843,5.6008480331369726e-08,0.0003508850149221,0.8061488344272001,False,False,False,
Qwen3-8B,v4.1,span_end,2,0,full_attention,180,20,8.341670036315917e-06,0.6366350268365699,5.27473862466882e-06,0.0122826835378042,3.7935765189224457,False,False,False,
Qwen3-8B,v4.1,span_end,2,1,full_attention,180,20,4.800160725911458e-06,0.4227346941721241,1.805000597255316e-06,0.0084742290604591,2.3082376359594026,False,False,False,
Qwen3-8B,v4.1,span_end,2,2,full_attention,180,20,1.1221567789713542e-05,0.6277429990281279,6.907107405475557e-06,0.0219621557395335,3.628931688611723,False,False,False,
Qwen3-8B,v4.1,span_end,2,3,full_attention,180,20,4.474520683288575e-05,0.7943872526469339,3.664411043378126e-05,0.076396944792191,4.925994347330343,False,False,False,
Qwen3-8B,v4.1,span_end,2,4,full_attention,180,20,1.219014326731364e-05,0.3742032771460212,3.1036502751473225e-06,0.0141051633272509,2.0981947478455174,False,False,False,
Qwen3-8B,v4.1,span_end,2,5,full_attention,180,20,3.629260592990451e-07,0.0547122553661075,4.150462248854348e-08,0.0003742679241645,0.4593800492519043,False,False,False,
Qwen3-8B,v4.1,span_end,2,6,full_attention,180,20,3.742178281148274e-06,0.5072109953924747,1.721823966147006e-06,0.0049760159622875,3.0143794279520444,False,False,False,
Qwen3-8B,v4.1,span_end,2,7,full_attention,180,20,3.12295224931505e-06,0.3661717409701764,4.692346205911706e-07,0.0034518822737595,1.9567639347107797,False,False,False,
Qwen3-8B,v4.1,span_end,2,8,full_attention,180,20,5.30398554272067e-05,0.8760591947498004,4.201994232930259e-05,0.0788344042906518,4.995952614379184,False,False,False,
Qwen3-8B,v4.1,span_end,2,9,full_attention,180,20,4.08387846416866e-05,0.6265531742431817,2.3442672995323583e-05,0.0613551839669514,3.5207047961343965,False,False,False,
Qwen3-8B,v4.1,span_end,2,10,full_attention,180,20,1.0188089476691352e-05,0.6450476981853741,6.373928343804626e-06,0.018671420939442,3.671433487098536,False,False,False,
Qwen3-8B,v4.1,span_end,2,11,full_attention,180,20,2.324912283155653e-06,0.421842836440009,9.829200217282273e-07,0.0037037640688694,2.4993034404221954,False,False,False,
Qwen3-8B,v4.1,span_end,2,12,full_attention,180,20,1.6161799430847167e-05,0.8593805800722772,1.2694917117981448e-05,0.0251825313642597,4.937296437588977,False,False,False,
Qwen3-8B,v4.1,span_end,2,13,full_attention,180,20,6.886985566880968e-06,0.7318220078072402,3.427425969952339e-06,0.0092030449658323,3.937114565149108,False,False,False,
Qwen3-8B,v4.1,span_end,2,14,full_attention,180,20,0.000123115380605,0.6880610971296143,8.423594096476553e-05,0.2252486471927043,4.121792852209621,False,False,False,
Qwen3-8B,v4.1,span_end,2,15,full_attention,180,20,7.920000288220367e-05,0.8326360989894377,5.8216089678089024e-05,0.1132086924188033,4.71073975741548,False,False,False,
Qwen3-8B,v4.1,span_end,2,16,full_attention,180,20,7.098979420130943e-05,0.8837285232406243,6.146352524570882e-05,0.1166515632752137,5.21770793739423,True,False,False,
Qwen3-8B,v4.1,span_end,2,17,full_attention,180,20,8.913709057700039e-05,0.769090431373416,6.530980732254804e-05,0.1359709273256578,4.466148403293607,True,False,False,
Qwen3-8B,v4.1,span_end,2,18,full_attention,180,20,3.6551554997762045e-05,0.9088850607899877,3.259518107512378e-05,0.0586924276175156,5.371460153948966,False,False,False,
Qwen3-8B,v4.1,span_end,2,19,full_attention,180,20,1.9652975930107964e-06,0.7199777279791397,1.2616952471152464e-06,0.002717257315656,4.065351149567455,False,False,False,
Qwen3-8B,v4.1,span_end,2,20,full_attention,180,20,8.212195502387153e-07,0.6146007941810557,5.216053749730415e-07,0.0012887945338805,3.759282326374073,False,False,False,
Qwen3-8B,v4.1,span_end,2,21,full_attention,180,20,3.2876597510443794e-05,0.7760720675512106,2.4519383746383625e-05,0.0538211187524992,4.5547958085996765,False,False,False,
Qwen3-8B,v4.1,span_end,2,22,full_attention,180,20,9.882118966844347e-06,0.7821791096119308,7.319746088450929e-06,0.0146012459718652,4.529613426203526,False,False,False,
Qwen3-8B,v4.1,span_end,2,23,full_attention,180,20,1.0596381293402778e-06,0.6886195237944265,7.496608976936302e-07,0.0017388748814666,4.22037933158093,False,False,False,
Qwen3-8B,v4.1,span_end,2,24,full_attention,180,20,1.3135208023919e-05,0.6075507817948629,7.118047242968705e-06,0.0174655629628832,3.562402646633496,False,False,False,
Qwen3-8B,v4.1,span_end,2,25,full_attention,180,20,4.654129346211751e-06,0.3981164009611146,1.941772085589139e-06,0.0077798752091614,2.4436717364160057,False,False,False,
Qwen3-8B,v4.1,span_end,2,26,full_attention,180,20,5.29785950978597e-06,0.4374671603480436,2.289679306174616e-06,0.0082048423577946,2.66393773872264,False,False,False,
Qwen3-8B,v4.1,span_end,2,27,full_attention,180,20,2.4262401792738173e-06,0.6258843576875754,1.5626579137185736e-06,0.003380268372376,3.810501628892211,False,False,False,
Qwen3-8B,v4.1,span_end,2,28,full_attention,180,20,1.0175837410820855e-06,0.8816778009669528,8.856748809775133e-07,0.0017412366796219,5.191566806593577,False,False,False,
Qwen3-8B,v4.1,span_end,2,29,full_attention,180,20,9.548829661473008e-05,0.885543095280388,8.42018309002831e-05,0.1561754162222773,5.296150233953995,False,False,False,
Qwen3-8B,v4.1,span_end,2,30,full_attention,180,20,0.0005222784148321,0.9082091129631484,0.0004780023415128,0.8762843565189726,5.492541007775227,True,False,False,
